Station Code,Distance from HVSP,Services from/to HVSP,Disruptions on path to HVSP
DDN,118,0.0,291
DDR,92,0.0,148
DDRS,89,0.0,148
DDZD,93,0.0,265
DEI,182,0.0,258
DID,87,0.0,538
DL,95,0.0,15
DLD,20,0.0,15
DLN,142,0.0,49
DMN,23,0.0,18
DMNZ,23,15.064516129032258,1
DN,119,0.0,215
DR,84,0.0,538
DRH,57,0.0,297
DRON,81,0.0,158
DRP,189,0.0,272
DT,86,0.0,173
DTC,98,0.0,558
DTCH,96,0.0,558
DTCP,86,0.0,228
DV,75,0.0,241
DVC,79,0.0,276
DVD,25,15.064516129032258,1
DVN,77,0.0,540
DVNK,70,0.0,181
DWE,195,0.0,258
DZ,227,0.0,113
DZW,226,0.0,113
EC,162,0.0,260
ED,51,0.0,259
EDC,49,0.0,258
EDN,204,0.0,264
EEM,234,0.0,112
EGH,198,0.0,279
EGHM,199,0.0,279
EHS,96,0.0,149
EHV,97,0.0,149
EKZ,91,0.0,352
EML,40,0.0,241
EMN,158,0.0,50
EMNZ,154,0.0,49
ES,131,0.0,343
ESK,127,0.0,343
EST,79,0.0,538
ETN,119,0.0,482
FN,195,0.0,258
FWD,192,0.0,258
GBG,131,0.0,35
GD,49,0.0,73
GDG,46,0.0,73
GDM,43,0.0,73
GDR,103,0.0,575
GERP,187,0.0,68
GK,208,0.0,83
GLN,178,0.0,262
GN,189,0.0,68
GND,78,0.0,137
GNN,193,0.0,83
GO,108,0.0,283
GP,103,0.0,211
GR,69,0.0,135
GS,180,0.0,270
GV,78,0.0,158
GVC,77,0.0,76
GVM,78,0.0,266
GVMW,79,0.0,173
GW,165,0.0,72
GZ,98,0.0,161
HAD,53,0.0,280
HB,189,0.0,293
HBZM,81,0.0,147
HD,44,0.0,244
HDB,125,0.0,22
HDE,65,0.0,241
HDG,188,0.0,258
HDR,111,0.0,381
HDRZ,110,0.0,381
HFD,45,14.129032258064516,75
HGL,123,0.0,324
HGLG,121,0.0,324
HGLO,125,0.0,343
HGV,131,0.0,15
HGZ,200,0.0,91
HIL,60,0.0,280
HK,56,0.0,319
HKS,83,0.0,336
HLG,204,0.0,259
HLGH,205,0.0,263
HLM,49,0.0,259
HLMS,48,0.0,280
HLO,64,0.0,286
HM,110,0.0,211
HMBH,111,0.0,215
HMBV,107,0.0,211
HMH,109,0.0,211
HMN,74,0.0,119
HN,73,0.0,280
HNK,74,0.0,336
HNO,95,0.0,15
HNP,220,0.0,261
HON,94,0.0,276
HOR,5,39.0,0
HR,149,0.0,72
HRL,193,0.0,262
HRLW,195,0.0,279
HRN,183,0.0,68
HRT,137,0.0,243
HT,65,0.0,73
HTN,25,0.0,73
HTNC,26,0.0,101
HTO,66,0.0,146
HVL,23,0.0,241
HVS,1,53.193548387096776,0
HVSM,2,15.580645161290322,1
HVSP,0,0.0,0
HWD,76,0.0,362
HWZB,41,0.0,280
HZE,108,0.0,217
