Station Code,Distance from RV,Services from/to RV,Disruptions on path to RV
OP,99,0.0,150
OST,148,0.0,462
OT,92,0.0,92
OTB,97,0.0,393
OVN,203,0.0,533
OW,99,0.0,157
PMO,207,0.0,496
PMR,206,0.0,517
PMW,205,0.0,520
PT,162,0.0,416
RAI,177,0.0,241
RAT,187,0.0,486
RB,174,0.0,470
RD,313,0.0,570
RH,103,0.0,394
RHN,170,0.0,193
RL,144,0.0,398
RLB,164,0.0,650
RM,11,37.354838709677416,0
RS,102,0.0,165
RSD,145,0.0,434
RSN,164,0.0,396
RSW,190,0.0,652
RTA,181,0.0,504
RTB,170,0.0,551
RTD,171,0.0,434
RTN,176,0.0,504
RTST,166,0.0,551
RTZ,167,0.0,434
RV,0,0.0,0
RVS,90,0.0,136
SBK,43,0.0,81
SD,157,0.0,430
SDA,302,0.0,560
SDM,175,0.0,504
SDT,156,0.0,239
SDTB,158,0.0,551
SGL,67,0.0,67
SGN,242,0.0,609
SHL,189,0.0,252
SK,286,0.0,503
SKND,285,0.0,503
SM,6,37.354838709677416,0
SN,45,0.0,82
SOG,65,0.0,68
SPTN,208,0.0,533
SPTZ,206,0.0,533
SRN,29,0.0,78
SSH,201,0.0,346
ST,158,0.0,430
STD,36,0.0,49
STM,297,0.0,566
STV,315,0.0,511
STZ,159,0.0,420
SWD,286,0.0,554
SWK,211,0.0,536
TB,100,0.0,92
TBG,129,0.0,430
TBR,105,0.0,105
TBU,101,0.0,105
TG,7,37.32258064516129,0
TL,115,0.0,153
TPSW,117,0.0,153
TWL,143,0.0,462
UHM,310,0.0,570
UHZ,307,0.0,570
UST,302,0.0,569
UT,143,0.0,165
UTG,205,0.0,555
UTLN,139,0.0,289
UTLR,146,0.0,238
UTO,146,0.0,238
UTT,148,0.0,238
UTVR,142,0.0,289
UTZL,145,0.0,238
VB,197,0.0,696
VD,134,0.0,396
VDL,59,0.0,68
VDM,302,0.0,567
VEM,126,0.0,396
VG,91,0.0,92
VH,201,0.0,346
VHP,190,0.0,533
VK,68,0.0,68
VL,12,37.32258064516129,19
VLB,42,35.32258064516129,72
VNDC,162,0.0,192
VNDW,161,0.0,192
VP,99,0.0,394
VRY,35,35.32258064516129,72
VS,220,0.0,466
VSS,219,0.0,439
VST,198,0.0,431
VSV,136,0.0,430
VTN,150,0.0,243
VZ,183,0.0,532
WAD,183,0.0,323
WADN,184,0.0,323
WADT,182,0.0,323
WC,83,0.0,136
WD,159,0.0,238
WDN,172,0.0,403
WF,101,0.0,136
WFM,299,0.0,569
WH,155,0.0,472
WK,302,0.0,506
WL,118,0.0,413
WM,198,0.0,520
WP,175,0.0,428
WR,329,0.0,578
WS,307,0.0,569
WSM,291,0.0,555
WT,35,0.0,49
WTV,98,0.0,395
WV,224,0.0,486
WW,157,0.0,449
WWW,158,0.0,449
WZ,178,0.0,486
YPB,196,0.0,241
ZA,93,0.0,150
ZB,294,0.0,563
ZBM,108,0.0,165
ZD,192,0.0,517
ZDK,195,0.0,520
ZH,287,0.0,554
ZL,169,0.0,472
ZLSH,174,0.0,486
ZLW,136,0.0,452
ZP,122,0.0,396
ZTM,191,0.0,238
ZTMO,190,0.0,323
ZV,107,0.0,393
ZVB,144,0.0,457
ZVT,209,0.0,533
ZWD,153,0.0,551
ZZS,195,0.0,520
