Station Code,Distance from GO,Services from/to GO,Disruptions on path to GO
AC,136,0.0,388
AH,59,0.0,10
AHP,58,0.0,14
AHPR,56,0.0,13
AHZ,67,0.0,267
AKL,136,0.0,328
AKM,151,0.0,198
ALM,138,0.0,42
ALMB,144,0.0,173
ALMM,137,0.0,294
ALMO,146,0.0,173
ALMP,140,0.0,173
AMF,91,0.0,42
AMFS,94,0.0,282
AML,29,0.0,52
AMPO,135,0.0,294
AMR,175,0.0,581
AMRI,27,0.0,53
AMRN,176,0.0,656
ANA,205,0.0,667
APD,48,0.0,7
APDM,47,0.0,8
APDO,51,0.0,42
APG,214,0.0,228
APN,147,0.0,292
ARN,253,0.0,723
ASA,133,0.0,286
ASB,133,0.0,286
ASD,136,0.0,296
ASDL,143,0.0,554
ASDM,132,0.0,282
ASDZ,135,0.0,283
ASHD,134,0.0,300
ASN,152,0.0,148
ASS,140,0.0,554
ASSP,131,0.0,301
ATN,87,0.0,21
AVAT,97,0.0,288
BD,164,0.0,395
BDE,203,0.0,468
BDG,139,0.0,283
BDM,195,0.0,217
BDPB,169,0.0,718
BET,143,0.0,382
BF,199,0.0,217
BGN,201,0.0,723
BHDV,147,0.0,348
BHV,103,0.0,286
BK,196,0.0,469
BKF,194,0.0,639
BKG,193,0.0,635
BKL,124,0.0,355
BL,136,0.0,148
BLL,158,0.0,591
BMN,37,0.0,7
BMR,103,0.0,302
BN,20,0.0,52
BNC,91,0.0,290
BNK,109,0.0,321
BNN,94,0.0,306
BNZ,89,0.0,290
BP,193,0.0,165
BR,138,0.0,331
BRD,173,0.0,476
BRN,100,0.0,282
BSD,122,0.0,327
BSK,153,0.0,373
BSKS,154,0.0,396
BSMZ,112,0.0,283
BTL,133,0.0,382
BV,165,0.0,575
BZL,233,0.0,754
CAS,163,0.0,578
CK,93,0.0,299
CL,123,0.0,327
CO,69,0.0,139
CPS,157,0.0,440
CVM,213,0.0,486
DA,40,0.0,122
DB,105,0.0,289
DDN,10,34.096774193548384,0
DDR,164,0.0,359
DDRS,161,0.0,359
DDZD,165,0.0,476
DEI,173,0.0,165
DID,76,0.0,19
DL,70,0.0,126
DLD,100,0.0,282
DLN,73,0.0,153
DMN,129,0.0,300
DMNZ,129,0.0,283
DN,166,0.0,383
DR,43,0.0,7
DRH,163,0.0,592
DRON,106,0.0,148
DRP,180,0.0,179
DT,181,0.0,455
DTC,87,0.0,39
DTCH,85,0.0,39
DTCP,181,0.0,510
DV,46,0.0,7
DVC,50,0.0,73
DVD,131,0.0,283
DVN,66,0.0,16
DVNK,165,0.0,390
DWE,186,0.0,165
DZ,218,0.0,246
DZW,217,0.0,246
EC,176,0.0,466
ED,76,0.0,267
EDC,78,0.0,289
EDN,218,0.0,470
EEM,225,0.0,245
EGH,212,0.0,485
EGHM,213,0.0,485
EHS,152,0.0,458
EHV,153,0.0,382
EKZ,197,0.0,647
EML,114,0.0,282
EMN,89,0.0,154
EMNZ,85,0.0,153
ES,23,0.0,52
ESK,19,0.0,52
EST,70,0.0,267
ETN,175,0.0,718
FN,186,0.0,165
FWD,183,0.0,165
GBG,62,0.0,139
GD,144,0.0,355
GDG,141,0.0,355
GDM,115,0.0,284
GDR,92,0.0,56
GERP,178,0.0,201
GK,199,0.0,216
GLN,192,0.0,468
GN,180,0.0,201
GND,150,0.0,348
GNN,184,0.0,216
GO,0,0.0,0
GP,159,0.0,444
GR,141,0.0,346
GS,238,0.0,723
GV,173,0.0,440
GVC,172,0.0,358
GVM,173,0.0,475
GVMW,174,0.0,455
GW,156,0.0,205
GZ,154,0.0,397
HAD,159,0.0,575
HB,203,0.0,499
HBZM,153,0.0,358
HD,113,0.0,148
HDB,56,0.0,126
HDE,92,0.0,148
HDG,179,0.0,165
HDR,217,0.0,676
HDRZ,216,0.0,676
HFD,151,0.0,357
HGL,15,34.096774193548384,33
HGLG,13,34.096774193548384,33
HGLO,17,34.03225806451613,52
HGV,122,0.0,148
HGZ,191,0.0,224
HIL,166,0.0,575
HK,162,0.0,614
HKS,189,0.0,631
HLG,195,0.0,166
HLGH,196,0.0,170
HLM,155,0.0,554
HLMS,154,0.0,575
HLO,170,0.0,581
HM,166,0.0,425
HMBH,167,0.0,429
HMBV,163,0.0,444
HMH,165,0.0,444
HMN,84,0.0,281
HN,179,0.0,575
HNK,180,0.0,631
HNO,62,0.0,134
HNP,211,0.0,168
HON,49,0.0,59
HOR,113,0.0,283
HR,140,0.0,205
HRL,207,0.0,468
HRLW,209,0.0,485
HRN,174,0.0,201
HRT,148,0.0,383
HT,121,0.0,309
HTN,120,0.0,355
HTNC,121,0.0,383
HTO,120,0.0,309
HVL,97,0.0,282
HVS,107,0.0,282
HVSM,108,0.0,283
HVSP,108,0.0,283
HWD,182,0.0,657
HWZB,147,0.0,575
HZE,164,0.0,450
IJT,194,0.0,166
KBD,220,0.0,723
KBK,39,0.0,7
KLP,83,0.0,289
KMA,154,0.0,588
KMR,215,0.0,485
KMW,216,0.0,173
KPN,89,0.0,148
KPNZ,89,0.0,148
KRD,215,0.0,496
KRG,227,0.0,723
KTR,91,0.0,281
KW,188,0.0,222
KZ,148,0.0,578
LAA,173,0.0,387
