Station Code,Distance from GDG,Services from/to GDG,Disruptions on path to GDG
OMN,139,0.0,334
OP,83,0.0,119
OST,118,0.0,379
OT,98,0.0,189
OTB,83,0.0,95
OVN,67,0.0,206
OW,95,0.0,146
PMO,84,0.0,259
PMR,83,0.0,280
PMW,82,0.0,283
PT,68,0.0,313
RAI,54,0.0,18
RAT,134,0.0,327
RB,114,0.0,277
RD,260,0.0,411
RH,97,0.0,331
RHN,72,0.0,108
RL,133,0.0,350
RLB,34,0.0,155
RM,161,0.0,211
RS,84,0.0,146
RSD,85,0.0,155
RSN,134,0.0,348
RSW,35,0.0,100
RTA,17,38.516129032258064,85
RTB,28,0.0,155
RTD,27,38.516129032258064,85
RTN,22,38.516129032258064,87
RTST,32,0.0,155
RTZ,31,0.0,155
RV,172,0.0,260
RVS,104,0.0,167
SBK,192,0.0,117
SD,49,0.0,97
SDA,249,0.0,401
SDM,31,0.0,155
SDT,57,0.0,272
SDTB,54,0.0,272
SGL,196,0.0,117
SGN,119,0.0,372
SHL,65,0.0,206
SK,233,0.0,330
SKND,232,0.0,330
SM,166,0.0,260
SN,190,0.0,117
SOG,190,0.0,117
SPTN,72,0.0,206
SPTZ,70,0.0,206
SRN,179,0.0,289
SSH,44,0.0,206
ST,48,0.0,97
STD,186,0.0,260
STM,244,0.0,407
STV,262,0.0,338
STZ,47,0.0,97
SWD,233,0.0,395
SWK,158,0.0,377
TB,98,0.0,478
TBG,123,0.0,367
TBR,93,0.0,497
TBU,97,0.0,499
TG,166,0.0,212
TL,67,35.225806451612904,116
TPSW,65,35.225806451612904,116
TWL,103,0.0,348
UHM,257,0.0,411
UHZ,254,0.0,411
UST,249,0.0,410
UT,29,38.58064516129032,0
UTG,82,36.193548387096776,318
UTLN,33,36.25806451612903,73
UTLR,26,38.54838709677419,15
UTO,32,0.0,73
UTT,24,38.54838709677419,10
UTVR,30,36.25806451612903,73
UTZL,31,0.0,73
VB,28,42.354838709677416,85
VD,123,0.0,348
VDL,184,0.0,117
VDM,249,0.0,408
VEM,107,0.0,350
VG,81,0.0,146
VH,44,0.0,206
VHP,156,0.0,337
VK,193,0.0,117
VL,161,0.0,211
VLB,138,0.0,393
VNDC,64,0.0,107
VNDW,63,0.0,107
VP,93,0.0,331
