Station Code,Distance from APG,Services from/to APG,Disruptions on path to APG
DDR,302,0.0,434
DDRS,299,0.0,434
DDZD,303,0.0,551
DEI,92,0.0,44
DID,233,0.0,134
DL,152,0.0,46
DLD,215,0.0,286
DLN,199,0.0,80
DMN,244,0.0,184
DMNZ,244,0.0,47
DN,323,0.0,498
DR,200,0.0,122
DRH,278,0.0,342
DRON,172,0.0,46
DRP,99,0.0,58
DT,296,0.0,27
DTC,244,0.0,154
DTCH,242,0.0,154
DTCP,296,0.0,514
DV,171,0.0,56
DVC,175,0.0,122
DVD,246,0.0,177
DVN,223,0.0,131
DVNK,280,0.0,394
DWE,71,0.0,50
DZ,4,31.096774193548388,0
DZW,3,31.096774193548388,0
EC,333,0.0,581
ED,233,0.0,382
EDC,235,0.0,404
EDN,375,0.0,585
EEM,57,0.0,40
EGH,369,0.0,600
EGHM,370,0.0,600
EHS,306,0.0,435
EHV,307,0.0,435
EKZ,312,0.0,397
EML,183,0.0,49
EMN,215,0.0,81
EMNZ,211,0.0,80
ES,207,0.0,156
ESK,203,0.0,156
EST,227,0.0,382
ETN,329,0.0,768
FN,105,0.0,44
FWD,74,0.0,27
GBG,188,0.0,66
GD,259,0.0,359
GDG,256,0.0,359
GDM,253,0.0,359
GDR,249,0.0,171
GERP,36,0.0,27
GK,53,0.0,27
GLN,349,0.0,583
GN,34,31.096774193548388,12
GND,288,0.0,423
GNN,30,31.096774193548388,12
GO,214,0.0,189
GP,313,0.0,497
GR,279,0.0,421
GS,390,0.0,556
GV,288,0.0,12
GVC,287,0.0,12
GVM,288,0.0,479
GVMW,289,0.0,12
GW,101,0.0,44
GZ,308,0.0,447
HAD,274,0.0,325
HB,360,0.0,614
HBZM,291,0.0,433
HD,179,0.0,46
HDB,182,0.0,53
HDE,158,0.0,46
HDG,78,0.0,27
HDR,332,0.0,426
HDRZ,331,0.0,426
HFD,266,0.0,251
HGL,199,0.0,137
HGLG,201,0.0,156
HGLO,201,0.0,156
HGV,92,0.0,27
HGZ,49,0.0,50
HIL,281,0.0,325
HK,277,0.0,364
HKS,304,0.0,381
HLG,114,0.0,45
HLGH,115,0.0,49
HLM,270,0.0,304
HLMS,269,0.0,325
HLO,285,0.0,331
HM,320,0.0,497
HMBH,321,0.0,501
HMBV,317,0.0,497
HMH,319,0.0,497
HMN,241,0.0,396
HN,294,0.0,325
HNK,295,0.0,381
HNO,152,0.0,46
HNP,130,0.0,47
HON,190,0.0,122
HOR,228,0.0,47
HR,117,0.0,44
HRL,364,0.0,583
HRLW,366,0.0,600
HRN,40,0.0,27
HRT,305,0.0,498
HT,275,0.0,359
HTN,235,0.0,359
HTNC,236,0.0,387
HTO,276,0.0,432
HVL,212,0.0,286
HVS,222,0.0,46
HVSM,223,0.0,47
HVSP,223,0.0,47
HWD,297,0.0,407
HWZB,262,0.0,325
HZE,318,0.0,503
IJT,113,0.0,45
KBD,372,0.0,556
KBK,195,0.0,82
KLP,240,0.0,404
KMA,269,0.0,338
KMR,372,0.0,600
KMW,135,0.0,52
KPN,155,0.0,46
KPNZ,155,0.0,46
KRD,372,0.0,611
KRG,379,0.0,556
KTR,248,0.0,396
KW,46,0.0,48
KZ,263,0.0,328
LAA,288,0.0,41
LC,204,0.0,122
LDL,276,0.0,377
LDM,267,0.0,403
LEDN,277,0.0,384
LG,367,0.0,600
LLS,197,0.0,32
LLZM,272,0.0,444
LP,8,31.096774193548388,0
LTN,232,0.0,303
LTV,222,0.0,124
LUT,349,0.0,583
LW,88,0.0,27
LWC,85,0.0,37
MAS,234,0.0,359
MDB,409,0.0,583
MES,372,0.0,585
MG,98,0.0,44
MMLH,245,0.0,403
MP,112,0.0,27
MRB,174,0.0,53
MRN,247,0.0,391
MT,366,0.0,583
MTH,47,0.0,50
MTN,369,0.0,585
MTR,367,0.0,585
MZ,328,0.0,508
NDB,228,0.0,47
NH,357,0.0,614
NKK,195,0.0,49
