Station Code,Distance from DL,Services from/to DL,Disruptions on path to DL
UTVR,100,0.0,327
UTZL,101,0.0,327
VB,156,0.0,412
VD,71,0.0,90
VDL,0,0.0,0
VDM,145,0.0,95
VEM,63,0.0,90
VG,151,0.0,400
VH,157,0.0,362
VHP,28,0.0,3
VK,249,0.0,568
VL,169,0.0,466
VLB,139,0.0,413
VNDC,134,0.0,361
VNDW,133,0.0,361
VP,82,0.0,96
VRY,146,0.0,414
VS,287,0.0,640
VSS,286,0.0,640
VST,154,0.0,447
VSV,125,0.0,123
VTN,106,0.0,332
VZ,35,0.0,4
WAD,139,0.0,412
WADN,140,0.0,412
WADT,138,0.0,412
WC,116,0.0,350
WD,115,0.0,254
WDN,46,0.0,74
WF,96,0.0,350
WFM,142,0.0,97
WH,26,0.0,14
WK,145,0.0,34
WL,111,0.0,122
WM,139,0.0,441
WP,109,0.0,266
WR,172,0.0,106
WS,150,0.0,97
WSM,134,0.0,83
WT,207,0.0,462
WTV,91,0.0,99
WV,67,0.0,14
WW,104,0.0,104
WWW,103,0.0,104
WZ,21,0.0,14
YPB,152,0.0,412
ZA,110,0.0,364
ZB,137,0.0,91
ZBM,134,0.0,451
ZD,133,0.0,438
ZDK,136,0.0,441
ZH,130,0.0,82
ZL,12,42.354838709677416,0
ZLSH,17,0.0,14
ZLW,189,0.0,602
ZP,59,0.0,90
ZTM,147,0.0,412
ZTMO,146,0.0,412
ZV,100,0.0,102
ZVB,197,0.0,607
ZVT,150,0.0,455
ZWD,173,0.0,596
ZZS,136,0.0,441
