Station Code,Distance from ALMB,Services from/to ALMB,Disruptions on path to ALMB
ODZ,145,0.0,135
OMN,98,0.0,32
OP,109,0.0,263
OST,96,0.0,25
OT,124,0.0,333
OTB,100,0.0,424
OVN,57,0.0,426
OW,121,0.0,290
PMO,61,0.0,389
PMR,60,0.0,410
PMW,59,0.0,413
PT,71,0.0,384
RAI,34,20.41935483870968,134
RAT,93,0.0,25
RB,196,0.0,425
RD,219,0.0,109
RH,114,0.0,682
RHN,98,0.0,252
RL,136,0.0,168
RLB,116,0.0,303
RM,187,0.0,355
RS,110,0.0,290
RSD,167,0.0,303
RSN,123,0.0,46
RSW,94,0.0,348
RTA,99,0.0,233
RTB,110,6.806451612903226,303
RTD,109,7.225806451612903,233
RTN,104,0.0,235
RTST,114,0.0,303
RTZ,113,0.0,303
RV,197,0.0,560
RVS,130,0.0,311
SBK,219,0.0,436
SD,48,0.0,158
SDA,208,0.0,99
SDM,109,7.225806451612903,449
SDT,120,0.0,291
SDTB,123,0.0,292
SGL,243,0.0,422
SGN,96,0.0,502
SHL,46,62.32258064516129,205
SK,192,0.0,31
SKND,191,0.0,31
SM,192,0.0,404
SN,221,0.0,437
SOG,241,0.0,423
SPTN,62,0.0,426
SPTZ,60,0.0,426
SRN,205,0.0,433
SSH,67,34.096774193548384,333
ST,49,0.0,158
STD,212,0.0,404
STM,203,0.0,105
STV,221,0.0,39
STZ,50,0.0,158
SWD,192,0.0,93
SWK,117,0.0,75
TB,125,0.0,290
TBG,140,0.0,718
TBR,130,0.0,303
TBU,126,0.0,303
TG,190,0.0,541
TL,93,0.0,260
TPSW,91,0.0,260
TWL,106,0.0,166
UHM,216,0.0,109
UHZ,213,0.0,109
UST,208,0.0,108
UT,55,0.0,144
UTG,59,0.0,448
UTLN,59,0.0,217
UTLR,58,0.0,217
UTO,52,0.0,144
UTT,60,0.0,217
UTVR,56,0.0,217
UTZL,57,0.0,217
VB,93,0.0,362
VD,126,0.0,166
VDL,235,0.0,423
VDM,208,0.0,106
VEM,110,0.0,168
VG,107,0.0,290
VH,76,0.0,410
VHP,115,0.0,35
VK,244,0.0,423
VL,185,0.0,540
VLB,155,0.0,487
VNDC,90,0.0,251
VNDW,89,0.0,251
VP,110,0.0,682
VRY,162,0.0,488
VS,242,0.0,335
VSS,241,0.0,308
VST,80,19.032258064516128,428
VSV,147,0.0,718
VTN,62,0.0,222
VZ,122,0.0,36
WAD,93,0.0,233
WADN,94,0.0,233
WADT,92,0.0,233
WC,132,0.0,681
WD,69,0.0,148
WDN,115,0.0,46
WF,96,0.0,424
WFM,205,0.0,108
WH,89,0.0,25
WK,208,0.0,34
WL,129,0.0,701
WM,52,0.0,413
WP,22,58.58064516129032,132
WR,235,0.0,117
WS,213,0.0,108
WSM,197,0.0,94
WT,163,0.0,355
WTV,109,0.0,683
WV,130,0.0,14
WW,159,0.0,180
WWW,158,0.0,180
WZ,84,0.0,25
YPB,97,0.0,365
ZA,115,0.0,263
ZB,200,0.0,102
ZBM,90,0.0,260
ZD,46,0.0,410
ZDK,49,0.0,413
ZH,193,0.0,93
ZL,75,36.87096774193548,11
ZLSH,80,0.0,25
ZLW,144,0.0,420
ZP,114,0.0,166
ZTM,101,0.0,233
ZTMO,100,0.0,233
ZV,118,0.0,681
ZVB,152,0.0,425
ZVT,63,0.0,426
ZWD,127,0.0,408
ZZS,49,0.0,413
