Station Code,Distance from UTO,Services from/to UTO,Disruptions on path to UTO
OMN,107,0.0,261
OP,57,0.0,119
OST,86,0.0,306
OT,72,0.0,189
OTB,57,0.0,95
OVN,63,0.0,368
OW,69,0.0,146
PMO,67,0.0,331
PMR,66,0.0,352
PMW,65,0.0,355
PT,36,36.67741935483871,240
RAI,37,15.064516129032258,76
RAT,102,0.0,254
RB,145,0.0,270
RD,228,0.0,338
RH,71,0.0,331
RHN,46,0.0,108
RL,101,0.0,277
RLB,66,0.0,228
RM,135,0.0,211
RS,58,0.0,146
RSD,116,0.0,265
RSN,102,0.0,275
RSW,67,0.0,173
RTA,49,0.0,158
RTB,60,0.0,228
RTD,59,0.0,158
RTN,54,0.0,160
RTST,64,0.0,228
RTZ,63,0.0,228
RV,146,0.0,260
RVS,78,0.0,167
SBK,167,0.0,292
SD,17,28.93548387096774,24
SDA,217,0.0,328
SDM,63,0.0,228
SDT,68,0.0,147
SDTB,71,0.0,148
SGL,191,0.0,278
SGN,102,0.0,444
SHL,49,14.129032258064516,87
SK,201,0.0,257
SKND,200,0.0,257
SM,140,0.0,260
SN,169,0.0,293
SOG,189,0.0,279
SPTN,68,0.0,368
SPTZ,66,0.0,368
SRN,153,0.0,289
SSH,61,0.0,181
ST,16,28.93548387096774,24
STD,160,0.0,260
STM,212,0.0,334
STV,230,0.0,265
STZ,15,28.93548387096774,24
SWD,201,0.0,322
SWK,126,0.0,304
TB,73,0.0,146
TBG,97,0.0,367
TBR,78,0.0,159
TBU,74,0.0,159
TG,140,0.0,212
TL,41,0.0,116
TPSW,39,0.0,116
TWL,71,0.0,275
UHM,225,0.0,338
UHZ,222,0.0,338
UST,217,0.0,337
UT,3,117.5483870967742,0
UTG,65,0.0,390
UTLN,7,0.0,73
UTLR,6,0.0,73
UTO,0,0.0,0
