Station Code,Distance from AMFS,Services from/to AMFS,Disruptions on path to AMFS
AC,48,0.0,346
AH,54,0.0,280
AHP,55,0.0,537
AHPR,57,0.0,537
AHZ,62,0.0,537
AKL,71,0.0,357
AKM,140,0.032258064516129,64
ALM,50,0.0,253
ALMB,56,0.0,384
ALMM,49,0.0,252
ALMO,58,0.0,384
ALMP,52,0.0,384
AMF,3,102.70967741935485,0
AMFS,0,0.0,0
AML,100,0.0,306
AMPO,47,0.0,252
AMR,87,0.0,539
AMRI,102,0.0,376
AMRN,88,0.0,614
ANA,117,0.0,625
APD,46,0.0,240
APDM,47,0.0,275
APDO,49,0.0,275
APG,203,0.0,94
APN,59,0.0,250
ARN,202,0.0,510
ASA,45,0.0,244
ASB,45,0.0,244
ASD,48,31.387096774193548,254
ASDL,55,17.225806451612904,512
ASDM,44,31.387096774193548,240
ASDZ,47,17.096774193548388,241
ASHD,46,0.0,258
ASN,141,0.0,14
ASS,52,17.225806451612904,512
ASSP,43,31.387096774193548,259
ATN,106,0.0,574
AVAT,3,69.64516129032258,0
BD,115,0.0,399
BDE,196,0.0,502
BDG,51,0.0,241
BDM,184,0.0,83
BDPB,120,0.0,722
BET,94,0.0,313
BF,188,0.0,83
BGN,150,0.0,509
BHDV,82,0.0,377
BHV,15,35.483870967741936,244
BK,189,0.0,503
BKF,106,0.0,597
BKG,105,0.0,593
BKL,36,0.0,313
BL,125,0.0,14
BLL,70,0.0,549
BMN,71,0.0,275
BMR,98,0.0,315
BN,109,0.0,376
BNC,22,0.0,241
BNK,32,0.0,313
BNN,19,0.0,240
BNZ,24,0.0,257
BP,182,0.0,31
BR,133,0.0,344
BRD,91,0.0,474
BRN,12,31.41935483870968,240
BSD,57,0.0,356
BSK,65,0.0,331
BSKS,66,0.0,354
BSMZ,24,31.41935483870968,241
BTL,84,0.0,386
BV,77,0.0,533
BZL,182,0.0,540
CAS,75,0.0,536
CK,88,0.0,312
CL,42,0.0,341
CO,118,0.0,34
CPS,69,0.0,398
CVM,206,0.0,520
DA,105,0.0,24
DB,36,0.0,313
DDN,104,0.0,290
