Station Code,Distance from EMNZ,Services from/to EMNZ,Disruptions on path to EMNZ
AC,182,0.0,397
AH,140,0.0,170
AHP,139,0.0,174
AHPR,137,0.0,173
AHZ,148,0.0,427
AKL,205,0.0,486
AKM,148,0.0,98
ALM,152,0.0,59
ALMB,146,0.0,59
ALMM,153,0.0,190
ALMO,144,0.0,48
ALMP,150,0.0,64
AMF,137,0.0,48
AMFS,134,0.0,48
AML,56,0.0,31
AMPO,155,0.0,191
AMR,221,0.0,475
AMRI,58,0.0,101
AMRN,222,0.0,550
ANA,251,0.0,561
APD,110,0.0,167
APDM,111,0.0,202
APDO,107,0.0,167
APG,211,0.0,128
APN,193,0.0,298
ARN,334,0.0,914
ASA,179,0.0,193
ASB,179,0.0,193
ASD,182,0.0,190
ASDL,189,0.0,469
ASDM,178,0.0,307
ASDZ,181,0.0,190
ASHD,180,0.0,207
ASN,149,0.0,48
ASS,186,0.0,448
ASSP,177,0.0,307
ATN,168,0.0,181
AVAT,131,0.0,54
BD,245,0.0,555
BDE,284,0.0,629
BDG,185,0.0,289
BDM,192,0.0,117
BDPB,250,0.0,878
BET,224,0.0,585
BF,196,0.0,117
BGN,282,0.0,883
BHDV,216,0.0,506
BHV,149,0.0,292
BK,277,0.0,629
BKF,240,0.0,533
BKG,239,0.0,529
BKL,170,0.0,364
BL,133,0.0,53
BLL,204,0.0,485
BMN,118,0.0,167
BMR,184,0.0,462
BN,65,0.0,101
BNC,156,0.0,289
BNK,166,0.0,361
BNN,153,0.0,288
BNZ,158,0.0,305
BP,190,0.0,65
BR,219,0.0,491
BRD,225,0.0,531
BRN,146,0.0,288
BSD,191,0.0,485
BSK,199,0.0,379
BSKS,200,0.0,402
BSMZ,158,0.0,289
BTL,214,0.0,542
BV,211,0.0,508
BZL,314,0.0,914
CAS,209,0.0,472
CK,174,0.0,459
CL,176,0.0,389
CO,16,38.516129032258064,0
CPS,203,0.0,446
CVM,294,0.0,646
DA,45,0.0,30
DB,170,0.0,361
DDN,75,0.0,120
DDR,233,0.0,519
DDRS,230,0.0,517
DDZD,234,0.0,636
DEI,170,0.0,65
DID,157,0.0,179
DL,59,38.516129032258064,27
DLD,146,0.0,288
DLN,20,20.93548387096774,14
DMN,175,0.0,306
DMNZ,175,0.0,306
DN,247,0.0,543
DR,124,0.0,167
DRH,209,0.0,504
DRON,103,0.0,48
DRP,177,0.0,79
DT,227,0.0,461
DTC,168,0.0,199
DTCH,166,0.0,199
