Station Code,Distance from SDM,Services from/to SDM,Disruptions on path to SDM
AC,75,0.0,197
AH,118,0.3870967741935484,228
AHP,119,0.0,485
AHPR,121,0.0,487
AHZ,121,0.0,281
AKL,52,0.0,202
AKM,224,0.0,532
ALM,103,6.806451612903226,250
ALMB,109,6.806451612903226,381
ALMM,102,0.0,268
ALMO,111,0.032258064516129,381
ALMP,105,0.0,381
AMF,81,0.0,228
AMFS,84,0.0,468
AML,178,0.0,534
AMPO,100,0.0,268
AMR,98,0.0,245
AMRI,180,0.0,604
AMRN,99,0.0,320
ANA,128,0.0,331
APD,124,0.0,468
APDM,125,0.0,503
APDO,127,0.0,503
APG,287,0.0,562
APN,46,0.0,178
ARN,127,21.90322580645161,106
ASA,80,0.0,253
ASB,80,1.064516129032258,176
ASD,82,32.03225806451613,126
ASDL,75,0.0,176
ASDM,0,0.0,0
ASDZ,74,8.580645161290322,176
ASHD,81,0.0,190
ASN,225,0.0,482
ASS,78,29.516129032258064,176
ASSP,83,0.0,304
ATN,170,0.0,522
AVAT,87,0.0,474
BD,54,0.0,70
BDE,204,0.0,507
BDG,54,0.0,259
BDM,268,0.0,551
BDPB,49,0.0,192
BET,102,0.0,449
BF,272,0.0,551
BGN,75,33.29032258064516,75
BHDV,41,0.0,200
BHV,69,0.0,228
BK,197,0.0,507
BKF,132,0.0,261
BKG,131,0.0,257
BKL,63,0.0,164
BL,209,0.0,487
BLL,66,0.0,203
BMN,140,0.0,488
BMR,151,0.0,316
BN,187,0.0,604
BNC,100,0.0,469
BNK,68,0.0,228
BNN,97,0.0,468
BNZ,102,0.0,485
BP,266,0.0,499
BR,162,0.6774193548387096,487
BRD,15,59.74193548387097,85
BRN,84,0.0,252
BSD,66,0.0,220
BSK,40,0.0,155
BSKS,39,0.0,155
BSMZ,83,0.0,229
BTL,92,0.0,406
BV,76,0.0,223
BZL,107,21.90322580645161,106
CAS,86,0.0,242
CK,141,0.0,313
CL,78,0.0,256
CO,202,0.0,502
CPS,15,0.0,72
CVM,214,0.0,524
DA,189,0.0,604
DB,72,0.0,228
DDN,182,0.0,518
DDR,24,117.58064516129032,70
DDRS,27,0.0,187
DDZD,25,0.032258064516129,187
DEI,246,0.0,499
DID,137,0.0,485
DL,159,0.0,482
DLD,72,0.0,248
DLN,206,0.0,516
DMN,85,0.0,304
DMNZ,80,0.0,253
DN,134,0.6774193548387096,459
DR,134,0.0,485
DRH,71,0.0,222
DRON,152,0.0,395
DRP,253,0.0,513
DT,10,131.29032258064515,0
DTC,148,0.0,505
DTCH,146,0.0,505
DTCP,9,59.96774193548387,0
DV,139,0.0,468
DVC,143,0.0,534
DVD,78,6.806451612903226,250
DVN,127,0.0,487
DVNK,31,0.0,119
DWE,259,0.0,499
DZ,291,0.0,580
DZW,290,0.0,580
EC,177,0.0,504
ED,101,0.3870967741935484,228
EDC,103,0.0,250
EDN,219,0.0,508
EEM,298,0.0,579
EGH,213,0.0,523
EGHM,214,0.0,523
EHS,111,0.0,525
EHV,112,0.6774193548387096,393
EKZ,135,0.0,269
EML,104,0.0,471
EMN,222,0.0,517
EMNZ,218,0.0,516
ES,195,0.0,570
ESK,191,0.0,570
EST,118,0.0,267
ETN,65,0.0,393
FN,259,0.0,499
FWD,256,0.0,499
GBG,195,0.0,502
GD,28,0.0,70
GDG,31,0.0,155
GDM,73,0.0,221
GDR,153,0.0,522
GERP,251,0.0,535
GK,272,0.0,550
GLN,193,0.0,506
GN,253,0.0,535
GND,38,0.0,190
GNN,257,0.0,550
GO,172,0.0,510
GP,118,0.0,455
GR,47,0.0,200
GS,112,32.54838709677419,106
GV,18,126.2258064516129,101
GVC,19,57.516129032258064,116
GVM,23,0.0,116
GVMW,17,57.516129032258064,101
GW,229,0.0,489
GZ,64,0.0,393
HAD,59,29.516129032258064,126
HB,204,0.0,537
HBZM,35,0.0,190
HD,108,0.0,471
HDB,189,0.0,489
HDE,129,0.0,468
HDG,252,0.0,499
HDR,140,0.0,340
HDRZ,139,0.0,340
HFD,58,0.064516129032258,126
HGL,187,0.0,551
HGLG,185,0.0,551
HGLO,189,0.0,570
HGV,195,0.0,482
HGZ,264,0.0,558
HIL,52,0.0,126
HK,79,0.0,241
HKS,127,0.0,253
HLG,268,0.0,500
HLGH,269,0.0,504
HLM,63,29.516129032258064,166
HLMS,64,0.0,203
HLO,93,0.0,245
HM,125,0.6774193548387096,455
HMBH,126,0.0,459
HMBV,122,0.0,455
HMH,124,0.0,455
HMN,104,0.0,267
HN,117,0.0,197
HNK,118,0.0,253
HNO,159,0.0,482
HNP,284,0.0,502
HON,158,0.0,534
HOR,72,0.0,228
HR,213,0.0,482
HRL,208,0.0,506
HRLW,210,0.0,523
