Station Code,Distance from GVMW,Services from/to GVMW,Disruptions on path to GVMW
AC,68,0.0,108
AH,120,0.0,120
AHP,121,0.0,377
AHPR,123,0.0,377
AHZ,128,0.0,377
AKL,69,0.0,231
AKM,226,0.0,424
ALM,86,0.0,168
ALMB,92,0.0,299
ALMM,85,0.0,112
ALMO,94,0.0,299
ALMP,88,0.0,299
AMF,83,0.0,120
AMFS,86,0.0,360
AML,180,0.0,426
AMPO,83,0.0,112
AMR,81,0.0,65
AMRI,182,0.0,496
AMRN,82,0.0,140
ANA,111,0.0,151
APD,126,0.0,360
APDM,127,0.0,395
APDO,129,0.0,395
APG,289,0.0,12
APN,32,0.0,32
ARN,144,0.0,176
ASA,63,0.0,97
ASB,63,0.0,94
ASD,65,0.0,44
ASDL,58,0.0,94
ASDM,65,0.0,134
ASDZ,57,0.0,94
ASHD,64,0.0,108
ASN,227,0.0,374
ASS,61,0.0,25
ASSP,66,0.0,148
ATN,172,0.0,414
AVAT,89,0.0,366
BD,71,0.0,171
BDE,179,0.0,19
BDG,40,0.0,113
BDM,270,0.0,1
BDPB,66,0.0,223
BET,119,0.0,550
BF,274,0.0,1
BGN,92,0.0,222
BHDV,58,0.0,229
BHV,71,0.0,120
BK,174,0.0,20
BKF,115,0.0,110
BKG,114,0.0,106
BKL,65,0.0,101
BL,211,0.0,374
BLL,49,0.0,25
BMN,142,0.0,380
BMR,164,0.0,412
BN,189,0.0,496
BNC,102,0.0,361
BNK,70,0.0,120
BNN,99,0.0,360
BNZ,104,0.0,377
BP,268,0.0,377
BR,179,0.0,588
BRD,32,57.354838709677416,177
BRN,86,0.0,144
BSD,83,0.0,249
BSK,38,0.0,113
BSKS,39,0.0,136
BSMZ,80,0.0,123
BTL,109,0.0,507
BV,59,0.0,27
BZL,124,0.0,253
CAS,69,0.0,62
CK,154,0.0,409
CL,80,0.0,148
CO,204,0.0,394
CPS,32,0.0,173
CVM,153,0.0,18
DA,191,0.0,496
DB,74,0.0,120
DDN,184,0.0,410
DDR,41,57.354838709677416,101
DDRS,44,0.0,218
DDZD,42,0.0,218
DEI,248,0.0,377
DID,139,0.0,377
DL,161,0.0,374
DLD,74,0.0,140
DLN,208,0.0,408
DMN,68,0.0,148
DMNZ,63,0.0,97
DN,151,0.0,560
DR,136,0.0,377
DRH,54,0.0,26
DRON,135,0.0,313
DRP,255,0.0,391
DT,7,82.80645161290323,0
DTC,150,0.0,397
DTCH,148,0.0,397
DTCP,8,58.483870967741936,101
DV,141,0.0,360
DVC,145,0.0,395
DVD,61,0.0,94
DVN,129,0.0,379
DVNK,14,0.0,18
DWE,261,0.0,377
DZ,293,0.0,30
DZW,292,0.0,30
EC,178,0.0,21
ED,103,0.0,120
EDC,105,0.0,142
EDN,182,0.0,19
EEM,300,0.0,13
EGH,152,0.0,17
EGHM,153,0.0,17
EHS,128,0.0,626
EHV,129,0.0,494
EKZ,118,0.0,118
EML,106,0.0,360
EMN,224,0.0,409
EMNZ,220,0.0,408
ES,197,0.0,462
ESK,193,0.0,462
EST,131,0.0,377
ETN,82,0.0,494
FN,261,0.0,377
FWD,258,0.0,377
GBG,197,0.0,394
GD,30,0.0,15
GDG,33,0.0,100
GDM,88,0.0,120
GDR,155,0.0,414
GERP,253,0.0,427
GK,274,0.0,442
GLN,162,0.0,18
GN,255,0.064516129032258,427
GND,55,0.0,219
GNN,259,0.064516129032258,0
GO,174,0.0,402
GP,135,0.0,556
GR,64,0.0,229
GS,129,0.0,176
GV,1,81.90322580645162,0
GVC,2,81.90322580645162,15
GVM,6,0.0,15
GVMW,0,0.0,0
GW,231,0.0,431
GZ,81,0.0,494
HAD,42,0.0,25
HB,151,0.0,17
HBZM,52,0.0,219
HD,110,0.0,363
HDB,191,0.0,381
HDE,131,0.0,360
HDG,254,0.0,377
HDR,123,0.0,160
