Station Code,Distance from VEM,Services from/to VEM,Disruptions on path to VEM
WL,56,0.0,32
WM,118,0.0,573
WP,88,0.0,289
WR,211,0.0,182
WS,189,0.0,173
WSM,173,0.0,159
WT,155,0.0,418
WTV,36,0.0,9
WV,106,0.0,90
WW,49,0.7096774193548387,14
WWW,48,0.7096774193548387,14
WZ,60,0.0,90
YPB,131,0.0,353
ZA,55,0.0,274
ZB,176,0.0,167
ZBM,98,0.0,320
ZD,112,0.0,570
ZDK,115,0.0,573
ZH,169,0.0,158
ZL,51,0.0,76
ZLSH,56,0.0,90
ZLW,153,0.0,729
ZP,4,27.64516129032258,0
ZTM,126,0.0,350
ZTMO,125,0.0,435
ZV,45,0.0,12
ZVB,161,0.0,734
ZVT,129,0.0,586
ZWD,140,0.0,469
ZZS,115,0.0,573
