Station Code,Distance from AMRI,Services from/to AMRI,Disruptions on path to AMRI
AC,144,0.0,485
AH,86,0.0,139
AHP,85,0.0,143
AHPR,83,0.0,142
AHZ,94,0.0,396
AKL,163,0.0,457
AKM,124,0.0,146
ALM,128,0.0,107
ALMB,122,0.0,107
ALMM,129,0.0,238
ALMO,120,0.0,96
ALMP,126,0.0,112
AMF,99,0.0,136
AMFS,102,0.0,376
AML,2,43.70967741935484,0
AMPO,131,0.0,239
AMR,183,0.0,662
AMRI,0,0.0,0
AMRN,184,0.0,737
ANA,213,0.0,748
APD,56,5.709677419354839,136
APDM,57,0.0,171
APDO,53,5.709677419354839,136
APG,187,0.0,176
APN,155,0.0,386
ARN,280,0.0,883
ASA,141,0.0,380
ASB,141,0.0,380
ASD,144,0.0,377
ASDL,151,0.0,656
ASDM,140,0.0,395
ASDZ,143,0.0,380
ASHD,142,0.0,394
ASN,125,0.0,96
ASS,148,0.0,635
ASSP,139,0.0,395
ATN,114,0.0,150
AVAT,105,0.0,382
BD,191,0.0,524
BDE,230,0.0,598
BDG,147,0.0,377
BDM,168,0.0,165
BDPB,196,0.0,847
BET,170,0.0,554
BF,172,0.0,165
BGN,228,0.0,852
BHDV,174,0.0,477
BHV,111,0.0,380
BK,223,0.0,598
BKF,202,0.0,720
BKG,201,0.0,716
BKL,132,0.0,452
BL,109,0.0,101
BLL,166,0.0,672
BMN,64,0.0,136
BMR,130,0.0,431
BN,7,44.29032258064516,0
BNC,118,0.0,377
BNK,128,0.0,449
BNN,115,0.0,376
BNZ,116,0.0,419
BP,166,0.0,113
BR,165,0.0,460
BRD,187,0.0,619
BRN,108,0.0,376
BSD,149,0.0,456
BSK,161,0.0,467
BSKS,162,0.0,490
BSMZ,120,0.0,377
BTL,160,0.0,511
BV,173,0.0,695
BZL,260,0.0,883
CAS,171,0.0,659
CK,120,0.0,428
CL,138,0.0,477
CO,42,0.0,87
CPS,165,0.0,534
CVM,240,0.0,615
DA,13,0.0,70
DB,132,0.0,449
DDN,17,0.0,20
DDR,191,0.0,490
DDRS,188,0.0,488
DDZD,192,0.0,607
DEI,146,0.0,113
DID,103,0.0,148
DL,43,0.0,74
DLD,108,0.0,376
DLN,46,0.0,101
DMN,137,0.0,394
DMNZ,137,0.0,394
DN,193,0.0,512
DR,70,0.0,136
DRH,171,0.0,691
DRON,79,0.0,96
DRP,153,0.0,127
DT,189,0.0,549
