Station Code,Distance from VHP,Services from/to VHP,Disruptions on path to VHP
AC,151,0.0,370
AH,97,0.0,140
AHP,96,0.0,144
AHPR,94,0.0,143
AHZ,105,0.0,397
AKL,174,0.0,381
AKM,117,0.0,74
ALM,121,0.0,35
ALMB,115,0.0,35
ALMM,122,0.0,166
ALMO,113,0.0,24
ALMP,119,0.0,40
AMF,106,0.0,24
AMFS,103,0.0,24
AML,13,25.451612903225808,1
AMPO,124,0.0,167
AMR,190,0.0,309
AMRI,15,0.0,71
AMRN,191,0.0,384
ANA,220,0.0,395
APD,67,0.0,137
APDM,68,0.0,172
APDO,64,0.0,137
APG,180,0.0,104
APN,162,0.0,274
ARN,291,0.0,853
ASA,148,0.0,28
ASB,148,0.0,28
ASD,151,0.0,24
ASDL,158,0.0,282
ASDM,147,0.0,264
ASDZ,150,0.0,25
ASHD,149,0.0,42
ASN,118,0.0,24
ASS,155,0.0,282
ASSP,146,0.0,43
ATN,125,0.0,151
AVAT,100,0.0,30
BD,202,0.0,525
BDE,241,0.0,598
BDG,154,0.0,265
BDM,161,0.0,93
BDPB,207,0.0,848
BET,181,0.0,512
BF,165,0.0,93
BGN,239,0.0,853
BHDV,185,0.0,401
BHV,118,0.0,268
BK,234,0.0,599
BKF,209,0.0,367
BKG,208,0.0,363
BKL,139,0.0,337
BL,102,0.0,24
BLL,173,0.0,319
BMN,75,0.0,137
BMR,141,0.0,432
BN,22,0.0,71
BNC,125,0.0,265
BNK,135,0.0,337
BNN,122,0.0,264
BNZ,127,0.0,420
BP,159,0.0,41
BR,176,0.0,461
BRD,194,0.0,498
BRN,115,0.0,264
BSD,160,0.0,380
BSK,168,0.0,355
BSKS,169,0.0,378
BSMZ,127,0.0,25
BTL,171,0.0,512
BV,180,0.0,303
BZL,271,0.0,884
CAS,178,0.0,306
CK,131,0.0,429
CL,145,0.0,365
CO,27,0.0,16
CPS,172,0.0,422
CVM,251,0.0,616
DA,2,25.451612903225808,0
DB,139,0.0,337
DDN,32,0.0,90
DDR,202,0.0,412
DDRS,199,0.0,412
DDZD,203,0.0,529
DEI,139,0.0,41
DID,114,0.0,149
DL,28,0.0,3
DLD,115,0.0,264
DLN,31,0.0,30
DMN,144,0.0,42
