Station Code,Distance from ALMM,Services from/to ALMM,Disruptions on path to ALMM
AC,31,0.0,6
AH,97,0.0,292
AHP,98,0.0,549
AHPR,100,0.0,549
AHZ,105,0.0,549
AKL,95,0.0,129
AKM,159,0.0,152
ALM,1,106.87096774193547,0
ALMB,7,62.064516129032256,131
ALMM,0,0.0,0
ALMO,9,62.064516129032256,131
ALMP,3,62.064516129032256,131
AMF,46,0.0,12
AMFS,49,0.0,252
AML,127,0.0,177
AMPO,2,105.12903225806453,0
AMR,68,0.0,292
AMRI,129,0.0,247
AMRN,69,0.0,367
ANA,98,0.0,378
APD,89,0.0,252
APDM,90,0.0,287
APDO,92,0.0,287
APG,222,0.0,236
APN,81,0.0,176
ARN,225,0.0,327
ASA,26,0.0,18
ASB,26,0.0,18
ASD,29,38.41935483870968,7
ASDL,36,34.903225806451616,265
ASDM,25,38.41935483870968,7
ASDZ,28,36.2258064516129,18
ASHD,27,0.0,32
ASN,160,0.0,156
ASS,33,34.903225806451616,265
ASSP,24,38.41935483870968,7
ATN,149,0.0,586
AVAT,52,0.0,258
BD,139,0.0,171
BDE,220,0.0,274
BDG,73,0.0,167
BDM,203,0.0,225
BDPB,144,0.0,494
BET,118,0.0,85
BF,207,0.0,225
BGN,173,0.0,443
BHDV,106,0.0,149
BHV,51,0.0,12
BK,213,0.0,275
BKF,87,0.0,350
BKG,86,0.0,346
BKL,43,0.0,133
BL,144,0.0,156
BLL,51,0.0,302
BMN,114,0.0,287
BMR,141,0.0,327
BN,136,0.0,247
BNC,65,0.0,253
BNK,56,0.0,85
BNN,62,0.0,252
BNZ,67,0.0,269
BP,201,0.0,162
BR,176,0.0,356
BRD,113,0.0,328
BRN,37,0.0,12
BSD,81,0.0,128
BSK,87,0.0,257
BSKS,88,0.0,280
BSMZ,25,0.0,11
BTL,108,0.0,158
BV,58,0.0,286
BZL,205,0.0,474
CAS,56,0.0,289
CK,131,0.0,324
CL,66,0.0,113
CO,137,0.0,176
CPS,91,0.0,252
CVM,230,0.0,292
DA,124,0.0,166
DB,60,0.0,85
DDN,146,0.0,266
DDR,122,0.0,322
DDRS,120,0.0,160
DDZD,123,0.0,439
DEI,181,0.0,162
DID,116,0.0,549
DL,94,0.0,156
DLD,49,0.0,26
DLN,141,0.0,190
DMN,22,38.41935483870968,6
DMNZ,22,36.2258064516129,6
DN,150,0.0,227
DR,113,0.0,549
DRH,56,0.0,303
DRON,50,36.87096774193548,145
DRP,188,0.0,176
DT,92,0.0,97
DTC,127,0.0,569
DTCH,125,0.0,569
DTCP,93,0.0,198
DV,104,0.0,252
DVC,108,0.0,287
DVD,24,36.2258064516129,15
DVN,106,0.0,551
DVNK,71,21.70967741935484,78
DWE,194,0.0,162
DZ,226,0.0,254
DZW,225,0.0,254
EC,193,0.0,272
ED,80,0.0,270
EDC,78,0.0,269
EDN,235,0.0,276
EEM,233,0.0,253
EGH,229,0.0,291
EGHM,230,0.0,291
EHS,127,0.0,161
EHV,128,0.0,161
EKZ,90,0.0,358
EML,69,0.0,252
EMN,157,0.0,191
EMNZ,153,0.0,190
ES,149,0.0,266
ESK,145,0.0,266
EST,108,0.0,549
ETN,150,0.0,494
FN,194,0.0,162
FWD,191,0.0,162
GBG,130,0.0,176
GD,78,0.0,167
GDG,75,0.0,167
GDM,74,0.0,85
GDR,132,0.0,586
GERP,186,0.0,209
GK,207,0.0,224
GLN,209,0.0,274
GN,188,0.0,209
GND,109,0.0,149
GNN,192,0.0,224
GO,137,0.0,294
GP,134,0.0,223
GR,100,0.0,147
GS,210,0.0,327
GV,84,0.0,97
GVC,83,21.70967741935484,68
GVM,79,21.70967741935484,163
GVMW,85,0.0,112
GW,164,0.0,152
GZ,129,0.0,173
HAD,52,0.0,286
HB,220,0.0,305
HBZM,112,0.0,159
HD,73,0.0,255
HDB,124,0.0,163
HDE,94,0.0,252
HDG,187,0.0,162
HDR,110,0.0,387
HDRZ,109,0.0,387
HFD,44,71.12903225806451,68
HGL,141,0.0,247
HGLG,143,0.0,266
HGLO,143,0.0,266
HGV,130,0.0,145
HGZ,199,0.0,232
HIL,59,0.0,286
HK,55,0.0,325
HKS,82,0.0,342
HLG,203,0.0,163
HLGH,204,0.0,167
HLM,48,0.0,265
HLMS,47,0.0,286
HLO,63,0.0,292
HM,141,0.0,223
HMBH,142,0.0,227
HMBV,138,0.0,223
HMH,140,0.0,223
HMN,105,0.0,131
HN,72,0.0,286
HNK,73,0.0,342
HNO,94,0.0,156
HNP,219,0.0,165
HON,123,0.0,287
HOR,36,15.67741935483871,12
HR,148,0.0,145
HRL,224,0.0,274
HRLW,226,0.0,291
HRN,182,0.0,209
HRT,168,0.0,255
HT,96,0.0,85
HTN,56,0.0,85
HTNC,57,0.0,113
HTO,97,0.0,158
HVL,52,0.0,252
HVS,30,30.483870967741936,11
HVSM,29,0.0,44
HVSP,31,30.483870967741936,12
HWD,75,0.0,368
HWZB,40,0.0,286
HZE,139,0.0,229
IJT,202,0.0,163
KBD,192,0.0,327
KBK,98,0.0,288
KLP,82,0.0,85
KMA,47,0.0,299
KMR,232,0.0,291
KMW,224,0.0,170
KPN,97,0.0,156
KPNZ,67,36.87096774193548,146
KRD,232,0.0,302
KRG,199,0.0,327
KTR,98,0.0,128
KW,196,0.0,230
KZ,41,0.0,289
LAA,82,21.70967741935484,196
LC,124,0.0,287
LDL,69,0.0,78
LDM,88,0.0,129
LEDN,68,36.774193548387096,68
LG,227,0.0,291
LLS,25,40.70967741935484,131
LLZM,91,0.0,252
LP,214,0.0,236
LTN,72,0.0,269
LTV,142,0.0,289
LUT,209,0.0,274
LW,177,0.0,145
LWC,180,0.0,162
MAS,48,0.0,166
MDB,229,0.0,354
MES,232,0.0,276
MG,187,0.0,162
MMLH,126,0.0,313
MP,110,0.0,156
MRB,116,0.0,163
MRN,68,0.0,117
MT,226,0.0,274
MTH,197,0.0,232
MTN,229,0.0,276
MTR,227,0.0,276
MZ,149,0.0,234
NDB,24,30.483870967741936,0
NH,217,0.0,305
NKK,57,0.0,252
NM,116,0.0,292
NMD,121,0.0,313
NMGO,119,0.0,313
NMH,119,0.0,313
NML,115,0.0,563
NS,85,0.0,252
NSCH,232,0.0,239
NVD,114,0.0,165
NVP,49,36.774193548387096,68
NWK,87,0.0,252
O,115,0.0,158
OBD,81,0.0,286
ODB,153,0.0,444
ODZ,152,0.0,266
OMN,105,0.0,163
OP,102,0.0,131
OST,103,0.0,156
OT,117,0.0,201
OTB,93,0.0,292
OVN,50,0.0,302
OW,114,0.0,158
PMO,54,0.0,265
PMR,53,0.0,286
PMW,52,0.0,289
PT,64,0.0,252
RAI,27,36.2258064516129,18
RAT,100,0.0,156
RB,189,0.0,444
RD,226,0.0,240
RH,107,0.0,550
RHN,91,0.0,120
RL,129,0.0,289
RLB,109,0.0,322
RM,180,0.0,223
RS,103,0.0,158
RSD,160,0.0,322
RSN,130,0.0,287
RSW,87,0.0,97
RTA,92,0.0,252
RTB,103,0.0,322
RTD,102,0.0,252
RTN,97,0.0,254
RTST,107,0.0,322
RTZ,106,0.0,322
