Station Code,Distance from RTD,Services from/to RTD,Disruptions on path to RTD
NH,175,0.0,118
NKK,88,0.0,398
NM,122,0.0,209
NMD,127,0.0,230
NMGO,125,0.0,230
NMH,125,0.0,230
NML,121,0.0,209
NS,116,0.032258064516129,398
NSCH,293,0.0,495
NVD,175,0.0,421
NVP,57,0.032258064516129,126
NWK,15,38.38709677419355,58
O,110,0.0,265
OBD,115,0.0,252
ODB,51,0.064516129032258,122
ODZ,194,0.0,500
OMN,166,0.0,419
OP,97,0.0,195
OST,145,0.0,464
OT,79,0.0,336
OTB,110,0.0,180
OVN,69,0.0,126
OW,109,0.0,265
PMO,103,0.0,71
PMR,102,0.0,71
PMW,101,0.0,74
PT,95,0.0,398
RAI,79,0.0,124
RAT,161,0.0,412
RB,87,22.83870967741936,122
RD,287,0.0,496
RH,124,0.0,416
RHN,99,0.0,193
RL,160,0.0,435
RLB,7,60.064516129032256,0
RM,160,0.0,385
RS,98,0.0,265
RSD,58,38.74193548387097,0
RSN,161,0.0,433
RSW,19,57.516129032258064,101
RTA,10,86.35483870967742,0
RTB,1,119.4516129032258,0
RTD,0,0.0,0
RTN,5,38.38709677419355,0
RTST,5,1.032258064516129,0
RTZ,4,60.064516129032256,0
RV,171,0.0,434
RVS,118,0.0,286
SBK,180,0.0,118
SD,76,0.0,182
SDA,276,0.0,486
SDM,4,131.29032258064515,0
SDT,30,0.0,117
SDTB,27,0.0,117
SGL,184,0.0,118
SGN,123,0.0,252
SHL,67,117.29032258064515,0
SK,260,0.0,415
SKND,259,0.0,415
SM,165,0.0,434
SN,178,0.0,118
SOG,178,0.0,118
SPTN,74,0.0,126
SPTZ,72,0.0,126
SRN,178,0.0,463
SSH,46,0.0,126
ST,75,0.0,182
STD,185,0.0,434
STM,271,0.0,492
STV,289,0.0,423
STZ,74,0.0,182
SWD,260,0.0,480
SWK,185,16.35483870967742,462
TB,71,35.25806451612903,323
TBG,150,0.0,452
TBR,66,0.0,342
TBU,70,0.0,344
TG,165,0.0,386
TL,81,0.0,192
TPSW,79,0.0,192
TWL,130,0.0,433
UHM,284,0.0,496
UHZ,281,0.0,496
UST,276,0.0,495
UT,56,52.38709677419355,85
UTG,86,36.193548387096776,146
UTLN,60,0.0,158
UTLR,53,1.870967741935484,100
UTO,59,0.0,158
UTT,51,1.870967741935484,95
UTVR,57,0.0,158
UTZL,58,0.0,158
VB,26,0.0,145
VD,150,0.0,433
VDL,172,0.0,118
VDM,276,0.0,493
VEM,134,0.0,435
VG,95,0.0,265
VH,46,0.0,126
VHP,183,0.0,422
VK,181,0.0,118
VL,160,0.6774193548387096,385
VLB,154,0.0,272
VNDC,91,0.0,192
VNDW,90,0.0,192
VP,120,0.0,416
VRY,161,0.0,273
VS,133,33.483870967741936,32
VSS,132,22.83870967741936,5
VST,33,0.0,119
VSV,157,0.0,452
VTN,49,1.870967741935484,86
VZ,180,0.0,534
WAD,32,0.0,85
WADN,33,0.0,85
WADT,31,0.0,85
WC,125,0.0,289
WD,40,38.38709677419355,85
WDN,169,0.0,440
WF,106,0.0,180
WFM,273,0.0,495
WH,152,0.0,474
WK,276,0.0,418
WL,139,0.0,435
WM,93,36.193548387096776,172
WP,87,0.0,246
WR,303,0.0,504
WS,281,0.0,495
WSM,265,0.0,481
WT,136,0.0,385
WTV,119,0.0,417
WV,198,0.0967741935483871,412
WW,178,0.0,471
WWW,179,0.0,471
WZ,134,0.0,411
YPB,30,0.0,148
ZA,103,0.0,195
ZB,268,0.0,489
ZBM,78,0.0,192
ZD,88,36.193548387096776,71
ZDK,91,0.0,74
ZH,261,0.0,480
ZL,143,34.54838709677419,398
ZLSH,148,0.0,412
ZLW,35,0.1290322580645161,117
ZP,138,0.0,433
ZTM,35,0.0,145
ZTMO,36,0.0,145
ZV,128,0.0,415
ZVB,43,0.064516129032258,122
ZVT,75,0.0,126
ZWD,18,60.064516129032256,105
ZZS,91,36.193548387096776,74
