Station Code,Distance from ZLSH,Services from/to ZLSH,Disruptions on path to ZLSH
AC,116,0.0,363
AH,81,0.0,93
AHP,80,0.0,97
AHPR,78,0.0,96
AHZ,89,0.0,350
AKL,139,0.0,452
AKM,82,0.0,64
ALM,86,0.0,25
ALMB,80,0.0,25
ALMM,87,0.0,156
ALMO,78,0.0,14
ALMP,84,0.0,30
AMF,71,0.0,14
AMFS,68,0.0,14
AML,50,0.0,26
AMPO,89,0.0,157
AMR,155,0.0,441
AMRI,52,0.0,96
AMRN,156,0.0,516
ANA,185,0.0,527
APD,51,0.0,14
APDM,52,0.0,49
APDO,48,0.0,90
APG,145,0.0,94
APN,127,0.0,264
ARN,270,0.0,638
ASA,113,0.0,159
ASB,113,0.0,159
ASD,116,0.0,156
ASDL,123,0.0,435
ASDM,112,0.0,273
ASDZ,115,0.0,156
ASHD,114,0.0,173
ASN,83,0.0,14
ASS,120,0.0,414
ASSP,111,0.0,273
ATN,109,0.0,104
AVAT,65,0.0,20
BD,183,0.0,413
BDE,225,0.0,552
BDG,119,0.0,255
BDM,126,0.0,83
BDPB,188,0.0,736
BET,162,0.0,443
BF,130,0.0,83
BGN,218,0.0,607
BHDV,150,0.0,472
BHV,83,0.0,258
BK,218,0.0,552
BKF,174,0.0,499
BKG,173,0.0,495
BKL,104,0.0,330
BL,67,0.0,19
BLL,138,0.0,451
BMN,59,0.0,90
BMR,125,0.0,385
BN,59,0.0,96
BNC,90,0.0,255
BNK,100,0.0,327
BNN,87,0.0,254
BNZ,92,0.0,271
BP,124,0.0,31
BR,160,0.0,414
BRD,159,0.0,497
BRN,80,0.0,254
BSD,125,0.0,451
BSK,133,0.0,345
BSKS,134,0.0,368
BSMZ,92,0.0,255
BTL,152,0.0,400
BV,145,0.0,474
BZL,250,0.0,638
CAS,143,0.0,438
CK,115,0.0,382
CL,110,0.0,355
CO,60,0.0,34
CPS,137,0.0,412
CVM,235,0.0,569
DA,47,0.0,24
DB,104,0.0,327
DDN,69,0.0,115
DDR,167,0.0,485
DDRS,164,0.0,483
DDZD,168,0.0,602
DEI,104,0.0,31
DID,98,0.0,102
DL,17,0.0,14
DLD,80,0.0,254
DLN,64,0.0,48
DMN,109,0.0,272
DMNZ,109,0.0,272
DN,188,0.0,466
DR,65,0.0,90
DRH,143,0.0,470
DRON,37,0.0,14
DRP,111,0.0,45
DT,161,0.0,427
DTC,109,0.0,122
DTCH,107,0.0,122
DTCP,161,0.0,482
DV,36,0.0,24
DVC,40,0.0,90
DVD,111,0.0,156
DVN,88,0.0,99
DVNK,145,0.0,362
DWE,117,0.0,31
DZ,149,0.0,112
DZW,148,0.0,112
EC,198,0.0,549
ED,98,0.0,350
EDC,100,0.0,372
EDN,240,0.0,553
EEM,156,0.0,111
EGH,234,0.0,568
EGHM,235,0.0,568
EHS,171,0.0,519
EHV,172,0.0,400
EKZ,177,0.0,507
EML,48,0.0,17
EMN,80,0.0,49
EMNZ,76,0.0,48
ES,72,0.0,115
ESK,68,0.0,115
EST,92,0.0,350
ETN,194,0.0,736
FN,117,0.0,31
FWD,114,0.0,31
GBG,53,0.0,34
GD,124,0.0,327
GDG,121,0.0,255
GDM,118,0.0,408
GDR,114,0.0,139
GERP,109,0.0,67
GK,130,0.0,82
GLN,214,0.0,551
GN,111,0.0,67
GND,153,0.0,472
GNN,115,0.0,82
GO,79,0.0,148
GP,178,0.0,462
GR,144,0.0,470
GS,255,0.0,638
GV,153,0.0,412
GVC,152,0.0,412
GVM,153,0.0,447
GVMW,154,0.0,427
GW,87,0.0,21
GZ,173,0.0,415
HAD,139,0.0,451
HB,225,0.0,582
HBZM,156,0.0,482
HD,44,0.0,14
HDB,47,0.0,21
HDE,23,0.0,14
HDG,110,0.0,31
HDR,197,0.0,536
HDRZ,196,0.0,536
HFD,131,0.0,280
HGL,64,0.0,96
HGLG,66,0.0,115
HGLO,66,0.0,115
HGV,53,0.0,14
HGZ,122,0.0,90
HIL,146,0.0,491
HK,142,0.0,474
HKS,169,0.0,491
HLG,126,0.0,32
HLGH,127,0.0,36
HLM,135,0.0,414
HLMS,134,0.0,435
HLO,150,0.0,441
HM,185,0.0,462
HMBH,186,0.0,466
HMBV,182,0.0,462
HMH,184,0.0,462
HMN,106,0.0,364
HN,159,0.0,435
HNK,160,0.0,491
HNO,17,0.0,14
HNP,142,0.0,34
HON,55,0.0,90
HOR,93,0.0,255
HR,71,0.0,14
HRL,229,0.0,551
HRLW,231,0.0,568
HRN,105,0.0,67
HRT,170,0.0,466
HT,140,0.0,327
HTN,100,0.0,327
HTNC,101,0.0,355
HTO,141,0.0,400
HVL,77,0.0,254
HVS,87,0.0,254
HVSM,88,0.0,255
HVSP,88,0.0,255
HWD,162,0.0,517
HWZB,127,0.0,435
HZE,183,0.0,468
IJT,125,0.0,32
KBD,237,0.0,638
KBK,60,0.0,50
KLP,105,0.0,372
KMA,134,0.0,448
KMR,237,0.0,568
KMW,147,0.0,39
KPN,10,37.45161290322581,0
KPNZ,20,0.0,14
KRD,237,0.0,579
KRG,244,0.0,638
KTR,113,0.0,364
KW,119,0.0,88
KZ,128,0.0,438
LAA,153,0.0,441
LC,69,0.0,90
LDL,141,0.0,345
LDM,132,0.0,452
LEDN,142,0.0,352
LG,232,0.0,568
LLS,62,0.0,14
LLZM,137,0.0,412
LP,137,0.0,94
LTN,97,0.0,271
LTV,87,0.0,92
LUT,214,0.0,551
LW,100,0.0,14
LWC,103,0.0,31
MAS,99,0.0,327
MDB,274,0.0,638
MES,237,0.0,553
MG,110,0.0,31
MMLH,110,0.0,371
MP,33,0.0,14
MRB,39,0.0,21
MRN,112,0.0,359
MT,231,0.0,551
MTH,120,0.0,90
MTN,234,0.0,553
MTR,232,0.0,553
MZ,193,0.0,473
NDB,93,0.0,255
NH,222,0.0,582
NKK,60,0.0,17
NM,100,0.0,350
NMD,105,0.0,371
NMGO,103,0.0,371
NMH,103,0.0,371
NML,99,0.0,364
NS,32,0.0,14
NSCH,155,0.0,97
NVD,37,0.0,14
NVP,136,0.0,408
NWK,133,0.0,412
O,124,0.0,371
OBD,168,0.0,527
ODB,198,0.0,607
ODZ,75,0.0,115
OMN,28,0.0,21
OP,109,0.0,364
OST,26,0.0,14
OT,161,0.0,443
OTB,85,0.0,350
OVN,137,0.0,451
OW,125,0.0,392
PMO,141,0.0,436
PMR,140,0.0,435
PMW,139,0.0,438
PT,53,0.0,31
RAI,114,0.0,159
RAT,23,0.0,14
RB,234,0.0,638
RD,149,0.0,98
RH,71,0.0,93
RHN,135,0.0,362
RL,74,0.0,92
RLB,155,0.0,491
RM,185,0.0,500
RS,136,0.0,392
RSD,205,0.0,602
RSN,53,0.0,26
RSW,156,0.0,427
RTA,138,0.0,412
RTB,149,0.0,482
RTD,148,0.0,412
RTN,143,0.0,414
RTST,153,0.0,491
RTZ,152,0.0,491
RV,174,0.0,486
RVS,116,0.0,350
SBK,217,0.0,581
SD,84,0.0,268
SDA,138,0.0,88
SDM,152,0.0,482
SDT,157,0.0,482
SDTB,160,0.0,483
SGL,241,0.0,567
SGN,176,0.0,527
SHL,126,0.0,230
SK,122,0.0,31
SKND,121,0.0,31
SM,180,0.0,500
SN,219,0.0,582
SOG,239,0.0,568
SPTN,142,0.0,469
SPTZ,140,0.0,469
SRN,203,0.0,578
SSH,147,0.0,408
ST,85,0.0,268
STD,210,0.0,549
STM,133,0.0,94
STV,151,0.0,39
STZ,86,0.0,258
SWD,122,0.0,82
SWK,47,0.0,64
TB,162,0.0,400
TBG,115,0.0,139
TBR,167,0.0,413
TBU,163,0.0,413
TG,167,0.0,467
TL,125,0.0,367
TPSW,127,0.0,367
TWL,41,0.0,90
UHM,146,0.0,98
UHZ,143,0.0,98
UST,138,0.0,97
UT,92,0.0,254
UTG,139,0.0,473
UTLN,96,0.0,327
UTLR,95,0.0,327
UTO,89,0.0,278
UTT,97,0.0,327
UTVR,93,0.0,327
UTZL,94,0.0,327
VB,149,0.0,412
VD,64,0.0,90
VDL,233,0.0,568
VDM,138,0.0,95
VEM,56,0.0,90
VG,144,0.0,400
VH,150,0.0,362
VHP,45,0.0,24
VK,242,0.0,568
VL,162,0.0,466
VLB,132,0.0,413
VNDC,127,0.0,361
VNDW,126,0.0,361
VP,75,0.0,96
VRY,139,0.0,414
VS,280,0.0,640
VSS,279,0.0,640
VST,147,0.0,447
VSV,118,0.0,123
VTN,99,0.0,332
VZ,52,0.0,25
WAD,132,0.0,412
WADN,133,0.0,412
WADT,131,0.0,412
WC,109,0.0,350
WD,108,0.0,254
WDN,45,0.0,26
WF,89,0.0,350
WFM,135,0.0,97
WH,19,0.0,14
WK,138,0.0,34
WL,104,0.0,122
WM,132,0.0,438
WP,102,0.0,266
WR,165,0.0,106
WS,143,0.0,97
WSM,127,0.0,83
WT,200,0.0,462
WTV,84,0.0,99
WV,60,0.0,14
WW,97,0.0,104
WWW,96,0.0,104
WZ,14,0.0,14
YPB,145,0.0,412
ZA,103,0.0,364
ZB,130,0.0,91
ZBM,127,0.0,451
ZD,126,0.1935483870967742,435
ZDK,129,0.0,438
ZH,123,0.0,82
ZL,5,37.354838709677416,0
ZLSH,0,0.0,0
ZLW,182,0.0,602
ZP,52,0.0,90
ZTM,140,0.0,412
ZTMO,139,0.0,412
ZV,93,0.0,102
ZVB,190,0.0,607
ZVT,143,0.0,455
ZWD,166,0.0,596
ZZS,129,0.0,441
