Station Code,Distance from BDE,Services from/to BDE,Disruptions on path to BDE
AC,196,0.0,296
AH,144,0.0,202
AHP,145,0.0,459
AHPR,147,0.0,461
AHZ,136,0.0,216
AKL,167,0.0,231
AKM,297,0.0,602
ALM,221,0.0,273
ALMB,227,0.0,404
ALMM,220,0.0,272
ALMO,229,0.0,404
ALMP,223,0.0,404
AMF,193,0.0,260
AMFS,196,0.0,500
AML,228,0.0,528
AMPO,218,0.0,272
AMR,250,0.0,545
AMRI,230,0.0,598
AMRN,251,0.0,620
ANA,280,0.0,631
APD,191,0.0,462
APDM,190,0.0,463
APDO,194,0.0,497
APG,360,0.0,632
APN,207,0.0,270
ARN,239,0.0,473
ASA,205,0.0,260
ASB,201,0.0,260
ASD,211,0.0,260
ASDL,218,0.0,539
ASDM,207,0.0,297
ASDZ,207,0.0,263
ASHD,202,0.0,274
ASN,298,0.0,552
ASS,215,0.0,518
ASSP,208,0.0,311
ATN,196,0.0,496
AVAT,199,0.0,506
BD,150,0.0,114
BDE,0,0.0,0
BDG,199,0.0,261
BDM,341,0.0,621
BDPB,155,0.0,437
BET,102,0.0,114
BF,345,0.0,621
BGN,187,0.0,442
BHDV,178,0.0,251
BHV,181,0.0,260
BK,7,37.64516129032258,0
BKF,269,0.0,603
BKG,268,0.0,599
BKL,184,0.0,263
BL,282,0.0,557
BLL,233,0.0,555
BMN,166,0.0,462
BMR,100,0.0,139
BN,223,0.0,529
BNC,176,0.0,482
BNK,178,0.0,311
BNN,179,0.0,498
BNZ,174,0.0,482
BP,339,0.0,569
BR,65,0.0,86
BRD,189,0.0,554
BRN,196,0.0,284
BSD,153,0.0,230
BSK,213,0.0,351
BSKS,214,0.0,374
BSMZ,195,0.0,261
BTL,112,0.0,190
BV,240,0.0,578
BZL,219,0.0,473
CAS,238,0.0,542
CK,110,0.0,167
CL,154,0.0,230
CO,268,0.0,615
CPS,211,0.0,509
CVM,38,0.0,20
DA,239,0.0,598
DB,182,0.0,355
DDN,213,0.0,477
DDR,180,0.0,437
DDRS,183,0.0,554
DDZD,179,0.0,460
DEI,319,0.0,569
DID,163,0.0,459
DL,232,0.0,552
DLD,184,0.0,280
DLN,272,0.0,629
DMN,210,0.0,311
DMNZ,205,0.0,263
DN,93,0.0,138
DR,160,0.0,459
DRH,238,0.0,574
DRON,252,0.0,552
DRP,326,0.0,583
DT,214,0.0,507
DTC,174,0.0,479
