Station Code,Distance from KMW,Services from/to KMW,Disruptions on path to KMW
SPTZ,277,0.0,483
SRN,340,0.0,603
SSH,284,0.0,422
ST,222,0.0,293
STD,347,0.0,574
STM,123,0.0,75
STV,4,21.096774193548388,0
STZ,223,0.0,283
SWD,112,0.0,63
SWK,100,0.0,27
TB,299,0.0,425
TBG,252,0.0,164
TBR,304,0.0,438
TBU,300,0.0,438
TG,304,0.0,492
TL,262,0.0,392
TPSW,264,0.0,392
TWL,178,0.0,115
UHM,136,0.0,79
UHZ,133,0.0,79
UST,128,0.0,78
UT,229,0.0,279
UTG,276,0.0,487
UTLN,233,0.0,352
UTLR,232,0.0,352
UTO,226,0.0,303
UTT,234,0.0,352
UTVR,230,0.0,352
UTZL,231,0.0,352
VB,286,0.0,437
VD,201,0.0,115
VDL,370,0.0,593
VDM,132,0.0,91
VEM,193,0.0,115
VG,281,0.0,425
VH,287,0.0,387
VHP,182,0.0,49
VK,379,0.0,593
VL,299,0.0,491
VLB,269,0.0,438
VNDC,264,0.0,386
VNDW,263,0.0,386
VP,212,0.0,121
VRY,276,0.0,439
VS,417,0.0,665
VSS,416,0.0,665
VST,284,0.0,472
VSV,255,0.0,148
VTN,236,0.0,357
VZ,189,0.0,50
WAD,269,0.0,437
WADN,270,0.0,437
WADT,268,0.0,437
WC,246,0.0,375
WD,245,0.0,279
WDN,182,0.0,51
WF,226,0.0,375
WFM,125,0.0,78
WH,156,0.0,39
WK,9,21.06451612903226,5
WL,241,0.0,147
WM,269,0.0,452
WP,239,0.0,171
WR,159,0.0,102
WS,137,0.0,93
WSM,117,0.0,64
WT,337,0.0,487
WTV,221,0.0,124
WV,87,0.0,25
WW,234,0.0,129
WWW,233,0.0,129
WZ,151,0.0,39
YPB,282,0.0,437
ZA,240,0.0,389
ZB,124,0.0,87
ZBM,264,0.0,476
ZD,263,0.0,449
ZDK,266,0.0,452
ZH,89,0.0,25
ZL,142,0.0,25
ZLSH,147,0.0,39
ZLW,319,0.0,627
ZP,189,0.0,115
ZTM,277,0.0,437
ZTMO,276,0.0,437
ZV,230,0.0,127
ZVB,327,0.0,632
ZVT,280,0.0,466
ZWD,303,0.0,621
ZZS,266,0.0,452
