Station Code,Distance from APDM,Services from/to APDM,Disruptions on path to APDM
MG,152,0.0,66
MMLH,75,0.0,282
MP,75,0.0,49
MRB,74,0.0,172
MRN,85,0.0,380
MT,196,0.0,462
MTH,162,0.0,125
MTN,199,0.0,464
MTR,197,0.0,464
MZ,161,0.0,449
NDB,66,0.0,276
NH,187,0.0,493
NKK,55,0.0,275
NM,65,0.0,261
NMD,70,0.0,282
NMGO,68,0.0,282
NMH,68,0.0,282
NML,64,0.0,275
NS,74,0.0,49
NSCH,197,0.0,132
NVD,58,0.0,108
NVP,109,0.0,531
NWK,106,0.0,433
O,89,0.0,282
OBD,141,0.0,647
ODB,171,0.0,628
ODZ,73,0.0,68
OMN,70,0.0,56
OP,74,0.0,275
OST,26,0.0,101
OT,129,0.0,419
OTB,50,0.0,261
OVN,110,0.0,571
OW,90,0.0,303
PMO,114,0.0,556
PMR,113,0.0,555
PMW,112,0.0,558
PT,62,0.0,278
RAI,87,0.0,279
RAT,65,0.0,49
RB,204,0.0,748
RD,191,0.0,133
RH,36,0.0,4
RHN,108,0.0,383
RL,39,0.7096774193548387,3
RLB,128,0.0,512
RM,150,0.0,411
RS,101,0.0,303
RSD,175,0.0,712
RSN,42,0.0,101
RSW,129,0.0,448
RTA,111,0.0,433
RTB,122,0.0,503
RTD,121,0.0,433
RTN,116,0.0,435
RTST,126,0.0,512
RTZ,125,0.0,512
RV,139,0.0,397
RVS,81,0.0,261
SBK,182,0.0,492
SD,57,0.0,289
SDA,180,0.0,123
SDM,125,0.0,503
SDT,130,0.0,503
SDTB,133,0.0,504
SGL,206,0.0,478
SGN,149,0.0,647
SHL,99,0.0,353
SK,164,0.0,66
SKND,163,0.0,66
SM,145,0.0,411
SN,184,0.0,493
SOG,204,0.0,479
SPTN,115,0.0,589
SPTZ,113,0.0,589
SRN,168,0.0,489
SSH,120,0.0,531
ST,58,0.0,289
STD,175,0.0,460
STM,175,0.0,129
STV,193,0.0,74
STZ,59,0.0,279
SWD,164,0.0,117
SWK,89,0.0,99
TB,130,0.0,376
TBG,80,0.0,50
TBR,135,0.0,389
TBU,131,0.0,389
TG,132,0.0,378
TL,90,0.0,278
TPSW,92,0.0,278
TWL,11,0.0,35
UHM,188,0.0,133
UHZ,185,0.0,133
UST,180,0.0,132
UT,65,0.0,275
UTG,112,0.0,593
UTLN,69,0.0,348
UTLR,68,0.0,348
UTO,62,0.0,299
UTT,70,0.0,348
UTVR,66,0.0,348
UTZL,67,0.0,348
VB,122,0.0,433
VD,29,0.7096774193548387,1
VDL,198,0.0,479
VDM,180,0.0,130
VEM,13,27.64516129032258,1
VG,112,0.0,376
VH,123,0.0,383
VHP,68,0.0,172
VK,207,0.0,479
VL,127,0.0,377
VLB,97,0.0,324
VNDC,100,0.0,382
VNDW,99,0.0,382
VP,40,0.0,7
VRY,104,0.0,325
VS,250,0.0,750
VSS,249,0.0,750
VST,120,0.0,468
VSV,83,0.0,34
VTN,72,0.0,353
VZ,61,0.0,171
WAD,105,0.0,433
WADN,106,0.0,433
WADT,104,0.0,433
WC,74,0.0,261
WD,81,0.0,275
WDN,50,0.0,108
WF,54,0.0,261
WFM,177,0.0,132
WH,33,0.0,111
WK,180,0.0,69
WL,69,0.0,33
WM,105,0.0,558
WP,75,0.0,287
WR,207,0.0,141
WS,185,0.0,132
WSM,169,0.0,118
WT,168,0.0,438
WTV,49,0.0,10
WV,102,0.0,49
WW,62,0.7096774193548387,15
WWW,61,0.7096774193548387,15
WZ,56,0.0,49
YPB,118,0.0,433
ZA,68,0.0,275
ZB,172,0.0,126
ZBM,100,0.0,472
ZD,99,0.0,555
ZDK,102,0.0,558
ZH,165,0.0,117
ZL,47,0.0,35
ZLSH,52,0.0,49
ZLW,155,0.0,623
ZP,17,27.64516129032258,1
ZTM,113,0.0,433
ZTMO,112,0.0,433
ZV,58,0.0,13
ZVB,163,0.0,628
ZVT,116,0.0,572
ZWD,139,0.0,617
ZZS,102,0.0,558
