Station Code,Distance from KRD,Services from/to KRD,Disruptions on path to KRD
OVN,203,0.0,53
OW,154,0.0,195
PMO,237,0.0,74
PMR,236,0.0,74
PMW,235,0.0,77
PT,223,0.0,508
RAI,213,0.0,196
RAT,250,0.0,579
RB,215,0.0,500
RD,376,0.0,663
RH,166,0.0,487
RHN,225,0.0,398
RL,207,0.0,491
RLB,183,0.0,199
RM,52,0.0,30
RS,143,0.0,195
RSD,186,0.0,464
RSN,227,0.0,489
RSW,157,0.0,28
RTA,186,0.0,199
RTB,177,0.0,199
RTD,176,0.0,129
RTN,181,0.0,199
RTST,181,0.0,199
RTZ,180,0.0,199
RV,63,0.0,79
RVS,153,0.0,229
SBK,20,0.0,28
SD,204,0.0,292
SDA,365,0.0,653
SDM,172,0.0,129
SDT,197,0.0,269
SDTB,199,0.0,581
SGL,24,36.41935483870968,28
SGN,257,0.0,179
SHL,201,0.0,72
SK,349,0.0,596
SKND,348,0.0,596
SM,57,0.0,79
SN,18,0.0,28
SOG,18,36.41935483870968,28
SPTN,208,0.0,53
SPTZ,206,0.0,53
SRN,34,0.0,30
SSH,180,0.0,53
ST,203,0.0,292
STD,27,0.0,28
STM,360,0.0,659
STV,378,0.0,604
STZ,202,0.0,292
SWD,349,0.0,647
SWK,274,0.0,629
TB,141,0.0,122
TBG,192,0.0,523
TBR,146,0.0,135
TBU,142,0.0,135
TG,70,0.0,93
TL,170,0.0,238
TPSW,168,0.0,238
TWL,206,0.0,555
UHM,373,0.0,663
UHZ,370,0.0,663
UST,365,0.0,662
UT,184,0.0,195
UTG,220,0.0,73
UTLN,180,0.0,319
UTLR,187,0.0,268
UTO,187,0.0,268
UTT,189,0.0,268
UTVR,183,0.0,319
UTZL,186,0.0,268
VB,160,0.0,72
VD,197,0.0,489
VDL,12,36.41935483870968,28
VDM,365,0.0,660
VEM,189,0.0,489
VG,132,0.0,122
VH,180,0.0,53
VHP,253,0.0,626
VK,21,36.41935483870968,28
VL,75,0.0,112
VLB,105,0.0,165
VNDC,217,0.0,397
VNDW,216,0.0,397
VP,162,0.0,487
VRY,98,0.0,165
VS,261,0.0,496
VSS,260,0.0,469
VST,167,0.0,46
VSV,199,0.0,523
VTN,191,0.0,273
VZ,246,0.0,625
WAD,193,0.0,128
WADN,194,0.0,128
WADT,192,0.0,128
WC,146,0.0,229
WD,200,0.0,268
WDN,235,0.0,496
WF,164,0.0,229
WFM,362,0.0,662
WH,218,0.0,565
WK,365,0.0,599
WL,181,0.0,506
WM,227,0.0,99
WP,217,0.0,280
WR,392,0.0,671
WS,370,0.0,662
WSM,354,0.0,648
WT,76,0.0,79
WTV,161,0.0,488
WV,287,0.0,579
WW,220,0.0,542
WWW,221,0.0,542
WZ,241,0.0,579
YPB,164,0.0,75
ZA,156,0.0,243
ZB,357,0.0,656
ZBM,149,0.0,195
ZD,222,0.0,74
ZDK,225,0.0,77
ZH,350,0.0,647
ZL,232,0.0,565
ZLSH,237,0.0,579
ZLW,177,0.0,482
ZP,185,0.0,489
ZTM,169,0.0,72
ZTMO,170,0.0,72
ZV,170,0.0,486
ZVB,185,0.0,487
ZVT,209,0.0,53
ZWD,194,0.0,304
ZZS,225,0.0,77
