Station Code,Distance from SRN,Services from/to SRN,Disruptions on path to SRN
HGL,196,0.0,536
HGLG,194,0.0,536
HGLO,198,0.0,555
HGV,246,0.0,578
HGZ,315,0.0,654
HIL,208,0.0,44
HK,215,0.0,585
HKS,242,0.0,602
HLG,319,0.0,596
HLGH,320,0.0,600
HLM,208,0.0,525
HLMS,207,0.0,546
HLO,223,0.0,552
HM,80,0.0,140
HMBH,79,0.0,140
HMBV,80,0.0,140
HMH,81,0.0,144
HMN,125,0.0,242
HN,232,0.0,546
HNK,233,0.0,602
HNO,210,0.0,578
HNP,335,0.0,598
HON,186,0.0,488
HOR,162,0.0,267
HR,264,0.0,635
HRL,26,0.0,2
HRLW,28,0.0,19
HRN,298,0.0,631
HRT,53,0.0,164
HT,102,0.0,121
HTN,142,0.0,290
HTNC,141,0.0,290
HTO,103,0.0,194
HVL,167,0.0,268
HVS,168,0.0,267
HVSM,169,0.0,268
HVSP,167,0.0,267
HWD,235,0.0,628
HWZB,200,0.0,546
HZE,59,0.0,80
IJT,318,0.0,596
KBD,184,0.0,468
KBK,160,0.0,488
KLP,146,0.0,250
KMA,207,0.0,559
KMR,34,0.0,19
KMW,340,0.0,603
KPN,213,0.0,578
KPNZ,213,0.0,578
KRD,34,0.0,30
KRG,191,0.0,468
KTR,132,0.0,242
KW,312,0.0,652
KZ,201,0.0,549
LAA,176,0.0,34
LC,168,0.0,488
LDL,191,0.0,44
LDM,138,0.0,238
LEDN,190,0.0,34
LG,29,0.0,19
LLS,223,0.0,411
LLZM,190,0.0,63
LP,330,0.0,658
LTN,147,0.0,251
LTV,186,0.0,490
LUT,11,36.67741935483871,2
LW,293,0.0,578
LWC,296,0.0,595
MAS,157,0.0,267
MDB,221,0.0,495
MES,34,0.0,4
MG,303,0.0,595
MMLH,93,0.0,196
MP,226,0.0,578
MRB,225,0.0,625
MRN,168,0.0,394
MT,28,36.67741935483871,2
MTH,313,0.0,654
MTN,31,0.0,4
MTR,29,36.67741935483871,4
MZ,49,0.0,78
NDB,174,0.0,268
NH,19,0.0,33
NKK,182,0.0,507
NM,103,0.0,207
NMD,108,0.0,228
NMGO,106,0.0,228
NMH,100,0.0,207
NML,104,0.0,228
NS,210,0.0,507
NSCH,348,0.0,661
NVD,209,0.0,495
NVP,206,0.0,483
NWK,191,0.0,352
O,121,0.0,194
OBD,241,0.0,546
ODB,159,0.0,468
ODZ,207,0.0,555
OMN,221,0.0,585
OP,128,0.0,242
OST,177,0.0,554
OT,99,0.0,121
OTB,126,0.0,485
OVN,210,0.0,562
OW,120,0.0,194
PMO,214,0.0,525
PMR,213,0.0,546
PMW,212,0.0,549
PT,189,0.0,507
RAI,184,0.0,270
RAT,216,0.0,578
RB,181,0.0,499
RD,342,0.0,662
RH,132,0.0,486
RHN,191,0.0,397
RL,173,0.0,490
RLB,171,0.0,679
RM,18,36.64516129032258,29
RS,109,0.0,194
RSD,152,0.0,463
RSN,193,0.0,488
RSW,175,0.0,19
RTA,188,0.0,533
RTB,177,0.0,580
RTD,178,0.0,463
RTN,183,0.0,533
RTST,173,0.0,580
RTZ,174,0.0,463
RV,29,0.0,78
RVS,119,0.0,228
SBK,14,0.0,32
SD,170,0.0,291
SDA,331,0.0,652
SDM,182,0.0,533
SDT,163,0.0,268
SDTB,165,0.0,580
SGL,38,0.0,18
SGN,249,0.0,638
SHL,196,0.0,281
SK,315,0.0,595
SKND,314,0.0,595
SM,23,0.0,78
SN,16,0.0,33
SOG,36,0.0,19
SPTN,215,0.0,562
SPTZ,213,0.0,562
SRN,0,0.0,0
SSH,198,0.0,44
ST,169,0.0,291
STD,7,36.67741935483871,0
STM,326,0.0,658
STV,344,0.0,603
STZ,168,0.0,291
SWD,315,0.0,646
SWK,240,0.0,628
TB,107,0.0,121
TBG,158,0.0,522
TBR,112,0.0,134
TBU,108,0.0,134
TG,36,0.0,92
TL,136,0.0,237
TPSW,134,0.0,237
TWL,172,0.0,554
UHM,339,0.0,662
UHZ,336,0.0,662
UST,331,0.0,661
UT,150,0.0,194
UTG,212,0.0,584
UTLN,146,0.0,318
UTLR,153,0.0,267
UTO,153,0.0,267
UTT,155,0.0,267
UTVR,149,0.0,318
UTZL,152,0.0,267
VB,178,0.0,63
VD,163,0.0,488
VDL,30,0.0,19
VDM,331,0.0,659
VEM,155,0.0,488
VG,98,0.0,121
VH,198,0.0,44
VHP,219,0.0,625
VK,39,0.0,19
VL,41,0.0,111
VLB,71,0.0,164
VNDC,183,0.0,396
VNDW,182,0.0,396
VP,128,0.0,486
VRY,64,0.0,164
VS,227,0.0,495
VSS,226,0.0,468
VST,185,0.0,37
VSV,165,0.0,522
VTN,157,0.0,272
VZ,212,0.0,624
WAD,190,0.0,352
WADN,191,0.0,352
WADT,189,0.0,352
WC,112,0.0,228
WD,166,0.0,267
WDN,201,0.0,495
WF,130,0.0,228
WFM,328,0.0,661
WH,184,0.0,564
WK,331,0.0,598
WL,147,0.0,505
WM,205,0.0,549
WP,183,0.0,279
WR,358,0.0,670
WS,336,0.0,661
WSM,320,0.0,647
WT,42,0.0,78
WTV,127,0.0,487
WV,253,0.0,578
WW,186,0.0,541
WWW,187,0.0,541
WZ,207,0.0,578
YPB,182,0.0,66
ZA,122,0.0,242
ZB,323,0.0,655
ZBM,115,0.0,194
ZD,199,0.0,546
ZDK,202,0.0,549
ZH,316,0.0,646
ZL,198,0.0,564
ZLSH,203,0.0,578
ZLW,143,0.0,481
ZP,151,0.0,488
ZTM,187,0.0,63
ZTMO,188,0.0,63
ZV,136,0.0,485
ZVB,151,0.0,486
ZVT,216,0.0,562
ZWD,160,0.0,580
ZZS,202,0.0,549
