Station Code,Distance from SRN,Services from/to SRN,Disruptions on path to SRN
AC,174,0.0,227
AH,122,0.0,228
AHP,123,0.0,485
AHPR,125,0.0,485
AHZ,114,0.0,242
AKL,145,0.0,238
AKM,275,0.0,628
ALM,199,0.0,280
ALMB,205,0.0,411
ALMM,198,0.0,279
ALMO,207,0.0,411
ALMP,201,0.0,411
AMF,171,0.0,267
AMFS,174,0.0,507
AML,206,0.0,554
AMPO,196,0.0,279
AMR,228,0.0,552
AMRI,208,0.0,624
AMRN,229,0.0,627
ANA,258,0.0,638
APD,169,0.0,488
APDM,168,0.0,489
APDO,172,0.0,523
APG,338,0.0,658
APN,185,0.0,277
ARN,217,0.0,468
ASA,183,0.0,267
ASB,179,0.0,267
ASD,189,0.0,267
ASDL,196,0.0,525
ASDM,185,0.0,304
ASDZ,185,0.0,281
ASHD,178,0.0,354
ASN,276,0.0,578
ASS,193,0.0,525
ASSP,186,0.0,318
ATN,174,0.0,522
AVAT,177,0.0,513
BD,128,0.0,140
BDE,22,36.67741935483871,2
BDG,177,0.0,268
BDM,319,0.0,647
BDPB,133,0.0,463
BET,80,0.0,140
BF,323,0.0,647
BGN,165,0.0,468
BHDV,156,0.0,258
BHV,159,0.0,267
BK,15,36.67741935483871,3
BKF,247,0.0,610
BKG,246,0.0,606
BKL,162,0.0,194
BL,260,0.0,578
BLL,211,0.0,562
BMN,144,0.0,488
BMR,78,0.0,165
BN,201,0.0,555
BNC,154,0.0,251
BNK,156,0.0,318
BNN,157,0.0,267
BNZ,152,0.0,251
BP,317,0.0,595
BR,43,0.0,112
BRD,167,0.0,580
BRN,174,0.0,291
BSD,131,0.0,237
BSK,191,0.0,358
BSKS,192,0.0,381
BSMZ,173,0.0,268
BTL,90,0.0,78
BV,218,0.0,546
BZL,197,0.0,499
CAS,216,0.0,549
CK,88,0.0,193
CL,132,0.0,237
CO,246,0.0,641
CPS,189,0.0,535
CVM,32,0.0,20
DA,217,0.0,624
DB,160,0.0,362
DDN,191,0.0,503
DDR,158,0.0,463
DDRS,161,0.0,580
DDZD,157,0.0,486
DEI,297,0.0,595
DID,141,0.0,485
DL,210,0.0,578
DLD,162,0.0,287
DLN,250,0.0,655
DMN,188,0.0,318
DMNZ,183,0.0,270
DN,71,0.0,112
DR,138,0.0,485
DRH,216,0.0,563
DRON,230,0.0,578
DRP,304,0.0,609
DT,180,0.0,19
DTC,152,0.0,505
DTCH,150,0.0,505
DTCP,181,0.0,120
DV,167,0.0,488
DVC,171,0.0,554
DVD,181,0.0,267
DVN,131,0.0,487
DVNK,187,0.0,37
DWE,310,0.0,595
DZ,342,0.0,676
DZW,341,0.0,676
EC,5,36.64516129032258,0
ED,139,0.0,228
EDC,141,0.0,250
EDN,37,0.0,4
EEM,349,0.0,675
EGH,31,0.0,19
EGHM,32,0.0,19
EHS,71,0.0,140
EHV,70,0.0,78
EKZ,250,0.0,618
EML,194,0.0,507
EMN,266,0.0,656
EMNZ,262,0.0,655
ES,204,0.0,555
ESK,200,0.0,555
EST,111,0.0,228
ETN,139,0.0,463
FN,310,0.0,595
FWD,307,0.0,595
GBG,239,0.0,641
GD,182,0.0,267
GDG,179,0.0,267
GDM,124,0.0,194
GDR,157,0.0,522
GERP,302,0.0,631
GK,323,0.0,646
GLN,11,0.0,2
GN,304,0.0,631
GND,159,0.0,258
GNN,308,0.0,646
GO,181,0.0,495
GP,64,0.0,85
GR,150,0.0,256
GS,202,0.0,468
GV,174,0.0,19
GVC,175,0.0,34
GVM,179,0.0,34
GVMW,173,0.0,19
GW,280,0.0,635
GZ,118,0.0,136
HAD,212,0.0,546
HB,22,0.0,33
HBZM,162,0.0,268
HD,198,0.0,510
HDB,233,0.0,628
HDE,216,0.0,578
HDG,303,0.0,595
HDR,270,0.0,647
HDRZ,269,0.0,647
HFD,201,0.0,355
