Station Code,Distance from EHV,Services from/to EHV,Disruptions on path to EHV
LDM,68,0.0,117
LEDN,130,1.4516129032258065,244
LG,99,0.0,68
LLS,153,0.0,290
LLZM,125,0.0,231
LP,299,0.0,480
LTN,119,0.0,377
LTV,158,0.0,359
LUT,81,0.0,51
LW,262,0.0,386
LWC,265,0.0,403
MAS,87,0.0,146
MDB,151,0.0,355
MES,104,0.0,53
MG,272,0.0,403
MMLH,85,0.0,115
MP,195,0.0,400
MRB,197,0.0,494
MRN,98,0.0,273
MT,98,38.64516129032258,51
MTH,282,0.0,476
MTN,101,0.0,53
MTR,99,0.0,53
MZ,21,29.516129032258064,11
NDB,104,0.0,147
NH,89,0.0,82
NKK,112,0.0,386
NM,75,0.0,94
NMD,70,0.0,97
NMGO,72,0.0,98
NMH,78,0.0,115
NML,76,0.0,115
NS,140,0.0,386
NSCH,317,0.0,483
NVD,181,0.0,364
NVP,136,0.0,362
NWK,121,0.0,231
O,51,0.935483870967742,73
OBD,171,0.0,425
ODB,89,0.0,328
ODZ,179,0.0,424
OMN,190,0.0,407
OP,82,0.0,119
OST,149,0.0,423
OT,29,30.32258064516129,43
OTB,98,0.0,354
OVN,140,0.0,441
OW,50,0.935483870967742,73
PMO,144,0.064516129032258,404
PMR,143,0.0,425
PMW,142,0.0,428
PT,119,0.0,386
RAI,114,0.0,149
RAT,185,0.0,400
RB,111,0.0,359
RD,311,0.0,484
RH,104,0.0,355
RHN,121,0.0,276
RL,145,0.0,359
RLB,101,0.0,539
RM,52,66.80645161290323,0
RS,39,0.935483870967742,73
RSD,82,0.0,323
RSN,165,0.0,357
RSW,127,0.0,541
RTA,118,0.0,393
RTB,107,1.4516129032258065,440
RTD,108,39.774193548387096,323
RTN,113,0.0,393
RTST,103,0.0,440
RTZ,104,0.0,323
RV,63,0.0,49
RVS,59,0.0,94
SBK,84,0.0,81
SD,100,0.0,170
SDA,300,0.0,474
SDM,112,1.4516129032258065,393
SDT,93,0.0,147
SDTB,95,0.0,440
SGL,108,0.0,67
SGN,179,1.3548387096774193,517
SHL,126,44.64516129032258,160
SK,284,0.0,403
SKND,283,0.0,403
SM,57,0.0,49
SN,86,0.0,82
SOG,106,0.0,68
SPTN,145,0.0,441
SPTZ,143,0.0,441
SRN,70,0.0,78
SSH,138,0.0,254
ST,99,0.0,170
STD,77,66.80645161290323,49
STM,295,0.0,480
STV,313,0.0,411
STZ,98,0.0,170
SWD,284,0.0,468
SWK,209,0.0,450
TB,37,68.61290322580645,0
TBG,130,0.0,391
TBR,42,0.0,13
TBU,38,30.29032258064516,13
TG,57,0.0,1
TL,66,0.0,116
TPSW,64,0.0,116
TWL,144,0.0,423
UHM,308,0.0,484
UHZ,305,0.0,484
