station,distance,services_per_day,n_of_disruptions
TG,213,0,508
TL,173,0,232
TPSW,171,0,232
TWL,253,0,815
UHM,415,0,724
UHZ,412,0,724
UST,407,0,723
UT,187,0,313
UTG,218,0,349
UTLN,183,0,313
UTLR,185,0,216
UTM,195,0,386
UTO,190,0,386
UTT,183,0,211
UTVR,186,0,313
UTZL,189,0,386
VB,158,0,253
VD,244,0,749
VDL,256,0,491
VDM,407,0,721
VEM,236,0,749
VG,144,0,417
VH,178,0,234
VHP,300,0,886
VK,265,0,491
VL,208,0,507
VLB,216,0,531
VNDC,220,0,391
VNDW,219,0,391
VP,209,0,749
VRY,223,0,532
VS,1,0,0
VST,165,0,227
VSV,246,0,783
VTN,181,0,202
VZ,293,0,885
WAD,164,0,193
WADN,165,0,193
WADT,163,0,193
WC,175,0,471
WD,172,0,201
WDN,282,0,822
WF,211,0,746
WFM,404,0,723
WH,265,0,825
WK,407,0,660
WL,228,0,766
WM,225,0,375
WP,220,0,398
WR,434,0,732
WS,412,0,723
WSM,396,0,709
WT,184,0,423
WTV,208,0,748
WV,329,0,640
WW,267,0,802
WWW,268,0,802
WZ,265,0,639
YPB,162,0,256
ZA,195,0,235
ZB,399,0,717
ZBM,154,0,447
ZD,220,0,179
ZDK,223,0,182
ZH,392,0,708
ZL,274,0,626
ZLSH,279,0,640
ZLW,97,0,38
ZP,232,0,749
ZTM,167,0,253
ZTMO,168,0,256
ZV,217,0,746
ZVB,89,0,68
ZVT,207,0,312
ZWD,114,0,155
ZZS,223,0,182
