Station Code,Distance from OMN,Services from/to OMN,Disruptions on path to OMN
EGH,252,0.0,575
EGHM,253,0.0,575
EHS,189,0.0,410
EHV,190,0.0,410
EKZ,195,0.0,372
EML,66,0.0,24
EMN,52,38.483870967741936,28
EMNZ,48,38.483870967741936,27
ES,52,0.0,93
ESK,48,0.0,93
EST,110,0.0,357
ETN,212,0.0,743
FN,135,0.0,38
FWD,132,0.0,38
GBG,25,23.193548387096776,13
GD,142,0.0,334
GDG,139,0.0,334
GDM,136,0.0,334
GDR,132,0.0,146
GERP,127,0.0,74
GK,148,0.0,89
GLN,232,0.0,558
GN,129,0.0,74
GND,171,0.0,398
GNN,133,0.0,89
GO,59,0.0,126
GP,196,0.0,472
GR,162,0.0,396
GS,273,0.0,531
GV,171,0.0,419
GVC,170,0.0,337
GVM,171,0.0,454
GVMW,172,0.0,434
GW,105,0.0,78
GZ,191,0.0,422
HAD,157,0.0,300
HB,243,0.0,589
HBZM,174,0.0,408
HD,62,0.0,21
HDB,19,42.32258064516129,0
HDE,41,0.0,21
HDG,128,0.0,38
HDR,215,0.0,401
HDRZ,214,0.0,401
HFD,149,0.0,96
HGL,44,0.0,74
HGLG,46,0.0,93
HGLO,46,0.0,93
HGV,71,0.0,21
HGZ,140,0.0,97
HIL,164,0.0,300
HK,160,0.0,339
HKS,187,0.0,356
HLG,144,0.0,39
HLGH,145,0.0,43
HLM,153,0.0,279
HLMS,152,0.0,300
HLO,168,0.0,306
HM,203,0.0,472
HMBH,204,0.0,476
HMBV,200,0.0,472
HMH,202,0.0,472
HMN,124,0.0,371
HN,177,0.0,300
HNK,178,0.0,356
HNO,35,0.0,21
HNP,160,0.0,41
HON,50,0.0,81
HOR,111,0.0,22
HR,89,0.0,78
HRL,247,0.0,558
HRLW,249,0.0,575
HRN,123,0.0,74
HRT,188,0.0,473
HT,158,0.0,334
HTN,118,0.0,334
HTNC,119,0.0,362
HTO,159,0.0,407
HVL,95,0.0,261
HVS,105,0.0,21
HVSM,106,0.0,22
HVSP,106,0.0,22
HWD,180,0.0,382
HWZB,145,0.0,300
HZE,201,0.0,478
IJT,143,0.0,39
KBD,255,0.0,531
KBK,78,0.0,57
KLP,123,0.0,379
KMA,152,0.0,313
KMR,255,0.0,575
KMW,165,0.0,46
KPN,38,0.0,21
KPNZ,38,0.0,21
KRD,255,0.0,586
KRG,262,0.0,531
KTR,131,0.0,371
KW,137,0.0,95
KZ,146,0.0,303
LAA,171,0.0,366
LC,72,0.0,134
