Station Code,distance_NVD,services_per_day_NVD,n_of_disruptions_NVD
AC,143,0,363
AH,87,0,76
AHP,86,0,80
AHPR,84,0,79
AHZ,95,0,333
AKL,164,0,394
AKM,109,0,64
ALM,113,0,25
ALMB,107,0,25
ALMM,114,0,156
ALMO,105,0,14
ALMP,111,0,30
AMF,98,0,14
AMFS,95,0,14
AML,13,47.096774193548384,0
AMPO,116,0,157
AMR,182,0,441
AMRI,15,37.83870967741935,70
AMRN,183,0,516
ANA,212,0,527
APD,57,0,73
APDM,58,0,108
APDO,54,0,73
APG,172,0,94
APN,154,0,264
ARN,281,0,820
ASA,140,0,159
ASB,140,0,159
ASD,143,0,156
ASDL,150,0,435
ASDM,139,0,273
ASDZ,142,0,156
ASHD,141,0,173
ASN,110,0,14
ASS,147,0,414
ASSP,138,0,273
ATN,115,0,87
AVAT,92,0,20
BD,192,0,461
BDE,231,0,535
BDG,146,0,255
BDM,153,0,83
BDPB,197,0,784
BET,171,0,491
BF,157,0,83
BGN,229,0,789
BHDV,175,0,414
BHV,110,0,258
BK,224,0,535
BKF,201,0,499
BKG,200,0,495
BKL,131,0,330
BL,94,0,19
BLL,165,0,451
BMN,65,0,73
BMR,131,0,368
BN,22,37.83870967741935,70
BNC,117,0,255
BNK,127,0,327
BNN,114,0,254
BNZ,117,0,356
BP,151,0,31
BR,166,0,397
BRD,186,0,497
BRN,107,0,254
BSD,150,0,393
BSK,160,0,345
BSKS,161,0,368
BSMZ,119,0,255
BTL,161,0,448
BV,172,0,474
BZL,261,0,820
CAS,170,0,438
CK,121,0,365
CL,137,0,355
CO,53,0,87
CPS,164,0,412
CVM,241,0,552
DA,24,0,70
DB,131,0,327
DDN,32,0,89
DDR,192,0,427
DDRS,189,0,425
DDZD,193,0,544
DEI,131,0,31
DID,104,0,85
DL,44,0,14
DLD,107,0,254
DLN,57,0,101
DMN,136,0,272
DMNZ,136,0,272
DN,194,0,449
DR,71,0,73
DRH,170,0,470
DRON,64,0,14
DRP,138,0,45
DT,188,0,427
DTC,115,0,105
DTCH,113,0,105
DTCP,188,0,482
DV,42,0,7
DVC,38,0,7
DVD,138,0,156
DVN,94,0,82
DVNK,172,0,362
DWE,144,0,31
DZ,176,0,112
DZW,175,0,112
EC,204,0,532
ED,104,0,333
EDC,106,0,355
EDN,246,0,536
EEM,183,0,111
EGH,240,0,551
EGHM,241,0,551
EHS,180,0,567
EHV,181,0,448
EKZ,204,0,507
EML,75,0,17
EMN,73,0,102
EMNZ,69,0,101
ES,35,47.096774193548384,89
ESK,31,37.83870967741935,89
EST,98,0,333
ETN,203,0,784
FN,144,0,31
FWD,141,0,31
GBG,46,0,87
GD,151,0,327
GDG,148,0,255
GDM,143,0,350
GDR,120,0,122
GERP,136,0,67
GK,157,0,82
GLN,220,0,534
GN,138,0,67
GND,178,0,414
GNN,142,0,82
GO,42,0,122
GP,187,0,510
GR,169,0,412
GS,266,0,820
GV,180,0,412
GVC,179,0,412
GVM,180,0,447
GVMW,181,0,427
GW,114,0,21
GZ,182,0,463
HAD,166,0,451
HB,231,0,565
HBZM,181,0,424
HD,71,0,14
HDB,40,0,74
HDE,50,0,14
HDG,137,0,31
HDR,224,0,536
HDRZ,223,0,536
HFD,158,0,280
HGL,27,47.096774193548384,70
HGLG,29,0,89
HGLO,29,0,89
HGV,80,0,14
HGZ,149,0,90
HIL,173,0,491
HK,169,0,474
HKS,196,0,491
HLG,153,0,32
HLGH,154,0,36
HLM,162,0,414
HLMS,161,0,435
HLO,177,0,441
HM,194,0,510
HMBH,195,0,514
HMBV,191,0,510
HMH,193,0,510
HMN,112,0,347
HN,186,0,435
HNK,187,0,491
HNO,20,37.96774193548387,0
HNP,169,0,34
HON,23,0,7
HOR,120,0,255
HR,98,0,14
HRL,235,0,534
HRLW,237,0,551
HRN,132,0,67
HRT,176,0,449
HT,149,0,375
HTN,127,0,327
HTNC,128,0,355
HTO,148,0,375
HVL,104,0,254
HVS,114,0,254
HVSM,115,0,255
HVSP,115,0,255
HWD,189,0,517
HWZB,154,0,435
HZE,192,0,516
IJT,152,0,32
KBD,248,0,820
KBK,66,0,109
KLP,111,0,355
KMA,161,0,448
KMR,243,0,551
KMW,174,0,39
KPN,47,0,14
KPNZ,47,0,14
KRD,243,0,562
KRG,255,0,820
KTR,119,0,347
KW,146,0,88
KZ,155,0,438
LAA,180,0,441
LC,55,0,130
LDL,168,0,345
LDM,157,0,394
LEDN,169,0,352
LG,238,0,551
LLS,89,0,14
LLZM,164,0,412
LP,164,0,94
LTN,112,0,356
LTV,93,0,75
LUT,220,0,534
LW,127,0,14
LWC,130,0,31
MAS,126,0,327
MDB,285,0,820
MES,243,0,536
MG,137,0,31
MMLH,116,0,354
MP,60,0,14
MRB,32,0,71
MRN,139,0,359
MT,237,0,534
MTH,147,0,90
MTN,240,0,536
MTR,238,0,536
MZ,202,0,521
NDB,120,0,255
NH,228,0,565
NKK,87,0,17
NM,106,0,333
NMD,111,0,354
NMGO,109,0,354
NMH,109,0,354
NML,105,0,347
NS,59,0,14
NSCH,182,0,97
NVD,0,0,0
NVP,163,0,411
NWK,160,0,412
O,130,0,354
OBD,195,0,530
ODB,223,0,789
ODZ,38,0,89
OMN,43,0,74
OP,115,0,347
OST,52,0,73
OT,170,0,491
OTB,91,0,333
OVN,164,0,454
OW,131,0,375
PMO,168,0,439
PMR,167,0,438
PMW,166,0,441
PT,80,0,31
RAI,141,0,162
RAT,14,47.16129032258065,0
RB,245,0,820
RD,176,0,98
RH,77,0,76
RHN,162,0,362
RL,80,0,75
RLB,182,0,491
RM,191,0,483
RS,142,0,375
RSD,216,0,784
RSN,16,0,0
RSW,183,0,427
RTA,165,0,412
RTB,176,0,482
RTD,175,0,412
RTN,170,0,414
RTST,180,0,491
RTZ,179,0,491
RV,180,0,469
RVS,122,0,333
SBK,223,0,564
SD,111,0,268
SDA,165,0,88
SDM,179,0,482
SDT,182,0,424
SDTB,185,0,425
SGL,247,0,550
SGN,203,0,530
SHL,153,0,233
SK,149,0,31
SKND,148,0,31
SM,186,0,483
SN,225,0,565
SOG,245,0,551
SPTN,169,0,472
SPTZ,167,0,472
SRN,209,0,561
