Station Code,Distance from WADN,Services from/to WADN,Disruptions on path to WADN
PMO,89,0.0,193
PMR,88,0.0,192
PMW,87,0.0,195
PT,80,0.0,401
RAI,65,0.0,245
RAT,146,0.0,412
RB,120,0.0,191
RD,272,0.0,496
RH,109,0.0,418
RHN,84,0.0,193
RL,145,0.0,435
RLB,40,0.0,164
RM,173,0.0,293
RS,96,0.0,234
RSD,91,0.0,155
RSN,146,0.0,464
RSW,41,0.0,100
RTA,23,0.0,85
RTB,34,0.0,155
RTD,33,0.0,85
RTN,28,0.0,87
RTST,38,0.0,164
RTZ,37,0.0,164
RV,184,0.0,342
RVS,116,0.0,252
SBK,205,0.0,374
SD,61,0.0,182
SDA,261,0.0,486
SDM,37,0.0,155
SDT,63,0.0,274
SDTB,60,0.0,274
SGL,229,0.0,360
SGN,109,0.0,326
SHL,53,0.0,121
SK,245,0.0,429
SKND,244,0.0,429
SM,178,0.0,342
SN,207,0.0,375
SOG,227,0.0,361
SPTN,60,0.0,216
SPTZ,58,0.0,216
SRN,191,0.0,371
SSH,32,0.0,121
ST,60,0.0,182
STD,198,0.0,342
STM,256,0.0,492
STV,274,0.0,437
STZ,59,0.0,182
SWD,245,0.0,480
SWK,170,0.0,462
TB,104,0.0,478
TBG,135,0.0,452
TBR,99,0.0,497
TBU,103,0.0,499
TG,178,0.0,378
TL,79,0.0,282
TPSW,77,0.0,282
TWL,115,0.0,433
UHM,269,0.0,496
UHZ,266,0.0,496
UST,261,0.0,495
UT,41,0.0,85
UTG,72,0.0,236
UTLN,45,0.0,158
UTLR,38,0.0,108
UTO,44,0.0,158
UTT,36,0.0,103
UTVR,42,0.0,158
UTZL,43,0.0,158
VB,34,0.0,85
VD,135,0.0,433
VDL,221,0.0,361
VDM,261,0.0,493
VEM,119,0.0,435
VG,93,0.0,231
VH,32,0.0,121
VHP,168,0.0,422
VK,230,0.0,361
VL,173,0.0,377
VLB,150,0.0,478
VNDC,76,0.0,192
VNDW,75,0.0,192
VP,105,0.0,418
VRY,157,0.0,479
VS,166,0.0,193
VSS,165,0.0,193
VST,29,0.0,206
VSV,142,0.0,452
VTN,34,0.0,94
VZ,165,0.0,534
WAD,1,56.58064516129032,0
WADN,0,0.0,0
WADT,2,56.58064516129032,0
WC,123,0.0,255
WD,25,0.0,93
WDN,154,0.0,471
WF,91,0.0,180
WFM,258,0.0,495
WH,137,0.0,474
WK,261,0.0,432
WL,124,0.0,435
WM,79,0.0,262
WP,74,0.0,170
WR,288,0.0,504
WS,266,0.0,495
WSM,250,0.0,481
WT,149,0.0,293
WTV,104,0.0,417
WV,183,0.0,412
WW,163,0.0,471
WWW,164,0.0,471
WZ,119,0.0,411
YPB,30,0.0,85
ZA,101,0.0,285
ZB,253,0.0,489
ZBM,76,0.0,282
ZD,74,0.0,192
ZDK,77,0.0,195
ZH,246,0.0,480
ZL,128,0.0,398
ZLSH,133,0.0,412
ZLW,68,0.0,272
ZP,123,0.0,433
ZTM,25,0.0,85
ZTMO,24,0.0,85
ZV,113,0.0,415
ZVB,76,0.0,277
ZVT,61,0.0,199
ZWD,51,0.0,269
ZZS,77,0.0,195
