Station Code,Distance from LTV,Services from/to LTV,Disruptions on path to LTV
PMR,165,0.0,570
PMW,164,0.0,573
PT,114,0.0,277
RAI,139,0.0,281
RAT,100,0.0,92
RB,222,0.0,749
RD,226,0.0,176
RH,54,0.0,5
RHN,141,0.0,319
RL,13,33.25806451612903,0
RLB,180,0.0,505
RM,168,0.0,412
RS,119,0.0,304
RSD,193,0.0,713
RSN,77,0.0,2
RSW,181,0.0,450
RTA,163,0.0,435
RTB,174,0.0,505
RTD,173,0.0,435
RTN,168,0.0,437
RTST,178,0.0,505
RTZ,177,0.0,505
RV,157,0.0,398
RVS,99,0.0,262
SBK,200,0.0,493
SD,109,0.0,291
SDA,215,0.0,166
SDM,177,0.0,505
SDT,159,0.0,353
SDTB,162,0.0,354
SGL,224,0.0,479
SGN,201,0.0,662
SHL,151,0.0,352
SK,199,0.0,109
SKND,198,0.0,109
SM,163,0.0,412
SN,202,0.0,494
SOG,222,0.0,480
SPTN,167,0.0,586
SPTZ,165,0.0,586
SRN,186,0.0,490
SSH,172,0.0,480
ST,110,0.0,291
STD,193,0.0,461
STM,210,0.0,172
STV,228,0.0,117
STZ,111,0.0,281
SWD,199,0.0,160
SWK,124,0.0,142
TB,148,0.0,377
TBG,38,0.0,19
TBR,153,0.0,390
TBU,149,0.0,390
TG,150,0.0,379
TL,108,0.0,279
TPSW,110,0.0,279
TWL,56,0.0,68
UHM,223,0.0,176
UHZ,220,0.0,176
UST,215,0.0,175
UT,117,0.0,277
UTG,164,0.0,608
UTLN,121,0.0,350
UTLR,120,0.0,350
UTO,114,0.0,277
UTT,122,0.0,350
UTVR,118,0.0,350
UTZL,119,0.0,350
VB,174,0.0,435
VD,23,33.25806451612903,0
VDL,216,0.0,480
VDM,215,0.0,173
VEM,39,1.0,2
VG,130,0.0,377
VH,175,0.0,385
VHP,103,0.0,139
VK,225,0.0,480
VL,145,0.0,378
VLB,115,0.0,325
VNDC,133,0.0,318
VNDW,132,0.0,318
VP,58,0.0,8
VRY,122,0.0,326
VS,268,0.0,745
VSS,267,0.0,718
VST,172,0.0,470
VSV,31,0.0,19
VTN,124,0.0,355
VZ,96,0.0,138
WAD,157,0.0,435
WADN,158,0.0,435
WADT,156,0.0,435
WC,92,0.0,262
WD,133,0.0,277
WDN,85,0.0,9
WF,72,0.0,262
WFM,212,0.0,175
WH,68,0.0,78
WK,215,0.0,112
WL,49,0.0,36
WM,157,0.0,573
WP,127,0.0,289
WR,242,0.0,184
WS,220,0.0,175
WSM,204,0.0,161
WT,186,0.0,420
WTV,67,0.0,11
WV,137,0.0,92
WW,10,32.516129032258064,0
WWW,9,32.516129032258064,0
WZ,91,0.0,92
YPB,170,0.0,353
ZA,86,0.0,276
ZB,207,0.0,169
ZBM,129,0.0,322
ZD,151,0.0,570
ZDK,154,0.0,573
ZH,200,0.0,160
ZL,82,0.0,78
ZLSH,87,0.0,92
ZLW,184,0.0,731
ZP,35,33.25806451612903,2
ZTM,165,0.0,350
ZTMO,164,0.0,435
ZV,60,0.0,56
ZVB,192,0.0,736
ZVT,168,0.0,586
ZWD,171,0.0,471
ZZS,154,0.0,573
