Station Code,Distance from KW,Services from/to KW,Disruptions on path to KW
AC,225,0.0,434
AH,190,0.0,167
AHP,189,0.0,171
AHPR,187,0.0,170
AHZ,198,0.0,424
AKL,248,0.0,445
AKM,84,0.0,55
ALM,195,0.0,93
ALMB,189,0.0,93
ALMM,196,0.0,224
ALMO,187,0.0,93
ALMP,193,0.0,98
AMF,180,0.0,88
AMFS,177,0.0,88
AML,159,0.0,109
AMPO,198,0.0,225
AMR,264,0.0,373
AMRI,161,0.0,179
AMRN,265,0.0,448
ANA,294,0.0,459
APD,160,0.0,88
APDM,161,0.0,123
APDO,157,0.0,164
APG,46,0.0,48
APN,236,0.0,338
ARN,379,0.0,598
ASA,222,0.0,227
ASB,222,0.0,227
ASD,225,0.0,88
ASDL,232,0.0,346
ASDM,221,0.0,328
ASDZ,224,0.0,224
ASHD,223,0.0,241
ASN,36,0.0,21
ASS,229,0.0,346
ASSP,220,0.0,232
ATN,218,0.0,178
AVAT,174,0.0,94
BD,292,0.0,487
BDE,334,0.0,625
BDG,228,0.0,329
BDM,27,0.0,37
BDPB,297,0.0,810
BET,271,0.0,401
BF,31,0.0,37
BGN,327,0.0,597
BHDV,259,0.0,465
BHV,192,0.0,332
BK,327,0.0,626
BKF,283,0.0,431
BKG,282,0.0,427
BKL,213,0.0,401
BL,52,0.0,74
BLL,247,0.0,383
BMN,168,0.0,164
BMR,234,0.0,459
BN,168,0.0,179
BNC,199,0.0,329
BNK,209,0.0,401
BNN,196,0.0,328
BNZ,201,0.0,345
BP,42,0.0,36
BR,269,0.0,488
BRD,268,0.0,562
BRN,189,0.0,328
BSD,234,0.0,444
BSK,242,0.0,419
BSKS,243,0.0,442
BSMZ,201,0.0,89
BTL,261,0.0,474
BV,254,0.0,367
BZL,359,0.0,628
CAS,252,0.0,370
CK,224,0.0,456
CL,219,0.0,429
CO,169,0.0,108
CPS,246,0.0,486
CVM,344,0.0,643
DA,156,0.0,98
DB,213,0.0,401
DDN,178,0.0,198
DDR,276,0.0,476
DDRS,273,0.0,476
DDZD,277,0.0,593
DEI,70,0.0,53
DID,207,0.0,176
