Station Code,Distance from KW,Services from/to KW,Disruptions on path to KW
DL,126,0.0,88
DLD,189,0.0,328
DLN,173,0.0,122
DMN,218,0.0,231
DMNZ,218,0.0,89
DN,297,0.0,540
DR,174,0.0,164
DRH,252,0.0,384
DRON,146,0.0,88
DRP,77,0.0,67
DT,270,0.0,501
DTC,218,0.0,196
DTCH,216,0.0,196
DTCP,270,0.0,556
DV,145,0.0,98
DVC,149,0.0,164
DVD,220,0.0,224
DVN,197,0.0,173
DVNK,254,0.0,436
DWE,49,0.0,59
DZ,50,0.0,66
DZW,49,0.0,66
EC,307,0.0,623
ED,207,0.0,424
EDC,209,0.0,446
EDN,349,0.0,627
EEM,57,0.0,65
EGH,343,0.0,642
EGHM,344,0.0,642
EHS,280,0.0,477
EHV,281,0.0,477
EKZ,286,0.0,439
EML,157,0.0,91
EMN,189,0.0,123
EMNZ,185,0.0,122
ES,181,0.0,198
ESK,177,0.0,198
EST,201,0.0,424
ETN,303,0.0,810
FN,83,0.0,53
FWD,52,0.0,36
GBG,162,0.0,108
GD,233,0.0,401
GDG,230,0.0,401
GDM,227,0.0,401
GDR,223,0.0,213
GERP,10,63.45161290322581,0
GK,31,0.0,36
GLN,323,0.0,625
GN,12,63.45161290322581,21
GND,262,0.0,465
GNN,16,0.0,36
GO,188,0.0,231
GP,287,0.0,539
GR,253,0.0,463
GS,364,0.0,598
GV,262,0.0,486
GVC,261,0.0,404
GVM,262,0.0,521
GVMW,263,0.0,501
GW,79,0.0,53
GZ,282,0.0,489
HAD,248,0.0,367
HB,334,0.0,656
HBZM,265,0.0,475
HD,153,0.0,88
HDB,156,0.0,95
HDE,132,0.0,88
HDG,56,0.0,36
HDR,306,0.0,468
HDRZ,305,0.0,468
HFD,240,0.0,298
HGL,173,0.0,179
HGLG,175,0.0,198
HGLO,175,0.0,198
HGV,66,0.0,74
HGZ,3,65.16129032258064,0
HIL,255,0.0,367
HK,251,0.0,406
HKS,278,0.0,423
HLG,92,0.0,54
HLGH,93,0.0,58
HLM,244,0.0,346
HLMS,243,0.0,367
HLO,259,0.0,373
HM,294,0.0,539
HMBH,295,0.0,543
HMBV,291,0.0,539
HMH,293,0.0,539
HMN,215,0.0,438
HN,268,0.0,367
HNK,269,0.0,423
HNO,126,0.0,88
HNP,108,0.0,56
HON,164,0.0,164
HOR,202,0.0,89
HR,95,0.0,53
HRL,338,0.0,625
HRLW,340,0.0,642
HRN,14,0.0,21
HRT,279,0.0,540
HT,249,0.0,401
HTN,209,0.0,401
HTNC,210,0.0,429
HTO,250,0.0,474
HVL,186,0.0,328
HVS,196,0.0,88
HVSM,197,0.0,89
HVSP,197,0.0,89
HWD,271,0.0,449
HWZB,236,0.0,367
HZE,292,0.0,545
IJT,91,0.0,54
KBD,346,0.0,598
KBK,169,0.0,124
KLP,214,0.0,446
KMA,243,0.0,380
KMR,346,0.0,642
KMW,113,0.0,61
KPN,129,0.0,88
KPNZ,129,0.0,88
KRD,346,0.0,653
KRG,353,0.0,598
KTR,222,0.0,438
KW,0,0.0,0
KZ,237,0.0,370
LAA,262,0.0,433
LC,178,0.0,164
LDL,250,0.0,419
LDM,241,0.0,445
LEDN,251,0.0,426
LG,341,0.0,642
LLS,171,0.0,79
LLZM,246,0.0,486
LP,38,0.0,48
LTN,206,0.0,345
LTV,196,0.0,166
LUT,323,0.0,625
LW,66,0.0,36
LWC,63,0.0,46
MAS,208,0.0,401
MDB,383,0.0,625
MES,346,0.0,627
MG,76,0.0,53
MMLH,219,0.0,445
MP,86,0.0,74
MRB,148,0.0,95
MRN,221,0.0,433
MT,340,0.0,625
MTH,1,65.16129032258064,0
MTN,343,0.0,627
MTR,341,0.0,627
MZ,302,0.0,550
NDB,202,0.0,89
NH,331,0.0,656
NKK,169,0.0,91
NM,209,0.0,424
NMD,214,0.0,445
NMGO,212,0.0,445
NMH,212,0.0,445
NML,208,0.0,438
NS,141,0.0,88
NSCH,36,20.258064516129032,14
NVD,146,0.0,97
NVP,245,0.0,426
NWK,242,0.0,486
O,233,0.0,445
OBD,277,0.0,367
ODB,307,0.0,598
ODZ,184,0.0,198
OMN,137,0.0,95
OP,218,0.0,438
OST,135,0.0,88
OT,270,0.0,517
OTB,194,0.0,424
OVN,246,0.0,383
OW,234,0.0,466
PMO,250,0.0,346
PMR,249,0.0,367
PMW,248,0.0,370
PT,162,0.0,88
RAI,223,0.0,227
RAT,132,0.0,88
RB,343,0.0,598
RD,50,0.0,52
RH,180,0.0,167
RHN,244,0.0,436
RL,183,0.0,166
RLB,264,0.0,556
RM,294,0.0,574
RS,245,0.0,466
RSD,314,0.0,593
RSN,162,0.0,109
RSW,265,0.0,501
RTA,247,0.0,486
RTB,258,0.0,556
RTD,257,0.0,486
RTN,252,0.0,488
RTST,262,0.0,556
RTZ,261,0.0,556
RV,283,0.0,560
RVS,225,0.0,424
SBK,326,0.0,655
SD,193,0.0,342
SDA,19,30.32258064516129,5
SDM,261,0.0,556
SDT,266,0.0,475
SDTB,269,0.0,476
SGL,350,0.0,641
SGN,285,0.0,459
SHL,235,0.0,298
SK,88,0.0,53
SKND,87,0.0,53
SM,289,0.0,574
SN,328,0.0,656
SOG,348,0.0,642
SPTN,251,0.0,383
SPTZ,249,0.0,383
SRN,312,0.0,652
SSH,256,0.0,426
ST,194,0.0,342
STD,319,0.0,623
STM,34,0.0,48
STV,117,0.0,61
STZ,195,0.0,332
SWD,23,0.0,36
SWK,100,0.0,124
TB,271,0.0,474
TBG,224,0.0,213
TBR,276,0.0,487
TBU,272,0.0,487
TG,276,0.0,541
TL,234,0.0,441
TPSW,236,0.0,441
TWL,150,0.0,164
UHM,47,0.0,52
UHZ,44,0.0,52
UST,39,0.0,51
UT,201,0.0,328
UTG,248,0.0,405
UTLN,205,0.0,401
UTLR,204,0.0,401
UTO,198,0.0,328
UTT,206,0.0,401
UTVR,202,0.0,401
UTZL,203,0.0,401
VB,258,0.0,486
VD,173,0.0,164
VDL,342,0.0,642
VDM,19,32.0,5
VEM,165,0.0,164
VG,253,0.0,474
VH,259,0.0,436
VHP,154,0.0,98
VK,351,0.0,642
VL,271,0.0,540
VLB,241,0.0,487
VNDC,236,0.0,435
VNDW,235,0.0,435
VP,184,0.0,170
VRY,248,0.0,488
VS,389,0.0,625
VSS,388,0.0,598
VST,256,0.0,521
VSV,227,0.0,197
VTN,208,0.0,406
VZ,161,0.0,99
WAD,241,0.0,486
WADN,242,0.0,486
WADT,240,0.0,486
WC,218,0.0,424
WD,217,0.0,328
WDN,154,0.0,109
WF,198,0.0,424
WFM,36,0.0,51
WH,128,0.0,88
WK,104,0.0,56
WL,213,0.0,196
WM,241,0.0,370
WP,211,0.0,225
WR,46,17.548387096774192,23
WS,24,30.32258064516129,14
WSM,28,0.0,37
WT,309,0.0,539
WTV,193,0.0,173
WV,106,0.0,53
WW,206,0.0,178
WWW,205,0.0,178
WZ,123,0.0,88
YPB,254,0.0,404
ZA,212,0.0,438
ZB,11,65.16129032258064,1
ZBM,236,0.0,444
ZD,235,0.0,367
ZDK,238,0.0,370
ZH,24,0.0,36
ZL,114,0.0,74
ZLSH,119,0.0,88
ZLW,291,0.0,593
ZP,161,0.0,164
ZTM,249,0.0,401
ZTMO,248,0.0,486
ZV,202,0.0,176
ZVB,299,0.0,598
ZVT,252,0.0,383
ZWD,275,0.0,661
ZZS,238,0.0,370
