Station Code,Distance from ZVB,Services from/to ZVB,Disruptions on path to ZVB
MAS,105,0.0,270
MDB,84,0.064516129032258,3
MES,185,0.0,461
MG,290,0.0,527
MMLH,119,0.0,474
MP,213,0.0,524
MRB,219,0.0,531
MRN,116,0.0,354
MT,179,0.0,459
MTH,300,0.0,600
MTN,182,0.0,461
MTR,180,0.0,461
MZ,102,0.0,419
NDB,122,0.0,271
NH,170,0.0,490
NKK,130,0.0,510
NM,109,0.0,453
NMD,104,0.0,456
NMGO,106,0.0,457
NMH,112,0.0,474
NML,110,0.0,474
NS,158,0.0,510
NSCH,335,0.0,607
NVD,215,0.0,723
NVP,100,0.0,248
NWK,58,0.0,250
O,85,0.0,432
OBD,158,0.0,374
ODB,8,29.451612903225808,0
ODZ,213,0.0,783
OMN,208,0.0,531
OP,100,0.0,200
OST,183,0.0,782
OT,52,0.0,359
OTB,132,0.0,713
OVN,112,0.0,248
OW,84,0.0,432
PMO,146,0.0,269
PMR,145,0.0,269
PMW,144,0.0,272
PT,137,0.0,510
RAI,122,0.0,391
RAT,203,0.0,524
RB,44,0.0967741935483871,0
RD,329,0.0,608
RH,138,0.0,714
RHN,139,0.0,357
RL,179,0.0,718
RLB,36,0.0,221
RM,133,0.0,408
RS,73,0.0,432
RSD,15,29.483870967741936,30
RSN,199,0.0,716
RSW,62,0.0,223
RTA,53,0.0,192
RTB,42,1.064516129032258,122
RTD,43,1.064516129032258,122
RTN,48,0.0,192
RTST,38,0.0,122
RTZ,39,0.0,122
RV,144,0.0,457
RVS,93,0.0,453
SBK,165,0.0,489
SD,118,0.0,294
SDA,318,0.0,598
SDM,47,1.064516129032258,192
SDT,33,0.0,122
SDTB,30,0.0,122
SGL,189,0.0,475
SGN,166,0.0,374
SHL,110,0.064516129032258,267
SK,302,0.0,527
SKND,301,0.0,527
SM,138,0.0,457
SN,167,0.0,490
SOG,187,0.0,476
SPTN,117,0.0,248
SPTZ,115,0.0,248
SRN,151,0.0,486
SSH,89,0.0,248
ST,117,0.0,294
STD,158,0.0,457
STM,313,0.0,604
STV,331,0.0,535
STZ,116,0.0,294
SWD,302,0.0,592
SWK,227,0.0,574
TB,44,0.0,346
TBG,164,0.0,750
TBR,39,0.0,365
TBU,43,0.0,367
TG,138,0.0,409
TL,84,0.0,197
TPSW,82,0.0,197
TWL,172,0.0,545
UHM,326,0.0,608
UHZ,323,0.0,608
UST,318,0.0,607
UT,98,0.0,197
UTG,129,0.0,268
UTLN,94,0.0,278
UTLR,96,0.0,292
UTO,101,0.0,270
UTT,94,0.0,287
UTVR,97,0.0,278
UTZL,100,0.0,270
VB,69,0.0,267
VD,169,0.0,716
VDL,181,0.0,476
VDM,318,0.0,605
VEM,161,0.0,716
VG,69,0.0,402
VH,89,0.0,248
VHP,225,0.0,853
VK,190,0.0,476
VL,133,0.0,408
VLB,141,0.0,516
VNDC,131,0.0,356
VNDW,130,0.0,356
VP,134,0.0,714
VRY,148,0.0,517
VS,90,0.064516129032258,3
VSS,89,0.064516129032258,3
VST,76,0.0,241
VSV,171,0.0,750
VTN,92,0.0,278
VZ,218,0.0,852
WAD,75,0.0,277
WADN,76,0.0,277
WADT,74,0.0,277
WC,100,0.0,456
WD,83,0.0,277
WDN,207,0.0,723
WF,136,0.0,713
WFM,315,0.0,607
WH,190,0.0,792
WK,318,0.0,530
WL,153,0.0,733
WM,136,0.0,294
WP,130,0.0,438
WR,345,0.0,616
WS,323,0.0,607
WSM,307,0.0,593
WT,109,0.0,408
WTV,133,0.0,715
WV,240,0.0,524
WW,192,0.0,769
WWW,193,0.0,769
WZ,176,0.0,523
YPB,73,0.0,270
ZA,106,0.0,200
ZB,310,0.0,601
ZBM,79,0.0,432
ZD,131,0.0,269
ZDK,134,0.0,272
ZH,303,0.0,592
ZL,185,0.0,510
ZLSH,190,0.0,524
ZLW,8,30.580645161290324,0
ZP,157,0.0,716
ZTM,78,0.0,267
ZTMO,79,0.0,267
ZV,142,0.0,713
ZVB,0,0.0,0
ZVT,118,0.0,248
ZWD,25,0.0,122
ZZS,134,0.0,272
