Station Code,Distance from UTZL,Services from/to UTZL,Disruptions on path to UTZL
OT,71,0.0,189
OTB,56,0.0,95
OVN,58,0.0,312
OW,68,0.0,149
PMO,62,0.0,297
PMR,61,0.0,296
PMW,60,0.0,299
PT,41,0.0,316
RAI,32,0.0,20
RAT,107,0.0,327
RB,144,0.0,384
RD,233,0.0,411
RH,70,0.0,333
RHN,45,35.96774193548387,108
RL,106,0.0,350
RLB,65,0.0,237
RM,134,0.0,208
RS,57,0.0,149
RSD,115,0.0,348
RSN,107,0.0,379
RSW,66,0.0,173
RTA,48,0.0,158
RTB,59,0.0,228
RTD,58,0.0,158
RTN,53,0.0,160
RTST,63,0.0,237
RTZ,62,0.0,237
RV,145,0.0,257
RVS,77,0.0,167
SBK,166,0.0,289
SD,22,0.0,97
SDA,222,0.0,401
SDM,62,0.0,228
SDT,67,0.0,228
SDTB,70,0.0,229
SGL,190,0.0,275
SGN,97,0.0,388
SHL,44,0.0,17
SK,206,0.0,344
SKND,205,0.0,344
SM,139,0.0,257
SN,168,0.0,290
SOG,188,0.0,276
SPTN,63,0.0,330
SPTZ,61,0.0,330
SRN,152,0.0,286
SSH,60,0.0,181
ST,21,0.0,97
STD,159,0.0,257
STM,217,0.0,407
STV,235,0.0,352
STZ,20,0.0,97
SWD,206,0.0,395
SWK,131,0.0,377
TB,72,0.0,146
TBG,96,0.0,367
TBR,77,0.0,159
TBU,73,0.0,159
TG,139,0.0,293
TL,40,0.0,197
TPSW,38,0.0,197
TWL,76,0.0,348
UHM,230,0.0,411
UHZ,227,0.0,411
UST,222,0.0,410
UT,2,46.193548387096776,0
UTG,60,7.225806451612903,334
UTLN,6,0.0,73
UTLR,5,0.0,73
UTO,5,0.0,73
UTT,7,0.0,73
UTVR,3,41.0,73
UTZL,0,0.0,0
VB,59,0.0,158
VD,96,0.0,348
VDL,182,0.0,276
VDM,222,0.0,408
VEM,80,0.0,350
VG,54,0.0,146
VH,60,0.0,181
VHP,129,0.0,337
VK,191,0.0,276
