Station Code,distance_BMN,services_per_day_BMN,n_of_disruptions_BMN
AC,104,0,369
AH,22,32.61290322580645,3
AHP,21,32.61290322580645,7
AHPR,19,32.61290322580645,6
AHZ,30,31.774193548387096,260
AKL,99,0,321
AKM,131,0,140
ALM,115,0,288
ALMB,121,0,419
ALMM,114,0,287
ALMO,123,0,419
ALMP,117,0,419
AMF,68,0,35
AMFS,71,0,275
AML,62,0,66
AMPO,112,0,287
AMR,152,0,561
AMRI,64,0,136
AMRN,153,0,636
ANA,182,0,647
APD,25,0,0
APDM,24,0,1
APDO,28,0,35
APG,194,0,170
APN,115,0,343
ARN,216,0,747
ASA,110,0,279
ASB,109,0,333
ASD,113,0,276
ASDL,120,0,555
ASDM,109,0,294
ASDZ,112,0,279
ASHD,110,0,347
ASN,132,0,90
ASS,117,0,534
ASSP,108,0,294
ATN,64,0,14
AVAT,74,0,281
BD,127,0,388
BDE,166,0,462
BDG,107,0,334
BDM,175,0,159
BDPB,132,0,711
BET,106,0,418
BF,179,0,159
BGN,164,0,716
BHDV,110,0,341
BHV,80,0,279
BK,159,0,462
BKF,171,0,619
BKG,170,0,615
BKL,92,0,336
BL,116,0,95
BLL,135,0,571
BMN,0,0,0
BMR,66,0,295
BN,57,0,67
BNC,54,0,283
BNK,72,0,314
BNN,57,0,299
BNZ,52,0,283
BP,173,0,107
BR,101,0,324
BRD,136,0,471
BRN,77,0,275
BSD,85,0,320
BSK,121,0,424
BSKS,122,0,447
BSMZ,89,0,276
BTL,96,0,375
BV,142,0,594
BZL,196,0,747
CAS,140,0,558
CK,56,0,292
CL,86,0,320
CO,102,0,153
CPS,125,0,418
CVM,176,0,479
DA,73,0,136
DB,68,0,282
DDN,47,0,15
DDR,127,0,354
DDRS,124,0,352
DDZD,128,0,471
DEI,153,0,107
DID,39,0,12
DL,66,0,90
DLD,77,0,275
DLN,106,0,167
DMN,106,0,293
DMNZ,106,0,293
DN,129,0,376
DR,6,32.645161290322584,0
DRH,140,0,590
DRON,86,0,90
DRP,160,0,121
DT,149,0,433
DTC,50,0,32
DTCH,48,0,32
DTCP,149,0,488
DV,23,0,0
DVC,27,0,66
DVD,108,0,276
DVN,29,0,9
DVNK,133,0,441
DWE,166,0,107
DZ,198,0,188
DZW,197,0,188
EC,139,0,459
ED,39,0,260
EDC,41,0,282
EDN,181,0,463
EEM,205,0,187
EGH,175,0,478
EGHM,176,0,478
EHS,115,0,494
EHV,116,0,375
EKZ,174,0,627
EML,91,0,278
EMN,122,0,168
EMNZ,118,0,167
ES,60,0,67
ESK,56,0,67
EST,33,31.774193548387096,260
ETN,138,0,711
FN,166,0,107
FWD,163,0,107
GBG,95,0,153
GD,112,0,333
GDG,109,0,333
GDM,78,0,277
GDR,55,0,49
GERP,158,0,143
GK,179,0,158
GLN,155,0,461
GN,160,0,143
GND,113,0,341
GNN,164,0,158
GO,37,0,7
GP,122,0,437
GR,104,0,339
GS,201,0,747
GV,141,0,418
GVC,140,0,418
GVM,141,0,526
GVMW,142,0,433
GW,136,0,147
GZ,117,0,390
HAD,136,0,571
HB,166,0,492
HBZM,116,0,351
HD,93,0,90
HDB,89,0,140
HDE,72,0,90
HDG,159,0,107
HDR,194,0,656
HDRZ,193,0,656
HFD,128,0,403
HGL,52,0,48
HGLG,50,0,48
HGLO,54,0,67
HGV,102,0,90
HGZ,171,0,166
HIL,143,0,611
HK,139,0,594
HKS,166,0,611
HLG,175,0,108
HLGH,176,0,112
HLM,132,0,534
HLMS,131,0,555
HLO,147,0,561
HM,129,0,437
HMBH,130,0,441
HMBV,126,0,437
HMH,128,0,437
HMN,47,0,274
HN,156,0,555
HNK,157,0,611
HNO,66,0,90
HNP,191,0,110
HON,42,0,66
HOR,90,0,276
HR,120,0,90
HRL,170,0,461
HRLW,172,0,478
HRN,154,0,143
HRT,111,0,376
HT,84,0,302
HTN,86,0,358
HTNC,87,0,386
HTO,83,0,302
HVL,67,0,300
HVS,84,0,275
HVSM,85,0,276
HVSP,85,0,276
HWD,159,0,637
HWZB,124,0,555
HZE,127,0,443
IJT,174,0,108
KBD,183,0,747
KBK,16,0,0
KLP,46,0,282
KMA,131,0,568
KMR,178,0,478
KMW,196,0,115
KPN,69,0,90
KPNZ,69,0,90
KRD,178,0,489
KRG,190,0,747
KTR,54,0,274
KW,168,0,164
KZ,125,0,558
LAA,141,0,447
LC,24,0,0
LDL,129,0,424
LDM,92,0,321
LEDN,130,0,431
LG,173,0,478
LLS,111,0,90
LLZM,125,0,418
LP,186,0,170
LTN,47,0,283
LTV,42,0,2
LUT,155,0,461
LW,149,0,90
LWC,152,0,107
MAS,87,0,333
MDB,220,0,747
MES,178,0,463
MG,159,0,107
MMLH,51,0,281
MP,82,0,90
MRB,81,0,137
MRN,76,0,314
MT,172,0,461
MTH,169,0,166
MTN,175,0,463
MTR,173,0,463
MZ,137,0,448
NDB,90,0,276
NH,163,0,492
NKK,79,0,275
NM,41,31.774193548387096,260
NMD,46,24.70967741935484,281
NMGO,44,24.70967741935484,281
NMH,44,0,281
NML,40,31.774193548387096,274
NS,81,0,90
NSCH,204,0,173
NVD,65,0,73
NVP,133,0,531
NWK,121,0,418
O,65,0,281
OBD,165,0,647
ODB,158,0,716
ODZ,63,0,67
OMN,77,0,97
OP,50,0,274
OST,33,0,66
OT,105,0,418
OTB,26,0,260
OVN,134,0,571
OW,66,0,302
PMO,138,0,556
PMR,137,0,555
PMW,136,0,558
PT,86,0,278
RAI,111,0,279
RAT,72,0,90
RB,180,0,747
RD,198,0,174
RH,12,32.61290322580645,3
RHN,99,0,317
RL,29,0,2
RLB,140,0,570
RM,126,0,410
RS,77,0,302
RSD,151,0,711
RSN,49,0,66
RSW,144,0,433
RTA,126,0,418
RTB,137,0,488
RTD,136,0,418
RTN,131,0,420
RTST,141,0,497
RTZ,140,0,497
RV,115,0,396
RVS,57,0,260
SBK,158,0,491
SD,81,0,289
SDA,187,0,164
SDM,140,0,488
SDT,117,0,351
SDTB,120,0,352
SGL,182,0,477
SGN,173,0,647
SHL,123,0,353
SK,171,0,107
SKND,170,0,107
SM,121,0,410
SN,160,0,492
SOG,180,0,478
SPTN,139,0,589
SPTZ,137,0,589
SRN,144,0,488
SSH,138,0,441
ST,82,0,289
STD,151,0,459
STM,182,0,170
STV,200,0,115
STZ,83,0,279
SWD,171,0,158
SWK,96,0,140
TB,106,0,375
TBG,56,0,49
TBR,111,0,388
TBU,107,0,388
TG,108,0,377
TL,66,0,277
TPSW,68,0,277
TWL,28,0,66
UHM,195,0,174
UHZ,192,0,174
UST,187,0,173
UT,80,0,260
UTG,136,0,593
UTLN,82,0,358
UTLR,83,0,333
UTO,83,0,333
UTT,85,0,333
UTVR,79,0,358
UTZL,82,0,333
VB,137,0,418
VD,19,0,0
VDL,174,0,478
VDM,187,0,171
VEM,11,0,0
VG,88,0,375
VH,138,0,441
VHP,75,0,137
VK,183,0,478
VL,103,0,376
VLB,73,0,323
VNDC,91,0,316
VNDW,90,0,316
VP,16,32.61290322580645,6
VRY,80,0,324
VS,226,0,749
VSS,225,0,749
VST,135,0,526
VSV,63,0,49
VTN,87,0,338
VZ,68,0,136
WAD,120,0,418
WADN,121,0,418
WADT,119,0,418
WC,50,24.70967741935484,260
WD,96,0,333
WDN,57,0,73
WF,30,0,260
WFM,184,0,173
WH,40,0,76
WK,187,0,110
WL,45,0,32
WM,129,0,558
WP,99,0,287
WR,214,0,182
WS,192,0,173
WSM,176,0,159
WT,144,0,437
WTV,25,0,9
WV,109,0,90
WW,52,0,14
WWW,51,0,14
WZ,63,0,90
YPB,133,0,418
ZA,44,0,274
ZB,179,0,167
ZBM,87,0,320
ZD,123,0,555
ZDK,126,0,558
ZH,172,0,158
ZL,54,0,76
ZLSH,59,0,90
ZLW,142,0,729
ZP,7,32.516129032258064,0
ZTM,128,0,418
ZTMO,127,0,418
ZV,34,0,12
ZVB,150,0,734
ZVT,140,0,572
ZWD,129,0,471
ZZS,126,0,558
