Station Code,Distance from DLN,Services from/to DLN,Disruptions on path to DLN
OW,172,0.0,469
PMO,195,0.0,473
PMR,194,0.0,472
PMW,193,0.0,475
PT,107,0.0,65
RAI,168,0.0,196
RAT,71,0.0,113
RB,286,0.0,914
RD,203,0.0,132
RH,118,0.0,170
RHN,189,0.0,396
RL,121,0.0,169
RLB,209,0.0,525
RM,232,0.0,577
RS,183,0.0,469
RSD,257,0.0,878
RSN,57,0.0,101
RSW,210,0.0,461
RTA,192,0.0,446
RTB,203,0.0,516
RTD,202,0.0,446
RTN,197,0.0,448
RTST,207,0.0,525
RTZ,206,0.0,525
RV,221,0.0,563
RVS,163,0.0,427
SBK,264,0.0,658
SD,138,0.0,302
SDA,192,0.0,122
SDM,206,0.0,516
SDT,211,0.0,516
SDTB,214,0.0,517
SGL,288,0.0,644
SGN,230,0.0,564
SHL,180,0.0,267
SK,176,0.0,65
SKND,175,0.0,65
SM,227,0.0,577
SN,266,0.0,659
SOG,286,0.0,645
SPTN,196,0.0,506
SPTZ,194,0.0,506
SRN,250,0.0,655
SSH,201,0.0,445
ST,139,0.0,302
STD,257,0.0,626
STM,187,0.0,128
STV,205,0.0,73
STZ,140,0.0,292
SWD,176,0.0,116
SWK,101,0.0,98
TB,212,0.0,542
TBG,162,0.0,216
TBR,217,0.0,555
TBU,213,0.0,555
TG,214,0.0,544
TL,172,0.0,444
TPSW,174,0.0,444
TWL,88,0.0,167
UHM,200,0.0,132
UHZ,197,0.0,132
UST,192,0.0,131
UT,146,0.0,288
UTG,193,0.0,510
UTLN,150,0.0,361
UTLR,149,0.0,361
UTO,143,0.0,312
UTT,151,0.0,361
UTVR,147,0.0,361
UTZL,148,0.0,361
VB,203,0.0,446
VD,111,0.0,167
VDL,280,0.0,645
VDM,192,0.0,129
VEM,103,0.0,167
VG,194,0.0,542
VH,204,0.0,396
VHP,31,0.0,30
VK,289,0.0,645
VL,209,0.0,543
VLB,179,0.0,490
VNDC,181,0.0,395
VNDW,180,0.0,395
VP,122,0.0,173
VRY,186,0.0,491
VS,332,0.0,916
VSS,331,0.0,916
VST,201,0.0,481
VSV,165,0.0,200
VTN,153,0.0,366
VZ,38,0.0,31
WAD,186,0.0,446
WADN,187,0.0,446
WADT,185,0.0,446
WC,156,0.0,427
WD,162,0.0,288
WDN,49,0.0,101
WF,136,0.0,427
WFM,189,0.0,131
WH,73,0.0,48
WK,192,0.0,68
WL,151,0.0,199
WM,186,0.0,475
WP,156,0.0,300
WR,219,0.0,140
WS,197,0.0,131
WSM,181,0.0,117
WT,250,0.0,604
WTV,131,0.0,176
WV,114,0.0,48
WW,144,0.0,181
WWW,143,0.0,181
WZ,68,0.0,48
YPB,199,0.0,446
ZA,150,0.0,441
ZB,184,0.0,125
ZBM,181,0.0,485
ZD,180,0.0,472
ZDK,183,0.0,475
ZH,177,0.0,116
ZL,59,20.93548387096774,34
ZLSH,64,0.0,48
ZLW,236,0.0,636
ZP,99,0.0,167
ZTM,194,0.0,446
ZTMO,193,0.0,446
ZV,140,0.0,179
ZVB,244,0.0,641
ZVT,197,0.0,489
ZWD,220,0.0,630
ZZS,183,0.0,475
