Station Code,Distance from BR,Services from/to BR,Disruptions on path to BR
AC,154,0.0,181
AH,79,0.0,64
AHP,80,0.0,321
AHPR,82,0.0,321
AHZ,71,0.0,78
AKL,125,0.0,192
AKM,232,0.0,464
ALM,177,0.0,357
ALMB,183,0.0,488
ALMM,176,0.0,356
ALMO,185,0.0,488
ALMP,179,0.0,488
AMF,130,0.0,104
AMFS,133,0.0,344
AML,163,0.0,390
AMPO,174,0.0,356
AMR,208,0.0,506
AMRI,165,0.0,460
AMRN,209,0.0,581
ANA,238,0.0,592
APD,126,0.0,324
APDM,125,0.0,325
APDO,129,0.0,359
APG,295,0.0,494
APN,165,0.0,231
ARN,197,0.0,422
ASA,163,0.0,221
ASB,159,43.54838709677419,221
ASD,169,0.0,221
ASDL,176,0.0,479
ASDM,165,0.0,258
ASDZ,165,43.54838709677419,235
ASHD,158,0.0,308
ASN,233,0.0,414
ASS,173,0.0,479
ASSP,166,0.0,272
ATN,131,0.0,358
AVAT,136,0.0,350
BD,108,0.0,94
BDE,65,0.0,85
BDG,157,0.0,222
BDM,276,0.0,483
BDPB,113,0.0,417
BET,60,0.0,94
BF,280,0.0,483
BGN,145,0.0,422
BHDV,136,0.0,212
BHV,139,0.0,221
BK,58,0.0,86
BKF,227,0.0,564
BKG,226,0.0,560
BKL,142,0.0,148
BL,217,0.0,414
BLL,191,0.0,516
BMN,101,0.0,324
BMR,35,38.41935483870968,1
BN,158,0.0,391
BNC,111,0.0,87
BNK,129,0.0,118
BNN,114,0.0,103
BNZ,109,0.0,87
BP,274,0.0,431
BR,0,0.0,0
BRD,147,0.0,534
BRN,139,0.0,344
BSD,111,0.0,191
BSK,171,0.0,312
BSKS,172,0.0,335
BSMZ,151,0.0,345
BTL,70,0.064516129032258,32
BV,198,0.0,500
BZL,177,0.0,453
CAS,196,0.0,503
CK,45,38.41935483870968,29
CL,112,0.0,191
CO,203,0.0,477
CPS,169,0.0,489
CVM,75,0.0,103
DA,174,0.0,460
DB,125,0.0,86
DDN,148,0.0,339
DDR,138,1.4516129032258065,417
DDRS,141,0.0,534
DDZD,137,0.0,440
DEI,254,0.0,431
DID,98,0.0,321
DL,167,0.0,414
DLD,139,0.0,344
DLN,207,0.0,491
DMN,168,0.0,272
DMNZ,163,0.0,224
DN,28,47.29032258064516,0
DR,95,0.0,321
DRH,196,0.0,517
DRON,187,0.0,414
DRP,261,0.0,445
DT,172,1.4516129032258065,534
DTC,109,0.0,341
DTCH,107,0.0,341
DTCP,171,0.0,487
DV,124,0.0,324
DVC,128,0.0,390
DVD,161,0.0,221
DVN,88,0.0,323
DVNK,183,0.0,329
DWE,267,0.0,431
DZ,299,0.0,512
DZW,298,0.0,512
EC,38,0.0,83
ED,96,0.0,64
EDC,98,0.0,86
EDN,80,0.0,87
EEM,306,0.0,511
EGH,74,0.0,102
EGHM,75,0.0,102
EHS,51,0.0,94
EHV,50,47.29032258064516,32
EKZ,230,0.0,572
EML,153,0.0,344
EMN,223,0.0,492
EMNZ,219,0.0,491
ES,161,0.0,391
ESK,157,0.0,391
EST,68,0.0,64
ETN,119,0.0,417
FN,267,0.0,431
FWD,264,0.0,431
