Station Code,Distance from SOG,Services from/to SOG,Disruptions on path to SOG
GLN,25,0.0,18
GN,340,0.0,621
GND,195,0.0,248
GNN,344,0.0,636
GO,217,0.0,485
GP,100,0.0,75
GR,186,0.0,246
GS,238,0.0,458
GV,158,0.0,17
GVC,159,0.0,32
GVM,163,0.0,32
GVMW,157,0.0,17
GW,316,0.0,625
GZ,154,0.0,126
HAD,199,0.0,42
HB,14,0.0,17
HBZM,198,0.0,258
HD,234,0.0,500
HDB,269,0.0,618
HDE,252,0.0,568
HDG,339,0.0,585
HDR,280,0.0,177
HDRZ,279,0.0,177
HFD,198,0.0,32
HGL,232,0.0,526
HGLG,230,0.0,526
HGLO,234,0.0,545
HGV,282,0.0,568
HGZ,351,0.0,644
HIL,192,0.0,42
HK,219,0.0,62
HKS,267,0.0,119
HLG,355,0.0,586
HLGH,356,0.0,590
HLM,203,0.0,42
HLMS,204,0.0,42
HLO,233,0.0,62
HM,116,0.0,130
HMBH,115,0.0,130
HMBV,116,0.0,130
HMH,117,0.0,134
HMN,161,0.0,232
HN,257,0.0,63
HNK,258,0.0,119
HNO,246,0.0,568
HNP,371,0.0,588
HON,222,0.0,478
HOR,198,0.0,257
HR,300,0.0,625
HRL,10,38.41935483870968,0
HRLW,8,38.41935483870968,0
HRN,334,0.0,621
HRT,89,0.0,154
HT,138,0.0,111
HTN,178,0.0,280
HTNC,177,0.0,280
HTO,139,0.0,184
HVL,203,0.0,258
HVS,204,0.0,257
HVSM,205,0.0,258
HVSP,203,0.0,257
HWD,245,0.0,158
HWZB,211,0.0,42
HZE,95,0.0,70
IJT,354,0.0,586
KBD,220,0.0,458
KBK,196,0.0,478
KLP,182,0.0,240
KMA,227,0.0,63
KMR,2,38.41935483870968,0
KMW,376,0.0,593
KPN,249,0.0,568
KPNZ,249,0.0,568
KRD,18,36.54838709677419,28
KRG,227,0.0,458
KTR,168,0.0,232
KW,348,0.0,642
KZ,226,0.0,66
LAA,160,0.0,32
LC,204,0.0,478
LDL,175,0.0,42
LDM,174,0.0,228
LEDN,174,0.0,32
LG,13,36.54838709677419,17
LLS,259,0.0,401
LLZM,174,0.0,61
LP,366,0.0,648
LTN,183,0.0,241
LTV,222,0.0,480
LUT,33,0.0,19
LW,329,0.0,568
LWC,332,0.0,585
MAS,193,0.0,257
MDB,257,0.0,485
MES,10,38.41935483870968,0
MG,339,0.0,585
MMLH,129,0.0,186
MP,262,0.0,568
MRB,261,0.0,615
MRN,204,0.0,384
MT,16,38.41935483870968,14
MTH,349,0.0,644
MTN,13,38.41935483870968,14
MTR,17,38.41935483870968,16
MZ,85,0.0,68
NDB,210,0.0,258
NH,17,0.0,17
NKK,218,0.0,497
NM,139,0.0,197
NMD,144,0.0,218
NMGO,142,0.0,218
NMH,136,0.0,197
NML,140,0.0,218
NS,246,0.0,497
NSCH,384,0.0,651
NVD,245,0.0,485
NVP,193,0.0,42
NWK,193,0.0,246
O,157,0.0,184
OBD,251,0.0,168
ODB,195,0.0,458
ODZ,243,0.0,545
OMN,257,0.0,575
OP,164,0.0,232
OST,213,0.0,544
OT,135,0.0,111
OTB,162,0.0,475
OVN,205,0.0,42
OW,156,0.0,184
PMO,239,0.0,63
PMR,238,0.0,63
PMW,237,0.0,66
PT,225,0.0,497
RAI,215,0.0,185
RAT,252,0.0,568
RB,217,0.0,489
RD,378,0.0,652
RH,168,0.0,476
RHN,227,0.0,387
RL,209,0.0,480
RLB,185,0.0,188
RM,54,0.0,19
RS,145,0.0,184
RSD,188,0.0,453
RSN,229,0.0,478
RSW,159,0.0,17
RTA,188,0.0,188
RTB,179,0.0,188
RTD,178,0.0,118
RTN,183,0.0,188
RTST,183,0.0,188
RTZ,182,0.0,188
RV,65,0.0,68
RVS,155,0.0,218
SBK,22,0.0,17
SD,206,0.0,281
SDA,367,0.0,642
SDM,174,0.0,118
SDT,199,0.0,258
SDTB,201,0.0,570
SGL,6,38.41935483870968,0
SGN,259,0.0,168
SHL,203,0.0,61
SK,351,0.0,585
SKND,350,0.0,585
SM,59,0.0,68
SN,20,0.0,17
SOG,0,0.0,0
SPTN,210,0.0,42
SPTZ,208,0.0,42
SRN,36,0.0,19
SSH,182,0.0,42
ST,205,0.0,281
STD,29,0.0,17
STM,362,0.0,648
STV,380,0.0,593
STZ,204,0.0,281
SWD,351,0.0,636
SWK,276,0.0,618
TB,143,0.0,111
TBG,194,0.0,512
TBR,148,0.0,124
TBU,144,0.0,124
TG,72,0.0,82
TL,172,0.0,227
TPSW,170,0.0,227
TWL,208,0.0,544
UHM,375,0.0,652
UHZ,372,0.0,652
UST,367,0.0,651
UT,186,0.0,184
UTG,222,0.0,62
UTLN,182,0.0,308
UTLR,189,0.0,257
UTO,189,0.0,257
UTT,191,0.0,257
UTVR,185,0.0,308
UTZL,188,0.0,257
VB,162,0.0,61
VD,199,0.0,478
VDL,6,38.41935483870968,0
VDM,367,0.0,649
VEM,191,0.0,478
VG,134,0.0,111
VH,182,0.0,42
VHP,255,0.0,615
VK,3,38.41935483870968,0
VL,77,0.0,101
VLB,107,0.0,154
VNDC,219,0.0,386
VNDW,218,0.0,386
VP,164,0.0,476
VRY,100,0.0,154
VS,263,0.0,485
VSS,262,0.0,458
VST,169,0.0,35
VSV,201,0.0,512
VTN,193,0.0,262
VZ,248,0.0,614
WAD,195,0.0,117
WADN,196,0.0,117
WADT,194,0.0,117
WC,148,0.0,218
WD,202,0.0,257
WDN,237,0.0,485
WF,166,0.0,218
WFM,364,0.0,651
WH,220,0.0,554
WK,367,0.0,588
WL,183,0.0,495
WM,229,0.0,88
WP,219,0.0,269
WR,394,0.0,660
WS,372,0.0,651
WSM,356,0.0,637
WT,78,0.0,68
WTV,163,0.0,477
WV,289,0.0,568
WW,222,0.0,531
WWW,223,0.0,531
WZ,243,0.0,568
YPB,166,0.0,64
ZA,158,0.0,232
ZB,359,0.0,645
ZBM,151,0.0,184
ZD,224,0.0,63
ZDK,227,0.0,66
ZH,352,0.0,636
ZL,234,0.0,554
ZLSH,239,0.0,568
ZLW,179,0.0,471
ZP,187,0.0,478
ZTM,171,0.0,61
ZTMO,172,0.0,61
ZV,172,0.0,475
ZVB,187,0.0,476
ZVT,211,0.0,42
ZWD,196,0.0,293
ZZS,227,0.0,66
