Station Code,Distance from SOG,Services from/to SOG,Disruptions on path to SOG
AC,210,0.0,217
AH,158,0.0,218
AHP,159,0.0,475
AHPR,161,0.0,475
AHZ,150,0.0,232
AKL,181,0.0,228
AKM,311,0.0,618
ALM,235,0.0,270
ALMB,241,0.0,401
ALMM,234,0.0,269
ALMO,243,0.0,401
ALMP,237,0.0,401
AMF,207,0.0,257
AMFS,210,0.0,497
AML,242,0.0,544
AMPO,232,0.0,269
AMR,238,0.0,82
AMRI,244,0.0,614
AMRN,239,0.0,157
ANA,268,0.0,168
APD,205,0.0,478
APDM,204,0.0,479
APDO,208,0.0,513
APG,374,0.0,648
APN,189,0.0,49
ARN,253,0.0,458
ASA,219,0.0,257
ASB,215,0.0,257
ASD,222,0.0,61
ASDL,215,0.0,111
ASDM,221,0.0,294
ASDZ,214,0.0,111
ASHD,214,0.0,344
ASN,312,0.0,568
ASS,218,0.0,42
ASSP,222,0.0,308
ATN,210,0.0,512
AVAT,213,0.0,503
BD,164,0.0,130
BDE,22,0.0,16
BDG,197,0.0,130
BDM,355,0.0,637
BDPB,169,0.0,453
BET,116,0.0,130
BF,359,0.0,637
BGN,201,0.0,458
BHDV,192,0.0,248
BHV,195,0.0,257
BK,29,0.0,47
BKF,272,0.0,127
BKG,271,0.0,123
BKL,198,0.0,184
BL,296,0.0,568
BLL,206,0.0,42
BMN,180,0.0,478
BMR,114,0.0,155
BN,237,0.0,545
BNC,190,0.0,241
BNK,192,0.0,308
BNN,193,0.0,257
BNZ,188,0.0,241
BP,353,0.0,585
BR,79,0.0,102
BRD,189,0.0,194
BRN,210,0.0,281
BSD,167,0.0,227
BSK,195,0.0,130
BSKS,196,0.0,153
BSMZ,209,0.0,258
BTL,126,0.0,68
BV,216,0.0,44
BZL,233,0.0,489
CAS,226,0.0,79
CK,124,0.0,183
CL,168,0.0,227
CO,282,0.0,631
CPS,189,0.0,190
CVM,16,36.54838709677419,18
DA,253,0.0,614
DB,196,0.0,352
DDN,227,0.0,493
DDR,194,0.0,453
DDRS,197,0.0,570
DDZD,193,0.0,476
DEI,333,0.0,585
DID,177,0.0,475
DL,246,0.0,568
DLD,198,0.0,277
DLN,286,0.0,645
DMN,224,0.0,308
DMNZ,219,0.0,260
DN,107,0.0,102
DR,174,0.0,475
DRH,211,0.0,43
DRON,266,0.0,568
DRP,340,0.0,599
DT,164,0.0,17
DTC,188,0.0,495
DTCH,186,0.0,495
DTCP,165,0.0,118
DV,203,0.0,478
DVC,207,0.0,544
DVD,217,0.0,257
DVN,167,0.0,477
DVNK,171,0.0,35
DWE,346,0.0,585
DZ,378,0.0,666
DZW,377,0.0,666
EC,41,0.0,21
ED,175,0.0,218
EDC,177,0.0,240
EDN,25,0.0,16
EEM,385,0.0,665
EGH,15,36.54838709677419,17
EGHM,16,0.0,17
EHS,107,0.0,130
EHV,106,0.0,68
EKZ,275,0.0,135
EML,230,0.0,497
EMN,302,0.0,646
EMNZ,298,0.0,645
ES,240,0.0,545
ESK,236,0.0,545
EST,147,0.0,218
ETN,175,0.0,453
FN,346,0.0,585
FWD,343,0.0,585
GBG,275,0.0,631
GD,187,0.0,32
GDG,190,0.0,117
GDM,160,0.0,184
GDR,193,0.0,512
GERP,338,0.0,621
GK,359,0.0,636
