Station Code,Distance from DRH,Services from/to DRH,Disruptions on path to DRH
AC,42,0.0,310
AH,123,0.0,590
AHP,124,0.0,847
AHPR,126,0.0,847
AHZ,131,0.0,847
AKL,113,0.0,413
AKM,215,0.0,360
ALM,57,0.0,296
ALMB,63,0.0,427
ALMM,56,0.0,303
ALMO,65,0.0,427
ALMP,59,0.0,427
AMF,72,0.0,310
AMFS,75,0.0,550
AML,169,0.0,616
AMPO,54,0.0,303
AMR,27,34.935483870967744,21
AMRI,171,0.0,686
AMRN,28,29.06451612903226,96
ANA,57,0.0,107
APD,115,0.0,550
APDM,116,0.0,585
APDO,118,0.0,585
APG,278,0.0,390
APN,52,0.0,18
ARN,198,0.0,202
ASA,33,0.0,296
ASB,37,0.0,296
ASD,27,35.29032258064516,38
ASDL,26,0.0,59
ASDM,31,0.0,296
ASDZ,39,0.0,296
ASHD,38,0.0,310
ASN,216,0.0,310
ASS,23,35.29032258064516,38
ASSP,32,0.0,296
ATN,175,0.0,884
AVAT,78,0.0,556
BD,125,0.0,197
BDE,233,0.0,45
BDG,60,0.0,99
BDM,259,0.0,379
BDPB,120,0.0,249
BET,136,0.0,369
BF,263,0.0,379
BGN,146,0.0,248
BHDV,112,0.0,255
BHV,75,0.0,369
BK,228,0.0,46
BKF,66,0.0,171
BKG,65,0.0,167
BKL,54,0.0,437
BL,200,0.0,310
BLL,5,35.41935483870968,1
BMN,140,0.0,585
BMR,167,0.0,625
BN,178,0.0,686
BNC,91,0.0,551
BNK,74,0.0,369
BNN,88,0.0,550
BNZ,93,0.0,567
BP,257,0.0,567
BR,196,0.0,539
BRD,86,0.0,203
BRN,63,0.0,297
BSD,99,0.0,412
BSK,58,0.0,99
BSKS,59,0.0,122
BSMZ,51,0.0,314
BTL,126,0.0,442
BV,5,37.935483870967744,0
BZL,178,0.0,279
CAS,15,34.935483870967744,18
CK,157,0.0,622
CL,84,0.0,397
CO,193,0.0,330
CPS,83,0.0,207
CVM,207,0.0,44
DA,180,0.0,320
DB,78,0.0,369
DDN,173,0.0,600
DDR,95,0.0,127
DDRS,98,0.0,244
DDZD,96,0.0,244
DEI,237,0.0,567
DID,142,0.0,847
DL,150,0.0,310
DLD,75,0.0,311
DLN,197,0.0,344
DMN,34,0.0,296
DMNZ,37,0.0,336
DN,168,0.0,511
DR,139,0.0,847
DRH,0,0.0,0
DRON,106,0.0,441
DRP,244,0.0,581
DT,61,0.0,26
DTC,153,0.0,867
DTCH,151,0.0,867
DTCP,62,0.0,127
DV,130,0.0,550
DVC,134,0.0,585
DVD,35,0.0,333
DVN,132,0.0,849
DVNK,40,0.0,11
DWE,250,0.0,567
DZ,282,0.0,408
DZW,281,0.0,408
EC,211,0.0,556
ED,106,0.0,568
EDC,104,0.0,567
EDN,236,0.0,45
EEM,289,0.0,407
EGH,206,0.0,43
EGHM,207,0.0,43
EHS,145,0.0,445
EHV,146,0.0,445
EKZ,69,0.0,179
EML,95,0.0,550
EMN,213,0.0,345
EMNZ,209,0.0,344
ES,186,0.0,652
ESK,182,0.0,652
EST,134,0.0,847
ETN,136,0.0,520
FN,250,0.0,567
FWD,247,0.0,567
GBG,186,0.0,330
GD,70,0.0,122
GDG,73,0.0,207
GDM,92,0.0,369
GDR,158,0.0,884
GERP,242,0.0,363
GK,263,0.0,378
GLN,216,0.0,44
GN,244,0.0,363
GND,109,0.0,245
GNN,248,0.0,378
GO,163,0.0,592
GP,152,0.0,507
GR,118,0.0,431
GS,183,0.0,202
GV,53,0.0,11
GVC,52,0.0,11
GVM,48,0.0,96
GVMW,54,0.0,26
GW,220,0.0,367
GZ,135,0.0,520
HAD,12,0.0,1
HB,205,0.0,43
HBZM,106,0.0,245
HD,99,0.0,553
HDB,180,0.0,317
HDE,120,0.0,550
HDG,243,0.0,567
HDR,69,0.0,116
HDRZ,68,0.0,116
HFD,43,0.0,109
HGL,178,0.0,633
HGLG,176,0.0,633
HGLO,180,0.0,652
HGV,186,0.0,310
HGZ,255,0.0,386
HIL,19,0.0,1
HK,8,37.935483870967744,18
HKS,61,0.0,163
HLG,259,0.0,568
HLGH,260,0.0,572
HLM,8,35.41935483870968,1
HLMS,9,35.29032258064516,38
HLO,22,34.935483870967744,18
HM,159,0.0,507
HMBH,160,0.0,511
HMBV,156,0.0,507
HMH,158,0.0,507
HMN,123,0.0,415
HN,51,29.06451612903226,107
HNK,52,0.0,163
HNO,150,0.0,310
HNP,275,0.0,570
HON,149,0.0,585
HOR,62,0.0,296
HR,204,0.0,367
HRL,201,0.0,26
HRLW,203,0.0,43
HRN,238,0.0,363
HRT,186,0.0,539
HT,114,0.0,369
HTN,74,0.0,369
HTNC,75,0.0,397
HTO,115,0.0,442
HVL,78,0.0,550
HVS,56,0.0,296
HVSM,55,0.0,347
HVSP,57,0.0,297
HWD,34,29.06451612903226,97
HWZB,16,35.29032258064516,38
HZE,157,0.0,513
IJT,258,0.0,568
KBD,165,0.0,202
KBK,124,0.0,586
KLP,100,0.0,369
KMA,16,0.0,19
KMR,209,0.0,43
KMW,280,0.0,575
KPN,153,0.0,310
KPNZ,123,0.0,442
KRD,209,0.0,54
KRG,172,0.0,202
KTR,116,0.0,412
KW,252,0.0,384
KZ,22,0.0,54
LAA,51,0.0,11
LC,150,0.0,585
LDL,38,0.0,11
LDM,106,0.0,413
LEDN,37,0.0,1
LG,204,0.0,43
LLS,81,0.0,427
LLZM,67,0.0,40
LP,270,0.0,390
LTN,98,0.0,567
LTV,168,0.0,587
LUT,224,0.0,45
LW,233,0.0,550
LWC,236,0.0,567
MAS,59,0.0,310
MDB,202,0.0,229
MES,221,0.0,43
MG,243,0.0,567
MMLH,152,0.0,611
MP,166,0.0,310
MRB,172,0.0,317
MRN,86,0.0,401
MT,227,0.0,43
MTH,253,0.0,386
MTN,224,0.0,57
MTR,228,0.0,45
MZ,167,0.0,518
NDB,50,0.0,303
NH,208,0.0,43
NKK,83,0.0,550
NM,142,0.0,590
NMD,147,0.0,611
NMGO,145,0.0,611
NMH,145,0.0,611
NML,141,0.0,861
NS,111,0.0,550
NSCH,288,0.0,393
NVD,170,0.0,319
NVP,48,0.0,109
NWK,79,0.0,207
O,133,0.0,442
OBD,40,29.06451612903226,107
ODB,126,0.0,249
ODZ,189,0.0,652
OMN,161,0.0,317
OP,120,0.0,415
OST,140,0.0,616
OT,135,0.0,485
OTB,119,0.0,590
OVN,10,0.0,38
OW,132,0.0,442
PMO,39,0.0,21
PMR,38,0.0,23
PMW,37,0.0,21
PT,90,0.0,550
RAI,38,0.0,336
RAT,156,0.0,310
RB,162,0.0,249
RD,282,0.0,394
RH,133,0.0,848
RHN,109,0.0,404
RL,155,0.0,587
RLB,82,0.0,197
RM,198,0.0,507
RS,121,0.0,442
RSD,133,0.0,197
RSN,156,0.0,585
RSW,56,0.0,26
RTA,84,0.0,207
RTB,76,0.0,197
RTD,75,0.0,127
RTN,80,0.0,197
RTST,80,0.0,197
RTZ,79,0.0,197
RV,209,0.0,556
RVS,141,0.0,463
SBK,213,0.0,43
SD,67,0.0,311
SDA,271,0.0,384
SDM,71,0.0,127
SDT,105,0.0,244
SDTB,102,0.0,244
SGL,217,0.0,43
SGN,48,0.0,107
SHL,38,0.0,59
SK,255,0.0,567
SKND,254,0.0,567
SM,203,0.0,556
SN,211,0.0,43
SOG,211,0.0,43
SPTN,1,37.774193548387096,0
SPTZ,3,35.41935483870968,1
SRN,216,0.0,585
SSH,45,0.0,11
ST,68,0.0,311
STD,220,0.0,43
STM,266,0.0,390
STV,284,0.0,575
STZ,69,0.0,311
SWD,255,0.0,378
SWK,180,0.0,360
TB,136,0.0,442
TBG,159,0.0,884
TBR,141,0.0,455
TBU,137,0.0,455
TG,203,0.0,508
TL,104,0.0,412
TPSW,102,0.0,412
TWL,125,0.0,585
UHM,279,0.0,394
UHZ,276,0.0,394
UST,271,0.0,393
UT,66,0.0,296
UTG,11,37.935483870967744,18
UTLN,70,0.0,369
UTLR,69,0.0,369
UTO,69,0.0,369
UTT,71,0.0,369
UTVR,67,0.0,369
UTZL,64,0.0,313
VB,55,0.0,40
VD,145,0.0,585
VDL,205,0.0,43
VDM,271,0.0,391
VEM,129,0.0,587
VG,118,0.0,442
VH,29,0.0,1
VHP,178,0.0,320
VK,214,0.0,43
VL,198,0.0,507
VLB,174,0.0,653
VNDC,101,0.0,403
VNDW,100,0.0,403
VP,129,0.0,848
VRY,181,0.0,654
VS,208,0.0,229
VSS,207,0.0,202
VST,42,0.0,96
VSV,166,0.0,884
VTN,73,0.0,374
VZ,175,0.0,686
WAD,62,0.0,122
