Station Code,Distance from GBG,Services from/to GBG,Disruptions on path to GBG
AC,159,0.0,380
AH,117,0.0,156
AHP,116,0.0,160
AHPR,114,0.0,159
AHZ,125,0.0,413
AKL,182,0.0,391
AKM,125,0.0,84
ALM,129,0.0,45
ALMB,123,0.0,45
ALMM,130,0.0,176
ALMO,121,0.0,34
ALMP,127,0.0,50
AMF,114,0.0,34
AMFS,111,0.0,34
AML,33,0.0,17
AMPO,132,0.0,177
AMR,198,0.0,319
AMRI,35,0.0,87
AMRN,199,0.0,394
ANA,228,0.0,405
APD,87,0.0,153
APDM,88,0.0,188
APDO,84,0.0,153
APG,188,0.0,114
APN,170,0.0,284
ARN,311,0.0,869
ASA,156,0.0,38
ASB,156,0.0,38
ASD,159,0.0,34
ASDL,166,0.0,292
ASDM,155,0.0,274
ASDZ,158,0.0,35
ASHD,157,0.0,52
ASN,126,0.0,34
ASS,163,0.0,292
ASSP,154,0.0,53
ATN,145,0.0,167
AVAT,108,0.0,40
BD,222,0.0,541
BDE,261,0.0,614
BDG,162,0.0,275
BDM,169,0.0,103
BDPB,227,0.0,864
BET,201,0.0,528
BF,173,0.0,103
BGN,259,0.0,869
BHDV,193,0.0,411
BHV,126,0.0,278
BK,254,0.0,615
BKF,217,0.0,377
BKG,216,0.0,373
BKL,147,0.0,347
BL,110,0.0,34
BLL,181,0.0,329
BMN,95,0.0,153
BMR,161,0.0,448
BN,42,0.0,87
BNC,133,0.0,275
BNK,143,0.0,347
BNN,130,0.0,274
BNZ,135,0.0,291
BP,167,0.0,51
BR,196,0.0,477
BRD,202,0.0,508
BRN,123,0.0,274
BSD,168,0.0,390
BSK,176,0.0,365
BSKS,177,0.0,388
BSMZ,135,0.0,35
BTL,191,0.0,528
BV,188,0.0,313
BZL,291,0.0,900
CAS,186,0.0,316
CK,151,0.0,445
CL,153,0.0,375
CO,7,23.193548387096776,0
CPS,180,0.0,432
CVM,271,0.0,632
DA,22,0.0,16
DB,147,0.0,347
DDN,52,0.0,106
DDR,210,0.0,422
DDRS,207,0.0,422
DDZD,211,0.0,539
DEI,147,0.0,51
DID,134,0.0,165
DL,36,20.93548387096774,13
DLD,123,0.0,274
DLN,11,23.193548387096776,14
DMN,152,0.0,52
DMNZ,152,0.0,35
DN,224,0.0,529
DR,101,0.0,153
DRH,186,0.0,330
DRON,80,0.0,34
DRP,154,0.0,65
DT,204,0.0,447
DTC,145,0.0,185
DTCH,143,0.0,185
DTCP,204,0.0,502
DV,72,0.0,87
DVC,68,0.0,94
DVD,154,0.0,35
DVN,124,0.0,162
DVNK,188,0.0,382
DWE,160,0.0,51
DZ,192,0.0,132
DZW,191,0.0,132
EC,234,0.0,612
ED,134,0.0,413
EDC,136,0.0,435
EDN,276,0.0,616
EEM,199,0.0,131
EGH,270,0.0,631
EGHM,271,0.0,631
EHS,210,0.0,604
EHV,211,0.0,528
EKZ,220,0.0,385
EML,91,0.0,37
EMN,27,23.193548387096776,15
EMNZ,23,23.193548387096776,14
ES,55,0.0,106
ESK,51,0.0,106
EST,128,0.0,413
ETN,233,0.0,864
FN,160,0.0,51
FWD,157,0.0,51
GBG,0,0.0,0
GD,167,0.0,347
GDG,164,0.0,347
GDM,161,0.0,347
GDR,150,0.0,202
GERP,152,0.0,87
GK,173,0.0,102
GLN,250,0.0,614
GN,154,0.0,87
GND,196,0.0,411
GNN,158,0.0,102
GO,62,0.0,139
GP,217,0.0,590
GR,187,0.0,409
GS,296,0.0,869
GV,196,0.0,432
GVC,195,0.0,350
GVM,196,0.0,467
GVMW,197,0.0,447
GW,130,0.0,91
GZ,212,0.0,543
HAD,182,0.0,313
HB,261,0.0,645
HBZM,199,0.0,421
HD,87,0.0,34
HDB,6,20.93548387096774,0
HDE,66,0.0,34
HDG,153,0.0,51
HDR,240,0.0,414
HDRZ,239,0.0,414
HFD,174,0.0,109
HGL,47,0.0,87
HGLG,49,0.0,106
HGLO,49,0.0,106
HGV,96,0.0,34
HGZ,165,0.0,110
HIL,189,0.0,313
HK,185,0.0,352
HKS,212,0.0,369
HLG,169,0.0,52
HLGH,170,0.0,56
HLM,178,0.0,292
HLMS,177,0.0,313
HLO,193,0.0,319
HM,224,0.0,571
HMBH,225,0.0,575
HMBV,221,0.0,590
HMH,223,0.0,590
HMN,142,0.0,427
HN,202,0.0,313
HNK,203,0.0,369
HNO,60,0.0,34
HNP,185,0.0,54
HON,53,0.0,94
HOR,136,0.0,35
HR,114,0.0,91
HRL,265,0.0,614
HRLW,267,0.0,631
HRN,148,0.0,87
HRT,206,0.0,529
HT,179,0.0,455
HTN,143,0.0,347
HTNC,144,0.0,375
HTO,178,0.0,455
HVL,120,0.0,274
HVS,130,0.0,34
HVSM,131,0.0,35
HVSP,131,0.0,35
HWD,205,0.0,395
HWZB,170,0.0,313
HZE,222,0.0,596
IJT,168,0.0,52
KBD,278,0.0,869
KBK,96,0.0,189
KLP,141,0.0,435
KMA,177,0.0,326
KMR,273,0.0,631
KMW,190,0.0,59
KPN,63,0.0,34
KPNZ,63,0.0,34
KRD,273,0.0,642
