Station Code,Distance from GBG,Services from/to GBG,Disruptions on path to GBG
KRG,285,0.0,869
KTR,149,0.0,427
KW,162,0.0,108
KZ,171,0.0,316
LAA,196,0.0,379
LC,75,0.0,147
LDL,184,0.0,365
LDM,175,0.0,391
LEDN,185,0.0,372
LG,268,0.0,631
LLS,105,0.0,34
LLZM,180,0.0,432
LP,180,0.0,114
LTN,140,0.0,291
LTV,123,0.0,155
LUT,250,0.0,614
LW,143,0.0,34
LWC,146,0.0,51
MAS,142,0.0,347
MDB,315,0.0,896
MES,273,0.0,616
MG,153,0.0,51
MMLH,146,0.0,434
MP,76,0.0,34
MRB,14,20.93548387096774,13
MRN,155,0.0,379
MT,267,0.0,614
MTH,163,0.0,110
MTN,270,0.0,616
MTR,268,0.0,616
MZ,232,0.0,601
NDB,136,0.0,35
NH,258,0.0,645
NKK,103,0.0,37
NM,136,0.0,413
NMD,141,0.0,434
NMGO,139,0.0,434
NMH,139,0.0,434
NML,135,0.0,427
NS,75,0.0,34
NSCH,198,0.0,117
NVD,46,0.0,87
NVP,179,0.0,237
NWK,176,0.0,432
O,160,0.0,434
OBD,211,0.0,313
ODB,241,0.0,544
ODZ,58,0.0,106
OMN,25,20.93548387096774,13
OP,145,0.0,427
OST,69,0.0,34
OT,200,0.0,571
OTB,121,0.0,413
OVN,180,0.0,329
OW,161,0.0,455
PMO,184,0.0,292
PMR,183,0.0,313
PMW,182,0.0,316
PT,96,0.0,34
RAI,157,0.0,38
RAT,60,0.0,99
RB,275,0.0,900
RD,192,0.0,118
RH,107,0.0,156
RHN,178,0.0,382
RL,110,0.0,155
RLB,198,0.0,502
RM,221,0.0,563
RS,172,0.0,455
RSD,246,0.0,864
RSN,46,0.0,87
RSW,199,0.0,447
RTA,181,0.0,432
RTB,192,0.0,502
RTD,191,0.0,432
RTN,186,0.0,434
RTST,196,0.0,502
RTZ,195,0.0,502
RV,210,0.0,549
RVS,152,0.0,413
SBK,253,0.0,644
SD,127,0.0,288
SDA,181,0.0,108
SDM,195,0.0,502
SDT,200,0.0,421
SDTB,203,0.0,422
SGL,277,0.0,630
SGN,219,0.0,405
SHL,169,0.0,109
SK,165,0.0,51
SKND,164,0.0,51
SM,216,0.0,563
SN,255,0.0,645
SOG,275,0.0,631
SPTN,185,0.0,329
SPTZ,183,0.0,329
SRN,239,0.0,641
SSH,190,0.0,237
ST,128,0.0,288
STD,246,0.0,612
STM,176,0.0,114
STV,194,0.0,59
STZ,129,0.0,278
SWD,165,0.0,102
SWK,90,0.0,84
TB,201,0.0,528
TBG,151,0.0,202
TBR,206,0.0,541
TBU,202,0.0,541
TG,203,0.0,530
TL,161,0.0,430
TPSW,163,0.0,430
TWL,77,0.0,153
UHM,189,0.0,118
UHZ,186,0.0,118
UST,181,0.0,117
UT,135,0.0,274
UTG,182,0.0,351
UTLN,139,0.0,347
UTLR,138,0.0,347
UTO,132,0.0,274
UTT,140,0.0,347
UTVR,136,0.0,347
UTZL,137,0.0,347
VB,192,0.0,432
VD,100,0.0,153
VDL,269,0.0,631
VDM,181,0.0,115
VEM,92,0.0,153
VG,183,0.0,528
VH,193,0.0,382
VHP,20,0.0,16
VK,278,0.0,631
VL,198,0.0,529
VLB,168,0.0,476
VNDC,170,0.0,381
VNDW,169,0.0,381
VP,111,0.0,159
VRY,175,0.0,477
VS,321,0.0,896
VSS,320,0.0,869
VST,190,0.0,467
VSV,154,0.0,186
VTN,142,0.0,352
VZ,27,0.0,17
WAD,175,0.0,432
WADN,176,0.0,432
WADT,174,0.0,432
WC,145,0.0,413
WD,151,0.0,274
WDN,38,0.0,87
WF,125,0.0,413
WFM,178,0.0,117
WH,62,0.0,34
WK,181,0.0,54
WL,140,0.0,185
WM,175,0.0,316
WP,145,0.0,46
WR,208,0.0,126
WS,186,0.0,117
WSM,170,0.0,103
WT,239,0.0,571
WTV,120,0.0,162
WV,103,0.0,34
WW,133,0.0,167
WWW,132,0.0,167
WZ,57,0.0,34
YPB,188,0.0,350
ZA,139,0.0,427
ZB,173,0.0,111
ZBM,170,0.0,390
ZD,169,0.0,313
ZDK,172,0.0,316
ZH,166,0.0,102
ZL,48,20.93548387096774,20
ZLSH,53,0.0,34
ZLW,225,0.0,539
ZP,88,0.0,153
ZTM,183,0.0,347
ZTMO,182,0.0,432
ZV,129,0.0,165
ZVB,233,0.0,544
ZVT,186,0.0,329
ZWD,209,0.0,607
ZZS,172,0.0,316
