Station Code,distance_HDB,services_per_day_HDB,n_of_disruptions_HDB
AC,153,0,370
AH,111,0,143
AHP,110,0,147
AHPR,108,0,146
AHZ,119,0,400
AKL,176,0,459
AKM,119,0,71
ALM,123,0,32
ALMB,117,0,32
ALMM,124,0,163
ALMO,115,0,21
ALMP,121,0,37
AMF,108,0,21
AMFS,105,0,21
AML,27,23.70967741935484,4
AMPO,126,0,164
AMR,192,0,448
AMRI,29,0,74
AMRN,193,0,523
ANA,222,0,534
APD,81,0,140
APDM,82,0,175
APDO,78,0,140
APG,182,0,101
APN,164,0,271
ARN,305,0,887
ASA,150,0,166
ASB,150,0,166
ASD,153,0,163
ASDL,160,0,442
ASDM,149,0,280
ASDZ,152,0,163
ASHD,151,0,180
ASN,120,0,21
ASS,157,0,421
ASSP,148,0,280
ATN,139,0,154
AVAT,102,0,27
BD,216,0,528
BDE,255,0,602
BDG,156,0,262
BDM,163,0,90
BDPB,221,0,851
BET,195,0,558
BF,167,0,90
BGN,253,0,856
BHDV,187,0,479
BHV,120,0,265
BK,248,0,602
BKF,211,0,506
BKG,210,0,502
BKL,141,0,337
BL,104,0,26
BLL,175,0,458
BMN,89,0,140
BMR,155,0,435
BN,36,0,74
BNC,127,0,262
BNK,137,0,334
BNN,124,0,261
BNZ,129,0,278
BP,161,0,38
BR,190,0,464
BRD,196,0,504
BRN,117,0,261
BSD,162,0,458
BSK,170,0,352
BSKS,171,0,375
BSMZ,129,0,262
BTL,185,0,515
BV,182,0,481
BZL,285,0,887
CAS,180,0,445
CK,145,0,432
CL,147,0,362
CO,13,42.32258064516129,0
CPS,174,0,419
CVM,265,0,619
DA,16,23.70967741935484,3
DB,141,0,334
DDN,46,0,93
DDR,204,0,492
DDRS,201,0,490
DDZD,205,0,609
DEI,141,0,38
DID,128,0,152
DL,30,42.354838709677416,0
DLD,117,0,261
DLN,17,23.193548387096776,14
DMN,146,0,279
DMNZ,146,0,279
DN,218,0,516
DR,95,0,140
DRH,180,0,477
DRON,74,0,21
DRP,148,0,52
DT,198,0,434
DTC,139,0,172
DTCH,137,0,172
DTCP,198,0,489
DV,66,0,74
DVC,62,0,81
DVD,148,0,163
