Station Code,Distance from ZD,Services from/to ZD,Disruptions on path to ZD
AC,25,44.354838709677416,293
AH,106,35.806451612903224,573
AHP,107,0.0,830
AHPR,109,0.0,830
AHZ,114,0.8387096774193549,830
AKL,96,0.0,396
AKM,198,0.0,343
ALM,40,0.0,279
ALMB,46,0.0,410
ALMM,39,0.0,286
ALMO,48,0.0,410
ALMP,42,0.0,410
AMF,55,0.0,293
AMFS,58,0.0,533
AML,152,0.0,599
AMPO,37,0.0,286
AMR,29,55.38709677419355,3
AMRI,154,0.0,669
AMRN,30,36.096774193548384,78
ANA,59,36.096774193548384,89
APD,98,0.0,533
APDM,99,0.0,568
APDO,101,0.0,568
APG,261,0.0,373
APN,65,0.0,38
ARN,211,0.0,146
ASA,16,96.6774193548387,279
ASB,20,46.483870967741936,279
ASD,10,101.64516129032258,21
ASDL,9,25.35483870967742,21
ASDM,14,44.354838709677416,279
ASDZ,22,0.0,279
ASHD,21,44.354838709677416,293
ASN,199,0.0,293
ASS,6,131.5806451612903,0
ASSP,15,0.0,279
ATN,158,0.0,867
AVAT,61,0.0,539
BD,138,0.0,141
BDE,221,0.032258064516129,541
BDG,67,0.0,280
BDM,242,0.0,362
BDPB,133,0.0,263
BET,119,0.032258064516129,352
BF,246,0.0,362
BGN,159,0.0,262
BHDV,107,0.0,416
BHV,58,0.0,352
BK,214,0.0,542
BKF,48,1.870967741935484,64
BKG,47,1.870967741935484,60
BKL,37,44.354838709677416,420
BL,183,0.0,293
BLL,24,0.0,37
BMN,123,0.0,568
BMR,150,0.0,608
BN,161,0.0,669
BNC,74,0.0,534
BNK,57,6.096774193548387,352
BNN,71,0.0,533
BNZ,76,0.0,550
BP,240,0.0,550
BR,179,0.0,522
BRD,99,0.0,147
BRN,46,0.0,280
BSD,82,0.0,395
BSK,71,0.0,119
BSKS,72,0.0,142
BSMZ,34,0.0,297
BTL,109,0.0,425
BV,19,0.1290322580645161,0
BZL,191,0.0,293
CAS,17,55.38709677419355,0
CK,140,0.0,605
CL,67,0.0,380
CO,176,0.0,313
CPS,85,35.45161290322581,365
CVM,220,0.0,57
DA,163,0.0,303
DB,61,41.903225806451616,352
DDN,156,0.0,583
DDR,108,0.0,141
DDRS,111,0.0,258
DDZD,109,0.0,258
DEI,220,0.0,550
DID,125,0.0,830
DL,133,0.0,293
DLD,58,0.0,294
DLN,180,0.0,327
DMN,17,0.0,279
DMNZ,20,0.0,319
DN,151,0.0,494
DR,122,0.0,830
DRH,24,0.0,18
DRON,89,0.0,424
DRP,227,0.0,564
DT,74,0.0,39
DTC,136,0.0,850
DTCH,134,0.0,850
DTCP,75,0.0,140
DV,113,0.0,533
DVC,117,0.0,568
DVD,18,44.61290322580645,316
DVN,115,0.0,832
DVNK,53,19.12903225806452,21
DWE,233,0.0,550
DZ,265,0.0,391
DZW,264,0.0,391
EC,194,0.0,539
ED,89,35.806451612903224,551
EDC,87,0.0,550
EDN,236,0.0,543
EEM,272,0.0,390
EGH,219,0.0,56
EGHM,220,0.0,56
EHS,128,0.0,428
EHV,129,16.096774193548388,428
EKZ,51,1.870967741935484,72
EML,78,0.0,533
EMN,196,0.0,328
EMNZ,192,0.0,327
ES,169,0.0,635
ESK,165,0.0,635
EST,117,0.8709677419354839,830
ETN,149,0.0,464
FN,233,0.0,550
FWD,230,0.0,550
GBG,169,0.0,313
GD,72,35.45161290322581,280
GDG,69,35.45161290322581,280
GDM,75,0.0967741935483871,352
GDR,141,0.0,867
GERP,225,0.0,346
GK,246,0.0,361
GLN,210,0.0,541
GN,227,0.0,346
GND,110,0.0,416
GNN,231,0.0,361
GO,146,0.0,575
GP,135,0.0,490
GR,101,0.0,414
GS,196,0.0,146
GV,66,0.0,24
GVC,65,19.12903225806452,24
GVM,61,19.12903225806452,21
GVMW,67,0.0,39
GW,203,0.0,350
GZ,130,0.0,440
HAD,25,0.0,21
HB,218,0.0,56
HBZM,113,0.0,426
HD,82,0.0,536
HDB,163,0.0,300
HDE,103,0.0,533
HDG,226,0.0,550
HDR,71,36.096774193548384,98
HDRZ,70,36.096774193548384,98
HFD,26,25.35483870967742,71
HGL,161,0.0,616
HGLG,159,0.0,616
HGLO,163,0.0,635
HGV,169,0.0,293
HGZ,238,0.0,369
HIL,32,0.0,21
HK,16,0.0,36
HKS,43,1.870967741935484,56
HLG,242,0.0,551
HLGH,243,0.0,555
HLM,21,0.1612903225806451,0
HLMS,20,0.0,21
HLO,24,40.58064516129032,3
HM,142,0.0,490
HMBH,143,0.0,494
HMBV,139,0.0,490
HMH,141,0.0,490
HMN,106,0.0,398
HN,33,32.193548387096776,0
HNK,34,22.64516129032258,56
HNO,133,0.0,293
HNP,258,0.0,553
HON,132,0.0,568
HOR,45,0.0,279
HR,187,0.0,350
HRL,214,0.0,39
HRLW,216,0.0,56
HRN,221,0.0,346
HRT,169,0.0,522
HT,97,16.096774193548388,352
HTN,57,0.0,352
HTNC,58,0.0,380
HTO,98,0.0,425
HVL,61,0.0,533
HVS,39,0.0,279
HVSM,38,0.0,330
HVSP,40,0.0,280
HWD,36,36.096774193548384,79
HWZB,13,0.0,21
HZE,140,0.0,496
IJT,241,0.0,551
KBD,178,0.0,146
KBK,107,0.0,569
KLP,83,16.548387096774192,352
KMA,8,47.064516129032256,10
KMR,222,0.0,56
KMW,263,0.0,558
KPN,136,0.0,0
KPNZ,106,0.0,425
KRD,222,0.0,67
KRG,185,0.0,146
KTR,99,0.0,395
KW,235,0.0,367
KZ,2,47.064516129032256,0
LAA,64,19.12903225806452,24
LC,133,0.0,568
LDL,51,0.0,31
LDM,89,0.0,396
LEDN,50,19.12903225806452,21
LG,217,0.0,56
LLS,64,0.0,410
LLZM,80,0.0,53
LP,253,0.0,373
LTN,81,0.0,550
LTV,151,0.0,570
LUT,210,0.0,541
LW,216,0.0,533
LWC,219,0.0,550
MAS,42,8.903225806451612,293
MDB,215,0.0,173
MES,233,0.0,543
MG,226,0.0,550
MMLH,135,0.0,594
MP,149,0.0,293
MRB,155,0.0,300
MRN,69,1.064516129032258,384
MT,227,16.096774193548388,541
MTH,236,0.0,369
MTN,230,0.0,543
MTR,228,0.0,543
MZ,150,0.0,501
NDB,33,0.0,286
NH,218,0.0,572
NKK,66,0.0,533
NM,125,35.806451612903224,573
NMD,130,0.0,594
NMGO,128,0.0,594
NMH,128,0.0,594
NML,124,0.8387096774193549,844
NS,94,0.0,533
NSCH,271,0.0,376
NVD,153,0.0,302
NVP,31,19.12903225806452,71
NWK,81,35.45161290322581,365
O,116,0.0,425
OBD,42,0.0,89
ODB,139,0.0,263
ODZ,172,0.0,635
OMN,144,0.0,300
OP,103,0.0,398
OST,123,0.0,599
OT,118,0.0,468
OTB,102,0.0,573
OVN,23,0.0,37
OW,115,0.0,425
PMO,15,32.0,0
PMR,14,31.967741935483872,2
PMW,13,31.967741935483872,0
PT,73,0.0,533
RAI,21,0.0,319
RAT,139,0.0,293
