Station Code,Distance from ED,Services from/to ED,Disruptions on path to ED
AC,65,0.0,106
AH,17,87.03225806451613,0
AHP,18,0.0,257
AHPR,20,0.0,257
AHZ,25,0.8387096774193549,257
AKL,86,0.0,201
AKM,170,0.0,400
ALM,81,0.0,271
ALMB,87,0.0,402
ALMM,80,0.0,270
ALMO,89,0.0,402
ALMP,83,0.0,402
AMF,34,38.064516129032256,18
AMFS,37,0.0,258
AML,101,0.0,326
AMPO,78,0.0,270
AMR,118,36.03225806451613,557
AMRI,103,0.0,396
AMRN,119,33.806451612903224,632
ANA,148,33.806451612903224,643
APD,64,0.0,260
APDM,63,0.0,261
APDO,67,0.0,295
APG,233,0.0,430
APN,76,0.0,83
ARN,211,0.0,456
ASA,74,36.58064516129032,73
ASB,70,19.35483870967742,73
ASD,79,36.58064516129032,272
ASDL,86,0.0,530
ASDM,75,0.0,258
ASDZ,76,19.096774193548388,87
ASHD,69,0.0,233
ASN,171,0.0,350
ASS,83,36.03225806451613,530
ASSP,74,0.0,277
ATN,69,0.0,294
AVAT,40,0.0,264
BD,122,0.0,128
BDE,161,0.0,201
BDG,68,0.0,74
BDM,214,0.0,419
BDPB,127,0.0,451
BET,101,0.0,115
BF,218,0.0,419
BGN,159,0.0,456
BHDV,97,0.0,221
BHV,46,0.0,262
BK,154,0.0,202
BKF,137,0.0,615
BKG,136,0.0,611
BKL,53,0.0,73
BL,155,0.0,350
BLL,101,0.0,567
BMN,39,0.0,260
BMR,61,0.0,35
BN,96,0.0,327
BNC,15,38.064516129032256,1
BNK,33,0.0,32
BNN,18,38.064516129032256,17
BNZ,13,38.064516129032256,1
BP,212,0.0,367
BR,96,0.0,64
BRD,108,0.0,234
BRN,43,0.0,258
BSD,72,0.0,200
BSK,82,0.0,164
BSKS,83,0.0,187
BSMZ,55,0.0,259
BTL,91,0.0,115
BV,108,0.0967741935483871,551
BZL,191,0.0,487
CAS,106,36.03225806451613,554
CK,51,0.0,32
CL,57,0.0,104
CO,141,0.0,413
CPS,86,0.0,158
CVM,171,0.0,219
DA,112,0.0,396
DB,29,38.774193548387096,0
DDN,86,0.0,275
DDR,114,0.0,232
DDRS,111,0.0,232
DDZD,115,0.0,349
DEI,192,0.0,367
DID,36,0.0,257
DL,105,0.0,350
DLD,43,0.0,258
DLN,145,0.0,427
DMN,72,0.0,276
DMNZ,72,0.0,259
DN,124,0.0,116
DR,33,0.0,257
DRH,106,0.0,568
DRON,125,0.0,350
DRP,199,0.0,381
DT,110,0.3548387096774194,173
DTC,47,0.0,277
DTCH,45,0.0,277
DTCP,110,0.0,228
DV,62,0.0,260
DVC,66,0.0,326
DVD,72,0.0,73
DVN,26,0.0,259
DVNK,94,0.0,181
DWE,205,0.0,367
DZ,237,0.0,448
DZW,236,0.0,448
EC,134,0.0,199
ED,0,0.0,0
EDC,2,38.064516129032256,0
EDN,176,0.0,203
EEM,244,0.0,447
EGH,170,0.0,218
EGHM,171,0.0,218
EHS,110,0.0,191
EHV,111,0.0,115
EKZ,140,0.0,623
EML,57,0.0,258
EMN,161,0.0,428
EMNZ,157,0.0,427
ES,99,0.0,327
ESK,95,0.0,327
EST,28,1.3870967741935485,257
ETN,133,0.0,451
FN,205,0.0,367
FWD,202,0.0,367
GBG,134,0.0,413
GD,73,0.0,73
GDG,70,0.0,73
GDM,65,0.0,157
GDR,52,0.0,294
GERP,197,0.0,403
GK,218,0.0,418
GLN,150,0.0,201
GN,199,0.0,403
GND,100,0.0,221
GNN,203,0.0,418
GO,76,0.0,267
GP,117,0.0,177
GR,91,0.0,219
GS,196,0.0,456
GV,102,0.3548387096774194,158
GVC,101,0.0,76
GVM,102,0.0,266
GVMW,103,0.0,173
GW,175,0.0,407
GZ,112,0.0,130
HAD,102,0.0,551
HB,161,0.0,232
HBZM,103,0.0,231
HD,61,0.0,261
HDB,128,0.0,400
HDE,82,0.0,258
HDG,198,0.0,367
HDR,160,33.806451612903224,652
HDRZ,159,33.806451612903224,652
HFD,92,0.0,161
HGL,91,0.0,308
HGLG,89,0.0,308
HGLO,93,0.0,327
HGV,141,0.0,350
HGZ,210,0.0,426
HIL,109,0.0,181
HK,105,0.0,590
HKS,132,0.0,607
HLG,214,0.0,368
HLGH,215,0.0,372
HLM,98,0.0967741935483871,530
HLMS,97,0.0,551
HLO,113,36.03225806451613,557
HM,124,0.0,158
HMBH,125,0.0,162
HMBV,121,0.0,177
HMH,123,0.0,177
HMN,42,0.0,271
HN,122,0.0,551
HNK,123,0.0,607
HNO,105,0.0,350
HNP,230,0.0,370
HON,81,0.0,260
HOR,53,0.0,73
HR,159,0.0,407
HRL,165,0.0,201
HRLW,167,0.0,218
HRN,193,0.0,403
HRT,106,0.0,116
HT,79,0.0,42
HTN,47,0.0,76
HTNC,48,0.0,104
HTO,78,0.0,42
HVL,28,38.064516129032256,18
HVS,50,0.0,258
HVSM,51,0.0,259
HVSP,51,0.0,259
HWD,125,33.806451612903224,633
HWZB,90,0.0,551
HZE,122,0.0,183
IJT,213,0.0,368
KBD,178,0.0,456
KBK,55,0.0,260
KLP,7,39.25806451612903,0
KMA,97,0.0,564
KMR,173,0.0,218
KMW,235,0.0,375
KPN,108,0.0,350
KPNZ,108,0.0,350
KRD,173,0.0,229
KRG,185,0.0,456
KTR,49,0.0,271
KW,207,0.0,424
KZ,91,0.0,554
LAA,102,0.3548387096774194,105
LC,63,0.0,260
LDL,90,0.0,164
LDM,79,0.0,201
LEDN,91,0.3548387096774194,171
LG,168,0.0,218
LLS,105,0.0,402
LLZM,86,0.0,158
LP,225,0.0,430
LTN,8,38.064516129032256,1
LTV,81,0.0,262
LUT,150,0.0,201
LW,188,0.0,350
LWC,191,0.0,367
MAS,48,0.0,73
MDB,215,0.0,483
MES,173,0.0,203
MG,198,0.0,367
MMLH,46,0.0,21
MP,121,0.0,350
MRB,120,0.0,397
MRN,37,0.0,32
MT,167,0.0,201
MTH,208,0.0,426
MTN,170,0.0,203
MTR,168,0.0,203
MZ,132,0.0,188
NDB,56,0.0,259
NH,158,0.0,232
NKK,45,0.0,258
NM,36,45.74193548387097,0
NMD,41,0.0,21
NMGO,39,0.0,21
NMH,39,0.0,21
NML,35,0.8387096774193549,271
NS,73,0.0,258
NSCH,243,0.0,433
NVD,104,0.0,267
NVP,97,0.0,289
NWK,82,0.0,158
O,60,0.0,21
OBD,131,0.0,551
ODB,145,0.0,354
ODZ,102,0.0,327
OMN,116,0.0,357
OP,45,0.0,271
OST,72,0.0,326
OT,100,0.0,158
OTB,13,29.387096774193548,0
OVN,100,0.0,567
OW,61,0.0,42
PMO,104,0.0,530
PMR,103,0.0,551
PMW,102,0.0,554
PT,52,0.0,258
RAI,75,0.0,76
RAT,111,0.0,350
RB,175,0.0,487
RD,237,0.0,434
RH,27,0.0,258
RHN,60,0.0,35
RL,68,0.0,262
RLB,104,0.0,228
RM,121,0.0,150
RS,72,0.0,42
RSD,146,0.0,451
RSN,88,0.0,260
RSW,105,0.0,173
RTA,87,0.0,158
RTB,98,0.0,228
RTD,97,0.3548387096774194,158
RTN,92,0.0,160
RTST,102,0.0,228
RTZ,101,0.0,228
RV,110,0.0,136
RVS,52,0.0,257
SBK,153,0.0,231
SD,47,0.0,272
SDA,226,0.0,424
SDM,101,0.3548387096774194,228
SDT,104,0.0,231
SDTB,107,0.0,232
SGL,177,0.0,217
SGN,139,33.806451612903224,643
SHL,87,18.193548387096776,87
SK,210,0.0,367
SKND,209,0.0,367
SM,116,0.0,150
SN,155,0.0,232
SOG,175,0.0,218
SPTN,105,0.0,567
SPTZ,103,0.0,567
SRN,139,0.0,228
SSH,99,0.0,181
ST,48,0.0,272
STD,146,0.0,199
STM,221,0.0,430
STV,239,0.0,375
STZ,49,0.0,262
SWD,210,0.0,418
SWK,135,0.0,400
TB,101,0.0,115
TBG,53,0.0,294
TBR,106,0.0,128
TBU,102,0.0,128
TG,103,0.0,117
TL,61,0.0,274
TPSW,63,0.0,274
TWL,67,0.0,326
UHM,234,0.0,434
UHZ,231,0.0,434
UST,226,0.0,433
UT,41,59.12903225806452,0
UTG,102,0.0,589
UTLN,43,0.0,76
UTLR,44,0.0,73
UTO,44,0.0,73
UTT,46,0.0,73
UTVR,40,0.0,76
UTZL,43,0.0,73
VB,98,0.0,158
VD,58,0.0,260
VDL,169,0.0,218
VDM,226,0.0,431
VEM,50,0.0,260
VG,83,0.0,115
VH,99,0.0,181
VHP,114,0.0,397
VK,178,0.0,218
VL,98,0.0,116
VLB,68,0.0,63
VNDC,52,0.0,34
VNDW,51,0.0,34
VP,23,0.0,258
VRY,75,0.0,64
VS,221,0.0,483
VSS,220,0.0,456
VST,96,0.0,266
VSV,60,0.0,294
VTN,48,0.0,78
VZ,107,0.0,396
WAD,81,0.0,158
WADN,82,0.0,158
WADT,80,0.0,158
WC,45,0.0,257
WD,57,0.0,73
WDN,96,0.0,267
WF,9,29.387096774193548,0
WFM,223,0.0,433
WH,79,0.0,336
WK,226,0.0,370
WL,42,0.0,277
WM,95,0.032258064516129,554
WP,65,0.0,270
WR,253,0.0,442
WS,231,0.0,433
WSM,215,0.0,419
WT,139,0.0,158
WTV,22,0.0,259
WV,148,0.0,350
WW,81,0.0,313
WWW,82,0.0,313
WZ,91,0.0,271
YPB,94,0.0,76
ZA,39,0.0,271
ZB,218,0.0,427
ZBM,74,0.0,200
ZD,89,36.03225806451613,551
ZDK,92,0.0,554
ZH,211,0.0,418
ZL,93,0.0,336
ZLSH,98,0.0,350
ZLW,129,0.0,349
ZP,46,0.0,260
ZTM,89,0.0,73
ZTMO,88,0.0,158
ZV,31,0.0,257
ZVB,137,0.0,354
ZVT,106,0.0,567
ZWD,115,0.0,333
ZZS,92,0.0,554
