Station Code,Distance from HDG,Services from/to HDG,Disruptions on path to HDG
AC,216,0.0,363
AH,181,0.0,110
AHP,180,0.0,114
AHPR,178,0.0,113
AHZ,189,0.0,367
AKL,239,0.0,374
AKM,28,0.0,19
ALM,186,0.0,42
ALMB,180,0.0,42
ALMM,187,0.0,173
ALMO,178,0.0,31
ALMP,184,0.0,47
AMF,171,0.0,17
AMFS,168,0.0,31
AML,150,0.0,52
AMPO,189,0.0,174
AMR,255,0.0,316
AMRI,152,0.0,122
AMRN,256,0.0,391
ANA,285,0.0,402
APD,151,0.0,31
APDM,152,0.0,66
APDO,148,0.0,107
APG,78,0.0,27
APN,227,0.0,267
ARN,370,0.0,527
ASA,213,0.0,35
ASB,213,0.0,35
ASD,216,0.0,31
ASDL,223,0.0,289
ASDM,212,0.0,257
ASDZ,215,0.0,32
ASHD,214,0.0,49
ASN,72,0.0,15
ASS,220,0.0,289
ASSP,211,0.0,50
ATN,209,0.0,121
AVAT,165,0.0,37
BD,283,0.0,416
BDE,325,0.0,568
BDG,219,0.0,258
BDM,59,0.0,16
BDPB,288,0.0,739
BET,262,0.0,330
BF,63,0.0,16
BGN,318,0.0,526
BHDV,250,0.0,394
BHV,183,0.0,261
BK,318,0.0,569
BKF,274,0.0,374
BKG,273,0.0,370
BKL,204,0.0,330
BL,88,0.0,68
BLL,238,0.0,326
BMN,159,0.0,107
BMR,225,0.0,402
BN,159,0.0,122
BNC,190,0.0,258
BNK,200,0.0,330
BNN,187,0.0,257
BNZ,192,0.0,274
BP,14,31.548387096774192,0
BR,260,0.0,431
BRD,259,0.0,491
BRN,180,0.0,257
BSD,225,0.0,373
BSK,233,0.0,348
BSKS,234,0.0,371
BSMZ,192,0.0,32
BTL,252,0.0,403
BV,245,0.0,310
BZL,350,0.0,557
CAS,243,0.0,313
CK,215,0.0,399
CL,210,0.0,358
CO,160,0.0,51
CPS,237,0.0,415
CVM,335,0.0,586
DA,147,0.0,41
DB,204,0.0,330
DDN,169,0.0,141
DDR,267,0.0,405
DDRS,264,0.0,405
DDZD,268,0.0,522
DEI,14,0.0,17
DID,198,0.0,119
DL,117,0.0,31
DLD,180,0.0,257
DLN,164,0.0,65
DMN,209,0.0,49
DMNZ,209,0.0,32
DN,288,0.0,483
DR,165,0.0,107
DRH,243,0.0,327
DRON,137,0.0,31
DRP,21,0.0,31
DT,261,0.0,430
DTC,209,0.0,139
DTCH,207,0.0,139
DTCP,261,0.0,485
DV,136,0.0,41
DVC,140,0.0,107
DVD,211,0.0,32
DVN,188,0.0,116
DVNK,245,0.0,365
DWE,7,31.451612903225808,0
DZ,82,0.0,45
DZW,81,0.0,45
EC,298,0.0,566
ED,198,0.0,367
EDC,200,0.0,389
EDN,340,0.0,570
EEM,89,0.0,44
EGH,334,0.0,585
EGHM,335,0.0,585
EHS,271,0.0,406
EHV,272,0.0,406
EKZ,277,0.0,382
EML,148,0.0,34
EMN,180,0.0,66
EMNZ,176,0.0,65
ES,172,0.0,141
ESK,168,0.0,141
EST,192,0.0,367
ETN,294,0.0,739
FN,27,0.0,17
FWD,4,31.580645161290324,0
GBG,153,0.0,51
GD,224,0.0,330
GDG,221,0.0,330
GDM,218,0.0,330
GDR,214,0.0,156
GERP,46,0.0,15
GK,25,31.451612903225808,23
GLN,314,0.0,568
GN,44,31.580645161290324,0
GND,253,0.0,394
GNN,48,0.0,15
GO,179,0.0,174
GP,278,0.0,468
GR,244,0.0,392
GS,355,0.0,527
GV,253,0.0,415
GVC,252,0.0,333
GVM,253,0.0,450
GVMW,254,0.0,430
GW,23,0.0,17
GZ,273,0.0,418
HAD,239,0.0,310
HB,325,0.0,599
HBZM,256,0.0,404
HD,144,0.0,31
HDB,147,0.0,38
HDE,123,0.0,31
HDG,0,0.0,0
HDR,297,0.0,411
HDRZ,296,0.0,411
HFD,231,0.0,106
HGL,164,0.0,122
HGLG,166,0.0,141
HGLO,166,0.0,141
HGV,97,0.0,74
HGZ,59,0.0,38
HIL,246,0.0,310
HK,242,0.0,349
HKS,269,0.0,366
HLG,36,0.0,18
HLGH,37,0.0,22
HLM,235,0.0,289
HLMS,234,0.0,310
HLO,250,0.0,316
HM,285,0.0,468
HMBH,286,0.0,472
HMBV,282,0.0,468
HMH,284,0.0,468
HMN,206,0.0,381
HN,259,0.0,310
HNK,260,0.0,366
HNO,117,0.0,31
HNP,52,0.0,20
HON,155,0.0,107
HOR,193,0.0,32
HR,39,0.0,17
HRL,329,0.0,568
HRLW,331,0.0,585
HRN,50,0.0,15
HRT,270,0.0,483
HT,240,0.0,330
HTN,200,0.0,330
HTNC,201,0.0,358
HTO,241,0.0,403
HVL,177,0.0,257
HVS,187,0.0,31
HVSM,188,0.0,32
HVSP,188,0.0,32
HWD,262,0.0,392
HWZB,227,0.0,310
HZE,283,0.0,474
IJT,35,0.0,18
KBD,337,0.0,527
KBK,160,0.0,67
KLP,205,0.0,389
KMA,234,0.0,323
KMR,337,0.0,585
KMW,57,0.0,25
KPN,120,0.0,31
KPNZ,120,0.0,31
KRD,337,0.0,596
KRG,344,0.0,527
KTR,213,0.0,381
KW,56,0.0,36
KZ,228,0.0,313
LAA,253,0.0,362
LC,169,0.0,107
LDL,241,0.0,348
LDM,232,0.0,374
LEDN,242,0.0,355
LG,332,0.0,585
LLS,162,0.0,17
LLZM,237,0.0,415
LP,70,0.0,27
LTN,197,0.0,274
LTV,187,0.0,109
LUT,314,0.0,568
LW,10,31.516129032258064,0
LWC,7,31.451612903225808,0
MAS,199,0.0,330
MDB,374,0.0,554
MES,337,0.0,570
MG,20,0.0,17
MMLH,210,0.0,388
MP,77,0.0,24
MRB,139,0.0,38
MRN,212,0.0,362
MT,331,0.0,568
MTH,57,0.0,38
MTN,334,0.0,570
MTR,332,0.0,570
MZ,293,0.0,479
NDB,193,0.0,32
NH,322,0.0,599
NKK,160,0.0,34
NM,200,0.0,367
NMD,205,0.0,388
NMGO,203,0.0,388
NMH,203,0.0,388
NML,199,0.0,381
NS,132,0.0,31
NSCH,92,0.0,45
NVD,137,0.0,40
NVP,236,0.0,234
NWK,233,0.0,415
O,224,0.0,388
OBD,268,0.0,310
ODB,298,0.0,527
ODZ,175,0.0,141
OMN,128,0.0,38
OP,209,0.0,381
OST,126,0.0,31
OT,261,0.0,446
OTB,185,0.0,367
OVN,237,0.0,326
OW,225,0.0,409
PMO,241,0.0,289
PMR,240,0.0,310
PMW,239,0.0,313
PT,153,0.0,31
RAI,214,0.0,35
RAT,123,0.0,31
RB,334,0.0,527
RD,82,0.0,31
RH,171,0.0,110
RHN,235,0.0,365
RL,174,0.0,109
RLB,255,0.0,485
RM,285,0.0,517
RS,236,0.0,409
RSD,305,0.0,522
RSN,153,0.0,52
RSW,256,0.0,430
RTA,238,0.0,415
RTB,249,0.0,485
RTD,248,0.0,415
RTN,243,0.0,417
RTST,253,0.0,485
RTZ,252,0.0,485
RV,274,0.0,503
RVS,216,0.0,367
SBK,317,0.0,598
SD,184,0.0,271
SDA,75,0.0,36
SDM,252,0.0,485
SDT,257,0.0,404
SDTB,260,0.0,405
SGL,341,0.0,584
SGN,276,0.0,402
SHL,226,0.0,106
SK,32,0.0,17
SKND,31,0.0,17
SM,280,0.0,517
SN,319,0.0,599
SOG,339,0.0,585
SPTN,242,0.0,326
SPTZ,240,0.0,326
SRN,303,0.0,595
SSH,247,0.0,234
ST,185,0.0,271
STD,310,0.0,566
STM,66,0.0,27
STV,61,0.0,25
STZ,186,0.0,261
SWD,55,0.0,15
SWK,63,0.0,17
TB,262,0.0,403
TBG,215,0.0,156
TBR,267,0.0,416
TBU,263,0.0,416
TG,267,0.0,484
TL,225,0.0,384
TPSW,227,0.0,384
TWL,141,0.0,107
UHM,79,0.0,31
UHZ,76,0.0,31
UST,71,0.0,30
UT,192,0.0,257
UTG,239,0.0,348
UTLN,196,0.0,330
UTLR,195,0.0,330
UTO,189,0.0,257
UTT,197,0.0,330
UTVR,193,0.0,330
UTZL,194,0.0,330
VB,249,0.0,415
VD,164,0.0,107
VDL,333,0.0,585
VDM,75,0.0,43
VEM,156,0.0,107
VG,244,0.0,403
VH,250,0.0,365
VHP,145,0.0,41
VK,342,0.0,585
VL,262,0.0,483
VLB,232,0.0,430
VNDC,227,0.0,364
VNDW,226,0.0,364
VP,175,0.0,113
VRY,239,0.0,431
VS,380,0.0,554
VSS,379,0.0,527
VST,247,0.0,450
