Station Code,Distance from UTT,Services from/to UTT,Disruptions on path to UTT
AC,29,0.0,106
AH,63,0.0,73
AHP,64,0.0,330
AHPR,66,0.0,330
AHZ,71,0.0,330
AKL,52,0.0,117
AKM,169,0.0,377
ALM,54,0.0,86
ALMB,60,0.0,217
ALMM,53,0.0,85
ALMO,62,0.0,217
ALMP,56,0.0,217
AMF,26,0.0,73
AMFS,29,0.0,313
AML,123,0.0,379
AMPO,51,0.0,85
AMR,83,0.0,358
AMRI,125,0.0,449
AMRN,84,0.0,433
ANA,113,0.0,444
APD,69,0.0,313
APDM,70,0.0,348
APDO,72,0.0,348
APG,232,0.0,407
APN,30,4.516129032258065,19
ARN,174,0.0,170
ASA,38,0.0,73
ASB,34,0.0,73
ASD,44,0.0,73
ASDL,51,0.0,331
ASDM,40,0.0,110
ASDZ,40,0.0,87
ASHD,33,0.0,233
ASN,170,0.0,327
ASS,48,0.0,331
ASSP,41,0.0,124
ATN,115,0.0,367
AVAT,32,0.0,319
BD,96,0.0,159
BDE,177,0.0,262
BDG,22,4.516129032258065,10
BDM,213,0.0,396
BDPB,96,0.0,287
BET,75,0.0,73
BF,217,0.0,396
BGN,122,0.0,286
BHDV,63,0.0,137
BHV,14,0.0,73
BK,170,0.0,263
BKF,102,0.0,416
BKG,101,0.0,412
BKL,17,0.0,73
BL,154,0.0,327
BLL,66,0.0,368
BMN,85,0.0,333
BMR,107,0.0,365
BN,132,0.0,449
BNC,45,0.0,314
BNK,13,0.0,73
BNN,42,0.0,313
BNZ,47,0.0,330
BP,211,0.0,330
BR,135,0.0,243
BRD,62,0.0,171
BRN,29,0.0,97
BSD,38,0.0,116
BSK,36,0.0,100
BSKS,37,0.0,123
BSMZ,28,0.0,74
BTL,65,0.0,146
BV,73,0.0,352
BZL,154,0.0,317
CAS,71,0.0,355
CK,97,0.0,362
CL,23,36.25806451612903,101
CO,147,0.0,347
CPS,40,0.0,95
CVM,187,0.0,280
DA,134,0.0,449
DB,17,0.0,73
DDN,127,0.0,363
DDR,71,0.0,165
DDRS,74,0.0,282
DDZD,72,0.0,282
DEI,191,0.0,330
DID,82,0.0,330
DL,104,0.0,327
DLD,17,0.0,93
DLN,151,0.0,361
DMN,43,0.0,124
DMNZ,38,0.0,76
DN,107,0.0,215
DR,79,0.0,330
DRH,71,0.0,369
DRON,103,0.0,231
DRP,198,0.0,344
DT,64,0.0,110
DTC,93,0.0,350
DTCH,91,0.0,350
DTCP,64,0.0,165
DV,84,0.0,313
DVC,88,0.0,348
DVD,36,0.0,73
DVN,72,0.0,332
DVNK,48,0.0,117
DWE,204,0.0,330
DZ,236,0.0,425
DZW,235,0.0,425
EC,150,0.0,260
ED,46,0.0,73
EDC,48,0.0,95
EDN,192,0.0,264
EEM,243,0.0,424
EGH,186,0.0,279
EGHM,187,0.0,279
EHS,84,0.0,149
EHV,85,0.0,149
EKZ,105,0.0,424
EML,49,0.0,313
EMN,167,0.0,362
EMNZ,163,0.0,361
ES,140,0.0,415
ESK,136,0.0,415
EST,74,0.0,330
ETN,107,0.0,482
FN,204,0.0,330
FWD,201,0.0,330
GBG,140,0.0,347
GD,27,37.516129032258064,10
GDG,24,37.516129032258064,10
GDM,31,36.25806451612903,73
GDR,98,0.0,367
GERP,196,0.0,380
GK,217,0.0,395
GLN,166,0.0,262
GN,198,0.0,380
GND,66,0.0,137
GNN,202,0.0,395
GO,117,0.0,355
GP,91,0.0,211
GR,57,0.0,135
GS,159,0.0,170
GV,56,0.0,95
GVC,55,36.45161290322581,95
GVM,56,0.0,202
GVMW,57,0.0,110
GW,174,0.0,384
GZ,86,0.0,161
HAD,67,0.0,352
HB,177,0.0,293
HBZM,69,0.0,147
HD,53,0.0,316
HDB,134,0.0,334
HDE,74,0.0,313
HDG,197,0.0,330
HDR,125,0.0,453
HDRZ,124,0.0,453
HFD,56,0.0,161
HGL,132,0.0,396
HGLG,130,0.0,396
HGLO,134,0.0,415
HGV,140,0.0,327
HGZ,209,0.0,403
HIL,63,0.0,117
HK,70,0.0,391
HKS,97,0.0,408
HLG,213,0.0,331
HLGH,214,0.0,335
HLM,63,0.0,331
HLMS,62,0.0,352
HLO,78,0.0,358
HM,98,0.0,211
HMBH,99,0.0,215
HMBV,95,0.0,211
HMH,97,0.0,211
HMN,62,0.0,119
HN,87,0.0,352
HNK,88,0.0,408
HNO,104,0.0,327
HNP,229,0.0,333
HON,103,0.0,348
HOR,17,0.0,73
HR,158,0.0,384
HRL,181,0.0,262
HRLW,183,0.0,279
HRN,192,0.0,380
HRT,125,0.0,243
HT,53,1.032258064516129,73
HTN,13,36.25806451612903,73
HTNC,14,36.25806451612903,101
HTO,54,0.0,146
HVL,32,0.0,313
HVS,23,0.0,73
HVSM,24,0.0,74
HVSP,22,0.0,73
HWD,90,0.0,434
HWZB,55,0.0,352
HZE,96,0.0,217
IJT,212,0.0,331
KBD,141,0.0,170
KBK,78,0.0,349
KLP,39,0.0,73
KMA,62,0.0,365
KMR,189,0.0,279
KMW,234,0.0,338
KPN,107,0.0,327
KPNZ,107,0.0,327
KRD,189,0.0,290
KRG,148,0.0,170
KTR,55,0.0,116
KW,206,0.0,401
KZ,56,0.0,355
LAA,56,0.0,124
LC,104,0.0,348
LDL,44,4.516129032258065,100
LDM,45,0.0,117
LEDN,45,4.516129032258065,107
LG,184,0.0,279
LLS,78,0.0,217
LLZM,40,36.45161290322581,95
LP,224,0.0,407
