Station Code,Distance from EGHM,Services from/to EGHM,Disruptions on path to EGHM
KRD,8,0.0,11
KRG,223,0.0,458
KTR,164,0.0,232
KW,344,0.0,642
KZ,222,0.0,66
LAA,156,0.0,32
LC,200,0.0,478
LDL,171,0.0,42
LDM,170,0.0,228
LEDN,170,0.0,32
LG,3,31.12903225806452,0
LLS,255,0.0,401
LLZM,170,0.0,61
LP,362,0.0,648
LTN,179,0.0,241
LTV,218,0.0,480
LUT,29,0.0,19
LW,325,0.0,568
LWC,328,0.0,585
MAS,189,0.0,257
MDB,253,0.0,485
MES,26,0.0,17
MG,335,0.0,585
MMLH,125,0.0,186
MP,258,0.0,568
MRB,257,0.0,615
MRN,200,0.0,384
MT,32,0.0,17
MTH,345,0.0,644
MTN,29,0.0,31
MTR,33,0.0,19
MZ,81,0.0,68
NDB,206,0.0,258
NH,13,0.0,17
NKK,214,0.0,497
NM,135,0.0,197
NMD,140,0.0,218
NMGO,138,0.0,218
NMH,132,0.0,197
NML,136,0.0,218
NS,242,0.0,497
NSCH,380,0.0,651
NVD,241,0.0,485
NVP,189,0.0,42
NWK,189,0.0,246
O,153,0.0,184
OBD,247,0.0,168
ODB,191,0.0,458
ODZ,239,0.0,545
OMN,253,0.0,575
OP,160,0.0,232
OST,209,0.0,544
OT,131,0.0,111
OTB,158,0.0,475
OVN,201,0.0,42
OW,152,0.0,184
PMO,235,0.0,63
PMR,234,0.0,63
PMW,233,0.0,66
PT,221,0.0,497
RAI,211,0.0,185
RAT,248,0.0,568
RB,213,0.0,489
RD,374,0.0,652
RH,164,0.0,476
RHN,223,0.0,387
RL,205,0.0,480
RLB,181,0.0,188
RM,50,0.0,19
RS,141,0.0,184
RSD,184,0.0,453
RSN,225,0.0,478
RSW,155,0.0,17
RTA,184,0.0,188
RTB,175,0.0,188
RTD,174,0.0,118
RTN,179,0.0,188
RTST,179,0.0,188
RTZ,178,0.0,188
RV,61,0.0,68
RVS,151,0.0,218
SBK,18,0.0,17
SD,202,0.0,281
SDA,363,0.0,642
SDM,170,0.0,118
SDT,195,0.0,258
SDTB,197,0.0,570
SGL,22,0.0,17
SGN,255,0.0,168
SHL,199,0.0,61
SK,347,0.0,585
SKND,346,0.0,585
SM,55,0.0,68
SN,16,0.0,17
SOG,16,0.0,17
SPTN,206,0.0,42
SPTZ,204,0.0,42
SRN,32,0.0,19
SSH,178,0.0,42
ST,201,0.0,281
STD,25,0.0,17
STM,358,0.0,648
STV,376,0.0,593
STZ,200,0.0,281
SWD,347,0.0,636
SWK,272,0.0,618
TB,139,0.0,111
TBG,190,0.0,512
TBR,144,0.0,124
TBU,140,0.0,124
TG,68,0.0,82
TL,168,0.0,227
TPSW,166,0.0,227
TWL,204,0.0,544
UHM,371,0.0,652
UHZ,368,0.0,652
UST,363,0.0,651
UT,182,0.0,184
UTG,218,0.0,62
UTLN,178,0.0,308
UTLR,185,0.0,257
UTO,185,0.0,257
UTT,187,0.0,257
UTVR,181,0.0,308
UTZL,184,0.0,257
VB,158,0.0,61
VD,195,0.0,478
VDL,10,0.0,17
VDM,363,0.0,649
VEM,187,0.0,478
VG,130,0.0,111
VH,178,0.0,42
VHP,251,0.0,615
VK,19,0.0,17
VL,73,0.0,101
VLB,103,0.0,154
VNDC,215,0.0,386
VNDW,214,0.0,386
VP,160,0.0,476
VRY,96,0.0,154
VS,259,0.0,485
VSS,258,0.0,458
VST,165,0.0,35
VSV,197,0.0,512
VTN,189,0.0,262
VZ,244,0.0,614
WAD,191,0.0,117
WADN,192,0.0,117
WADT,190,0.0,117
WC,144,0.0,218
WD,198,0.0,257
WDN,233,0.0,485
WF,162,0.0,218
WFM,360,0.0,651
WH,216,0.0,554
WK,363,0.0,588
WL,179,0.0,495
WM,225,0.0,88
WP,215,0.0,269
WR,390,0.0,660
WS,368,0.0,651
WSM,352,0.0,637
WT,74,0.0,68
WTV,159,0.0,477
WV,285,0.0,568
WW,218,0.0,531
WWW,219,0.0,531
WZ,239,0.0,568
YPB,162,0.0,64
ZA,154,0.0,232
ZB,355,0.0,645
ZBM,147,0.0,184
ZD,220,0.0,63
ZDK,223,0.0,66
ZH,348,0.0,636
ZL,230,0.0,554
ZLSH,235,0.0,568
ZLW,175,0.0,471
ZP,183,0.0,478
ZTM,167,0.0,61
ZTMO,168,0.0,61
ZV,168,0.0,475
ZVB,183,0.0,476
ZVT,207,0.0,42
ZWD,192,0.0,293
ZZS,223,0.0,66
