Station Code,Distance from BLL,Services from/to BLL,Disruptions on path to BLL
AC,37,0.0,309
AH,118,0.0,589
AHP,119,0.0,846
AHPR,121,0.0,846
AHZ,126,0.0,846
AKL,108,0.0,412
AKM,210,0.0,359
ALM,52,0.0,295
ALMB,58,0.0,426
ALMM,51,0.0,302
ALMO,60,0.0,426
ALMP,54,0.0,426
AMF,67,0.0,309
AMFS,70,0.0,549
AML,164,0.0,615
AMPO,49,0.0,302
AMR,32,32.61290322580645,23
AMRI,166,0.0,685
AMRN,33,27.193548387096776,98
ANA,62,0.0,109
APD,110,0.0,549
APDM,111,0.0,584
APDO,113,0.0,584
APG,273,0.0,389
APN,47,0.0,57
ARN,193,0.0,241
ASA,28,0.0,295
ASB,32,0.0,295
ASD,22,35.29032258064516,37
ASDL,21,0.0,58
ASDM,26,0.0,295
ASDZ,34,0.0,295
ASHD,33,0.0,309
ASN,211,0.0,309
ASS,18,35.29032258064516,37
ASSP,27,0.0,295
ATN,170,0.0,883
AVAT,73,0.0,555
BD,120,0.0,236
BDE,228,0.0,84
BDG,55,0.0,138
BDM,254,0.0,378
BDPB,115,0.0,288
BET,131,0.0,368
BF,258,0.0,378
BGN,141,0.0,287
BHDV,107,0.0,294
BHV,70,0.0,368
BK,223,0.0,85
BKF,71,0.0,173
BKG,70,0.0,169
BKL,49,0.0,436
BL,195,0.0,309
BLL,0,0.0,0
BMN,135,0.0,584
BMR,162,0.0,624
BN,173,0.0,685
BNC,86,0.0,550
BNK,69,0.0,368
BNN,83,0.0,549
BNZ,88,0.0,566
BP,252,0.0,566
BR,191,0.0,538
BRD,81,0.0,242
BRN,58,0.0,296
BSD,94,0.0,411
BSK,53,0.0,138
BSKS,54,0.0,161
BSMZ,46,0.0,313
BTL,121,0.0,441
BV,10,35.61290322580645,2
BZL,173,0.0,318
CAS,20,32.61290322580645,20
CK,152,0.0,621
CL,79,0.0,396
CO,188,0.0,329
CPS,78,0.0,246
CVM,202,0.0,83
DA,175,0.0,319
DB,73,0.0,368
DDN,168,0.0,599
DDR,90,0.0,166
DDRS,93,0.0,283
DDZD,91,0.0,283
DEI,232,0.0,566
DID,137,0.0,846
DL,145,0.0,309
DLD,70,0.0,310
DLN,192,0.0,343
DMN,29,0.0,295
DMNZ,32,0.0,335
DN,163,0.0,510
DR,134,0.0,846
DRH,5,35.61290322580645,1
DRON,101,0.0,440
DRP,239,0.0,580
DT,56,0.0,65
DTC,148,0.0,866
DTCH,146,0.0,866
DTCP,57,0.0,166
DV,125,0.0,549
DVC,129,0.0,584
DVD,30,0.0,332
DVN,127,0.0,848
DVNK,35,0.0,50
DWE,245,0.0,566
DZ,277,0.0,407
DZW,276,0.0,407
EC,206,0.0,555
ED,101,0.0,567
EDC,99,0.0,566
EDN,231,0.0,84
EEM,284,0.0,406
EGH,201,0.0,82
EGHM,202,0.0,82
EHS,140,0.0,444
EHV,141,0.0,444
EKZ,74,0.0,181
EML,90,0.0,549
EMN,208,0.0,344
EMNZ,204,0.0,343
ES,181,0.0,651
ESK,177,0.0,651
EST,129,0.0,846
ETN,131,0.0,559
FN,245,0.0,566
FWD,242,0.0,566
GBG,181,0.0,329
GD,65,0.0,161
GDG,68,0.0,246
GDM,87,0.0,368
GDR,153,0.0,883
GERP,237,0.0,362
GK,258,0.0,377
GLN,211,0.0,83
GN,239,0.0,362
GND,104,0.0,284
GNN,243,0.0,377
GO,158,0.0,591
GP,147,0.0,506
GR,113,0.0,430
GS,178,0.0,241
GV,48,0.0,50
GVC,47,0.0,50
GVM,43,0.0,135
GVMW,49,0.0,65
GW,215,0.0,366
GZ,130,0.0,559
HAD,7,0.1612903225806451,0
HB,200,0.0,82
HBZM,101,0.0,284
HD,94,0.0,552
HDB,175,0.0,316
HDE,115,0.0,549
HDG,238,0.0,566
HDR,74,0.0,118
HDRZ,73,0.0,118
HFD,38,0.0,108
HGL,173,0.0,632
HGLG,171,0.0,632
HGLO,175,0.0,651
HGV,181,0.0,309
HGZ,250,0.0,385
HIL,14,0.9032258064516128,0
HK,13,35.61290322580645,20
HKS,66,0.0,165
HLG,254,0.0,567
HLGH,255,0.0,571
HLM,3,42.193548387096776,0
HLMS,4,35.29032258064516,37
HLO,27,32.61290322580645,20
HM,154,0.0,506
HMBH,155,0.0,510
HMBV,151,0.0,506
HMH,153,0.0,506
HMN,118,0.0,414
HN,56,27.193548387096776,109
HNK,57,0.0,165
HNO,145,0.0,309
HNP,270,0.0,569
HON,144,0.0,584
HOR,57,0.0,295
HR,199,0.0,366
HRL,196,0.0,65
HRLW,198,0.0,82
HRN,233,0.0,362
HRT,181,0.0,538
HT,109,0.0,368
HTN,69,0.0,368
HTNC,70,0.0,396
HTO,110,0.0,441
HVL,73,0.0,549
HVS,51,0.0,295
HVSM,50,0.0,346
HVSP,52,0.0,296
HWD,39,27.193548387096776,99
HWZB,11,35.29032258064516,37
HZE,152,0.0,512
IJT,253,0.0,567
KBD,160,0.0,241
KBK,119,0.0,585
KLP,95,0.0,368
KMA,21,0.0,21
KMR,204,0.0,82
KMW,275,0.0,574
KPN,148,0.0,309
KPNZ,118,0.0,441
KRD,204,0.0,93
KRG,167,0.0,241
KTR,111,0.0,411
KW,247,0.0,383
KZ,26,0.0,40
LAA,46,0.0,50
LC,145,0.0,584
LDL,33,0.0,50
LDM,101,0.0,412
LEDN,32,0.7419354838709677,40
LG,199,0.0,82
LLS,76,0.0,426
LLZM,62,0.0,79
LP,265,0.0,389
LTN,93,0.0,566
LTV,163,0.0,586
LUT,219,0.0,84
LW,228,0.0,549
LWC,231,0.0,566
MAS,54,0.0,309
MDB,197,0.0,268
MES,216,0.0,82
MG,238,0.0,566
MMLH,147,0.0,610
MP,161,0.0,309
MRB,167,0.0,316
MRN,81,0.0,400
MT,222,0.0,82
MTH,248,0.0,385
MTN,219,0.0,96
MTR,223,0.0,84
MZ,162,0.0,517
NDB,45,0.0,302
NH,203,0.0,82
NKK,78,0.0,549
NM,137,0.0,589
NMD,142,0.0,610
NMGO,140,0.0,610
NMH,140,0.0,610
NML,136,0.0,860
NS,106,0.0,549
NSCH,283,0.0,392
NVD,165,0.0,318
NVP,43,0.0,108
NWK,74,0.0,246
O,128,0.0,441
OBD,45,27.193548387096776,109
ODB,121,0.0,288
ODZ,184,0.0,651
OMN,156,0.0,316
OP,115,0.0,414
OST,135,0.0,615
OT,130,0.0,484
OTB,114,0.0,589
OVN,5,7.193548387096774,37
OW,127,0.0,441
PMO,39,0.0,40
PMR,38,0.0,58
PMW,37,0.0,40
PT,85,0.0,549
RAI,33,0.0,335
RAT,151,0.0,309
RB,157,0.0,288
RD,277,0.0,393
RH,128,0.0,847
RHN,104,0.0,403
RL,150,0.0,586
RLB,77,0.0,236
RM,193,0.0,506
RS,116,0.0,441
RSD,128,0.0,236
RSN,151,0.0,584
RSW,51,0.0,65
RTA,79,0.0,246
RTB,71,0.0,236
RTD,70,0.0,166
RTN,75,0.0,236
RTST,75,0.0,236
RTZ,74,0.0,236
RV,204,0.0,555
RVS,136,0.0,462
SBK,208,0.0,82
SD,62,0.0,310
SDA,266,0.0,383
SDM,66,0.0,166
SDT,100,0.0,283
SDTB,97,0.0,283
SGL,212,0.0,82
SGN,53,0.0,109
SHL,33,0.0,58
SK,250,0.0,566
SKND,249,0.0,566
SM,198,0.0,555
SN,206,0.0,82
SOG,206,0.0,82
SPTN,4,43.03225806451613,0
SPTZ,2,43.03225806451613,0
SRN,211,0.0,584
SSH,40,0.0,50
ST,63,0.0,310
STD,215,0.0,82
STM,261,0.0,389
STV,279,0.0,574
STZ,64,0.0,310
SWD,250,0.0,377
SWK,175,0.0,359
TB,131,0.0,441
TBG,154,0.0,883
TBR,136,0.0,454
TBU,132,0.0,454
TG,198,0.0,507
TL,99,0.0,411
TPSW,97,0.0,411
TWL,120,0.0,584
UHM,274,0.0,393
UHZ,271,0.0,393
UST,266,0.0,392
UT,61,0.0,295
UTG,16,35.61290322580645,20
UTLN,65,0.0,368
UTLR,64,0.0,368
UTO,64,0.0,368
UTT,66,0.0,368
UTVR,62,0.0,368
UTZL,59,0.0,312
VB,50,0.0,79
VD,140,0.0,584
VDL,200,0.0,82
VDM,266,0.0,390
VEM,124,0.0,586
VG,113,0.0,441
VH,24,0.7419354838709677,0
VHP,173,0.0,319
VK,209,0.0,82
VL,193,0.0,506
VLB,169,0.0,652
VNDC,96,0.0,402
VNDW,95,0.0,402
VP,124,0.0,847
VRY,176,0.0,653
VS,203,0.0,268
VSS,202,0.0,241
VST,37,0.0,135
VSV,161,0.0,883
VTN,68,0.0,373
VZ,170,0.0,685
WAD,57,0.0,161
WADN,56,0.0,161
WADT,58,0.0,161
WC,143,0.0,465
WD,66,0.0,147
WDN,159,0.0,591
WF,110,0.0,589
WFM,263,0.0,392
WH,142,0.0,625
WK,266,0.0,569
WL,143,0.0,866
WM,23,0.0,46
WP,36,0.0,296
WR,293,0.0,401
WS,271,0.0,392
WSM,255,0.0,378
WT,169,0.0,506
WTV,123,0.0,848
WV,188,0.0,309
WW,173,0.0,598
WWW,172,0.0,598
WZ,124,0.0,562
YPB,54,0.0,82
ZA,121,0.0,414
ZB,258,0.0,386
ZBM,96,0.0,411
ZD,24,0.0,37
ZDK,27,0.0,40
ZH,251,0.0,377
ZL,133,0.0,295
ZLSH,138,0.0,309
ZLW,105,0.0,283
ZP,128,0.0,584
ZTM,59,0.0,79
ZTMO,60,0.0,79
ZV,132,0.0,846
ZVB,113,0.0,288
ZVT,11,7.193548387096774,37
ZWD,88,0.0,341
ZZS,26,0.0,56
