Station Code,Distance from BKL,Services from/to BKL,Disruptions on path to BKL
AC,12,47.483870967741936,0
AH,70,0.0,73
AHP,71,0.0,330
AHPR,73,0.0,330
AHZ,78,0.0,330
AKL,59,0.0,117
AKM,176,0.0,377
ALM,44,0.0,144
ALMB,50,0.0,275
ALMM,43,0.0,133
ALMO,52,0.0,275
ALMP,46,0.0,275
AMF,33,0.0,73
AMFS,36,0.0,313
AML,130,0.0,379
AMPO,41,0.0,133
AMR,66,2.870967741935484,426
AMRI,132,0.0,449
AMRN,67,0.0,501
ANA,96,0.0,512
APD,76,0.0,313
APDM,77,0.0,348
APDO,79,0.0,348
APG,239,0.0,407
APN,38,0.0,10
ARN,182,0.0,161
ASA,21,47.38709677419355,141
ASB,17,47.483870967741936,127
ASD,27,47.38709677419355,141
ASDL,34,0.0,399
ASDM,23,47.354838709677416,127
ASDZ,23,0.0,141
ASHD,16,47.483870967741936,127
ASN,177,0.0,327
ASS,31,43.45161290322581,399
ASSP,24,0.0,141
ATN,122,0.0,367
AVAT,39,0.0,319
BD,103,0.0,86
BDE,184,0.0,167
BDG,30,0.0,1
BDM,220,0.0,396
BDPB,104,0.0,278
BET,82,0.0,73
BF,224,0.0,396
BGN,130,0.0,277
BHDV,70,0.0,137
BHV,21,0.0,73
BK,177,0.0,168
BKF,85,0.0,484
BKG,84,0.0,480
BKL,0,0.0,0
BL,161,0.0,327
BLL,49,0.0,436
BMN,92,0.0,333
BMR,114,0.0,365
BN,139,0.0,449
BNC,52,0.0,314
BNK,20,41.0,73
BNN,49,0.0,313
BNZ,54,0.0,330
BP,218,0.0,330
BR,142,0.0,148
BRD,70,0.0,162
BRN,36,0.0,97
BSD,45,0.0,116
BSK,44,0.0,91
BSKS,45,0.0,114
BSMZ,35,0.0,74
BTL,72,0.0,73
BV,56,0.0,420
BZL,162,0.0,308
CAS,54,2.870967741935484,423
CK,104,0.0,362
CL,30,0.0,101
CO,154,0.0,347
CPS,48,36.483870967741936,86
CVM,194,0.0,185
DA,141,0.0,449
DB,24,41.0,73
DDN,134,0.0,363
DDR,79,0.0,156
DDRS,82,0.0,273
DDZD,80,0.0,273
DEI,198,0.0,330
DID,89,0.0,330
DL,111,0.0,327
DLD,24,0.0,93
DLN,158,0.0,361
DMN,26,0.0,141
DMNZ,21,0.0,144
DN,114,0.0,120
DR,86,0.0,330
DRH,54,0.0,437
DRON,93,0.0,289
DRP,205,0.0,344
DT,72,0.0,101
DTC,100,0.0,350
DTCH,98,0.0,350
DTCP,72,0.0,156
DV,91,0.0,313
DVC,95,0.0,348
DVD,19,47.354838709677416,141
DVN,79,0.0,332
DVNK,56,0.0,108
DWE,211,0.0,330
DZ,243,0.0,425
DZW,242,0.0,425
EC,157,0.0,165
ED,53,0.0,73
EDC,55,0.0,95
EDN,199,0.0,169
EEM,250,0.0,424
EGH,193,0.0,184
EGHM,194,0.0,184
EHS,91,0.0,149
EHV,92,0.0,73
EKZ,88,0.0,492
EML,56,0.0,313
EMN,174,0.0,362
EMNZ,170,0.0,361
ES,147,0.0,415
ESK,143,0.0,415
EST,81,0.0,330
ETN,114,0.0,409
FN,211,0.0,330
FWD,208,0.0,330
GBG,147,0.0,347
GD,35,36.483870967741936,1
GDG,32,36.483870967741936,1
GDM,38,0.0,73
GDR,105,0.0,367
GERP,203,0.0,380
GK,224,0.0,395
GLN,173,0.0,167
GN,205,0.0,380
GND,73,0.0,137
GNN,209,0.0,395
GO,124,0.0,355
GP,98,0.0,135
GR,64,0.0,135
GS,167,0.0,161
GV,64,0.0,86
GVC,63,0.0,86
GVM,64,0.0,193
GVMW,65,0.0,101
GW,181,0.0,384
GZ,93,0.0,88
HAD,50,0.0,420
HB,184,0.0,198
HBZM,76,0.0,147
HD,60,0.0,316
HDB,141,0.0,334
HDE,81,0.0,313
HDG,204,0.0,330
HDR,108,0.0,521
HDRZ,107,0.0,521
HFD,39,0.0,215
HGL,139,0.0,396
HGLG,137,0.0,396
HGLO,141,0.0,415
HGV,147,0.0,327
HGZ,216,0.0,403
HIL,57,0.0,420
HK,53,0.0,459
HKS,80,0.0,476
HLG,220,0.0,331
HLGH,221,0.0,335
HLM,46,0.0,399
HLMS,45,0.0,420
HLO,61,2.838709677419355,426
HM,105,0.0,116
HMBH,106,0.0,120
HMBV,102,0.0,135
HMH,104,0.0,135
HMN,69,0.0,119
HN,70,0.0,420
HNK,71,0.0,476
HNO,111,0.0,327
HNP,236,0.0,333
HON,110,0.0,348
HOR,24,0.0,73
HR,165,0.0,384
HRL,188,0.0,167
HRLW,190,0.0,184
HRN,199,0.0,380
HRT,132,0.0,148
HT,60,0.0,0
HTN,20,0.0,73
HTNC,21,0.0,101
HTO,61,0.0,73
HVL,39,0.0,313
HVS,30,0.0,73
HVSM,31,0.0,74
HVSP,29,0.0,73
HWD,73,0.0,502
HWZB,38,0.0,420
HZE,103,0.0,141
IJT,219,0.0,331
KBD,149,0.0,161
KBK,85,0.0,349
KLP,46,0.0,73
KMA,45,43.41935483870968,433
KMR,196,0.0,184
KMW,241,0.0,338
KPN,114,0.0,327
KPNZ,110,0.0,290
KRD,196,0.0,195
KRG,156,0.0,161
KTR,62,0.0,116
KW,213,0.0,401
KZ,39,43.41935483870968,423
LAA,64,0.0,115
LC,111,0.0,348
LDL,52,0.0,91
LDM,52,0.0,117
LEDN,53,0.0,98
LG,191,0.0,184
LLS,68,0.0,275
LLZM,48,0.0,86
LP,231,0.0,407
LTN,59,0.0,330
LTV,129,0.0,350
LUT,173,0.0,167
LW,194,0.0,313
LWC,197,0.0,330
MAS,5,46.193548387096776,0
MDB,186,0.0,188
MES,196,0.0,169
MG,204,0.0,330
MMLH,99,0.0,351
MP,127,0.0,327
MRB,133,0.0,334
MRN,32,35.96774193548387,105
MT,190,0.0,167
MTH,214,0.0,403
MTN,193,0.0,169
MTR,191,0.0,169
MZ,113,0.0,146
NDB,36,0.0,74
NH,181,0.0,198
NKK,44,0.0,313
NM,89,0.0,330
NMD,94,0.0,351
NMGO,92,0.0,351
NMH,92,0.0,351
NML,88,0.0,344
NS,72,0.0,313
NSCH,249,0.0,410
NVD,131,0.0,336
NVP,44,0.0,343
NWK,44,36.483870967741936,86
O,79,0.0,73
OBD,79,0.0,420
ODB,110,0.0,278
ODZ,150,0.0,415
OMN,122,0.0,334
OP,66,0.0,119
OST,101,0.0,379
OT,81,0.0,116
OTB,66,0.0,95
OVN,48,0.0,436
OW,78,0.0,73
PMO,52,0.0,399
PMR,51,0.0,420
PMW,50,0.0,423
PT,51,0.0,313
RAI,22,0.0,144
RAT,117,0.0,327
RB,146,0.0,278
RD,243,0.0,411
RH,80,0.0,331
RHN,55,35.96774193548387,108
RL,116,0.0,350
RLB,66,0.0,156
RM,144,0.0,116
RS,67,0.0,73
RSD,117,0.0,156
RSN,117,0.0,348
RSW,67,0.0,101
RTA,49,36.483870967741936,86
RTB,60,0.0,156
RTD,59,36.483870967741936,86
RTN,54,36.483870967741936,88
RTST,64,0.0,156
RTZ,63,0.0,156
RV,155,0.0,165
RVS,87,0.0,94
SBK,176,0.0,197
SD,32,0.0,97
SDA,232,0.0,401
SDM,63,0.0,156
SDT,77,0.0,147
SDTB,80,0.0,148
SGL,200,0.0,183
SGN,87,0.0,512
SHL,34,0.0,141
SK,216,0.0,330
SKND,215,0.0,330
SM,149,0.0,165
SN,178,0.0,198
SOG,198,0.0,184
SPTN,53,0.0,436
SPTZ,51,0.0,436
SRN,162,0.0,194
SSH,55,0.0,343
ST,31,0.0,97
STD,169,0.0,165
STM,227,0.0,407
STV,245,0.0,338
STZ,30,0.0,97
SWD,216,0.0,395
SWK,141,0.0,377
TB,82,0.0,73
TBG,106,0.0,367
TBR,87,0.0,86
TBU,83,0.0,86
TG,149,0.0,74
TL,50,0.0,116
TPSW,48,0.0,116
TWL,86,0.0,348
UHM,240,0.0,411
UHZ,237,0.0,411
UST,232,0.0,410
UT,12,46.2258064516129,0
UTG,50,43.41935483870968,458
UTLN,16,0.0,73
UTLR,15,0.0,73
UTO,15,0.0,73
UTT,17,0.0,73
UTVR,13,41.0,73
UTZL,10,46.193548387096776,3
VB,60,0.0,86
VD,106,0.0,348
VDL,192,0.0,184
VDM,232,0.0,408
VEM,90,0.0,350
VG,64,0.0,73
VH,61,0.0,108
VHP,139,0.0,337
VK,201,0.0,184
VL,144,0.0,73
VLB,121,0.0,393
VNDC,47,35.96774193548387,107
VNDW,46,35.96774193548387,107
VP,76,0.0,331
VRY,128,0.0,394
VS,192,0.0,188
VSS,191,0.0,161
VST,58,0.0,193
VSV,113,0.0,367
VTN,19,0.0,78
VZ,136,0.0,449
WAD,43,0.0,86
WADN,44,0.0,86
WADT,42,0.0,86
WC,94,0.0,97
WD,19,36.483870967741936,0
WDN,125,0.0,355
WF,62,0.0,95
WFM,229,0.0,410
WH,108,0.0,389
WK,232,0.0,333
WL,95,0.0,350
WM,43,43.41935483870968,423
WP,28,0.0,127
WR,259,0.0,419
WS,237,0.0,410
WSM,221,0.0,396
WT,120,0.0,116
WTV,75,0.0,332
WV,154,0.0,327
WW,134,0.0,386
WWW,135,0.0,386
WZ,90,0.0,326
YPB,56,0.0,89
ZA,72,0.0,119
ZB,224,0.0,404
ZBM,47,0.0,116
ZD,37,43.45161290322581,420
ZDK,40,0.0,423
ZH,217,0.0,395
ZL,99,0.0,313
ZLSH,104,0.0,327
ZLW,94,0.0,273
ZP,94,0.0,348
ZTM,51,0.0,86
ZTMO,50,0.0,86
ZV,84,0.0,330
ZVB,102,0.0,278
ZVT,54,0.0,436
ZWD,77,0.0,261
ZZS,40,43.41935483870968,423
