Station Code,Distance from BMR,Services from/to BMR,Disruptions on path to BMR
AC,126,0.0,401
AH,44,0.0,35
AHP,45,0.0,292
AHPR,47,0.0,294
AHZ,36,0.0,49
AKL,99,0.0,96
AKM,197,0.0,435
ALM,142,0.0,585
ALMB,148,0.0,716
ALMM,141,0.0,584
ALMO,150,0.0,716
ALMP,144,0.0,716
AMF,95,0.0,332
AMFS,98,0.0,572
AML,128,0.0,361
AMPO,139,0.0,584
AMR,179,0.0,858
AMRI,130,0.0,431
AMRN,180,0.0,933
ANA,209,0.0,944
APD,91,0.0,295
APDM,90,0.0,296
APDO,94,0.0,330
APG,260,0.0,465
APN,137,0.0,375
ARN,200,0.0,501
ASA,135,0.0,365
ASB,131,0.0,365
ASD,140,0.0,573
ASDL,147,0.0,852
ASDM,136,0.0,591
ASDZ,137,0.0,368
ASHD,132,0.0,379
ASN,198,0.0,385
ASS,144,0.0,831
ASSP,135,0.0,591
ATN,96,0.0,329
AVAT,101,0.0,578
BD,111,0.0,142
BDE,100,0.0,139
BDG,129,0.0,366
BDM,241,0.0,454
BDPB,116,0.0,465
BET,90,0.0,172
BF,245,0.0,454
BGN,148,0.0,470
BHDV,110,0.0,116
BHV,107,0.0,576
BK,93,0.0,139
BKF,198,0.0,916
BKG,197,0.0,912
BKL,114,0.0,368
BL,182,0.0,390
BLL,162,0.0,868
BMN,66,0.0,295
BMR,0,0.0,0
BN,123,0.0,362
BNC,76,0.0,315
BNK,94,0.0,346
BNN,79,0.0,331
BNZ,74,0.0,315
BP,239,0.0,402
BR,35,39.0,1
BRD,136,0.0,246
BRN,104,0.0,572
BSD,85,0.0,95
BSK,143,0.0,456
BSKS,144,0.0,479
BSMZ,116,0.0,573
BTL,80,0.0,129
BV,169,0.0,891
BZL,180,0.0,501
CAS,167,0.0,855
CK,10,47.193548387096776,0
CL,86,0.0,95
CO,168,0.0,448
CPS,147,0.0,450
CVM,110,0.0,156
DA,139,0.0,431
DB,90,0.0,314
DDN,113,0.0,310
DDR,127,0.0,129
DDRS,124,0.0,127
DDZD,128,0.0,246
DEI,219,0.0,402
DID,63,0.0,292
DL,132,0.0,385
DLD,104,0.0,572
DLN,172,0.0,462
DMN,133,0.0,590
DMNZ,133,0.0,590
DN,63,0.0,53
DR,60,0.0,292
DRH,167,0.0,887
DRON,152,0.0,385
DRP,226,0.0,416
DT,161,0.0,316
DTC,74,0.0,312
DTCH,72,0.0,312
DTCP,160,0.0,316
DV,89,0.0,295
DVC,93,0.0,361
DVD,133,0.0,365
DVN,53,0.0,294
DVNK,155,0.0,473
DWE,232,0.0,402
DZ,264,0.0,483
DZW,263,0.0,483
EC,73,0.0,136
ED,61,0.0,292
EDC,63,0.0,314
EDN,115,0.0,140
EEM,271,0.0,482
EGH,109,0.0,155
EGHM,110,0.0,155
EHS,86,0.0,147
EHV,85,0.0,85
EKZ,201,0.0,924
EML,118,0.0,575
EMN,188,0.0,463
EMNZ,184,0.0,462
ES,126,0.0,362
ESK,122,0.0,362
EST,33,0.0,35
ETN,122,0.0,465
FN,232,0.0,402
FWD,229,0.0,402
GBG,161,0.0,448
GD,134,0.0,365
GDG,131,0.0,365
GDM,78,0.0,52
GDR,79,0.0,329
GERP,224,0.0,438
GK,245,0.0,453
GLN,89,0.0,138
GN,226,0.0,438
GND,113,0.0,116
GNN,230,0.0,453
GO,103,0.0,302
GP,91,0.0,147
GR,104,0.0,114
GS,185,0.0,501
GV,163,0.0,450
GVC,162,0.0,450
GVM,163,0.0,558
GVMW,164,0.0,465
GW,202,0.0,442
GZ,101,0.0,144
HAD,163,0.0,868
HB,100,0.0,169
HBZM,116,0.0,126
HD,122,0.0,575
HDB,155,0.0,435
HDE,138,0.0,385
HDG,225,0.0,402
HDR,221,0.0,953
HDRZ,220,0.0,953
HFD,153,0.0,429
HGL,118,0.0,343
HGLG,116,0.0,343
HGLO,120,0.0,362
HGV,168,0.0,385
HGZ,237,0.0,461
HIL,170,0.0,473
HK,166,0.0,891
HKS,193,0.0,908
HLG,241,0.0,403
HLGH,242,0.0,407
HLM,159,0.0,831
HLMS,158,0.0,852
HLO,174,0.0,858
HM,72,0.0,81
HMBH,71,0.0,81
HMBV,75,0.0,85
HMH,73,0.0,85
HMN,47,0.0,49
HN,183,0.0,852
HNK,184,0.0,908
HNO,132,0.0,385
HNP,257,0.0,405
HON,108,0.0,361
HOR,114,0.0,365
HR,186,0.0,385
HRL,104,0.0,138
HRLW,106,0.0,155
HRN,220,0.0,438
HRT,45,0.0,53
HT,68,0.0,56
HTN,96,0.0,148
HTNC,95,0.0,148
HTO,67,0.0,56
HVL,89,0.0,332
HVS,111,0.0,572
HVSM,112,0.0,573
HVSP,112,0.0,573
HWD,186,0.0,934
HWZB,151,0.0,852
HZE,96,0.0,153
IJT,240,0.0,403
KBD,167,0.0,501
KBK,82,0.0,295
KLP,68,0.0,314
KMA,158,0.0,865
KMR,112,0.0,155
KMW,262,0.0,410
KPN,135,0.0,385
KPNZ,135,0.0,385
KRD,112,0.0,166
KRG,174,0.0,501
KTR,54,0.0,49
KW,234,0.0,459
KZ,152,0.0,855
LAA,163,0.0,479
LC,90,0.0,295
LDL,151,0.0,456
LDM,92,0.0,96
LEDN,152,0.0,463
LG,107,0.0,155
LLS,166,0.0,716
LLZM,147,0.0,450
LP,252,0.0,465
LTN,69,0.0,315
LTV,108,0.0,297
LUT,89,0.0,138
LW,215,0.0,385
LWC,218,0.0,402
MAS,109,0.0,365
MDB,204,0.0,501
MES,112,0.0,140
MG,225,0.0,402
MMLH,15,47.193548387096776,3
MP,148,0.0,385
MRB,147,0.0,432
MRN,98,0.0,346
MT,106,0.0,138
MTH,235,0.0,461
MTN,109,0.0,140
MTR,107,0.0,140
MZ,91,0.0,136
NDB,117,0.0,573
NH,97,0.0,169
NKK,106,0.0,572
NM,25,47.193548387096776,14
NMD,30,0.0,35
NMGO,28,0.0,35
NMH,22,47.193548387096776,14
NML,26,0.0,35
NS,134,0.0,572
NSCH,270,0.0,468
NVD,131,0.0,368
NVP,158,0.0,557
NWK,143,0.0,450
O,49,0.0,35
OBD,192,0.0,944
ODB,142,0.0,470
ODZ,129,0.0,362
OMN,143,0.0,392
OP,50,0.0,49
OST,99,0.0,361
OT,89,0.0,172
OTB,48,0.0,292
OVN,161,0.0,868
OW,50,0.0,56
PMO,165,0.0,853
PMR,164,0.0,852
PMW,163,0.0,855
PT,113,0.0,575
RAI,136,0.0,368
RAT,138,0.0,385
RB,164,0.0,501
RD,264,0.0,469
RH,54,0.0,295
RHN,121,0.0,349
RL,95,0.0,297
RLB,140,0.0,345
RM,60,34.354838709677416,87
RS,61,0.0,56
RSD,135,0.0,465
RSN,115,0.0,361
RSW,166,0.0,465
RTA,148,0.0,450
RTB,146,0.0,246
RTD,147,0.0,246
RTN,152,0.0,316
RTST,142,0.0,351
RTZ,143,0.0,351
RV,49,34.354838709677416,73
RVS,41,0.0,35
SBK,92,0.0,168
SD,108,0.0,586
SDA,253,0.0,459
SDM,151,0.0,316
SDT,117,0.0,126
SDTB,120,0.0,127
SGL,116,0.0,154
SGN,200,0.0,944
SHL,148,0.0,379
SK,237,0.0,402
SKND,236,0.0,402
SM,55,34.354838709677416,87
SN,94,0.0,169
SOG,114,0.0,155
SPTN,166,0.0,886
SPTZ,164,0.0,886
SRN,78,0.0,165
SSH,160,0.0,473
ST,109,0.0,586
STD,85,0.0,136
STM,248,0.0,465
STV,266,0.0,410
STZ,110,0.0,576
SWD,237,0.0,453
SWK,162,0.0,435
TB,90,0.0,129
TBG,80,0.0,329
TBR,95,0.0,142
TBU,91,0.0,142
TG,42,34.354838709677416,54
TL,66,0.0,52
TPSW,68,0.0,52
TWL,94,0.0,361
UHM,261,0.0,469
UHZ,258,0.0,469
UST,253,0.0,468
UT,102,0.0,292
UTG,163,0.0,890
UTLN,100,0.0,176
UTLR,105,0.0,365
UTO,105,0.0,365
UTT,107,0.0,365
UTVR,101,0.0,390
UTZL,104,0.0,365
VB,159,0.0,450
VD,85,0.0,295
VDL,108,0.0,155
VDM,253,0.0,466
VEM,77,0.0,295
VG,72,0.0,129
VH,160,0.0,473
VHP,141,0.0,432
VK,117,0.0,155
VL,37,38.45161290322581,53
VLB,7,47.2258064516129,0
VNDC,113,0.0,348
VNDW,112,0.0,348
VP,50,0.0,295
VRY,14,47.2258064516129,1
VS,210,0.0,503
VSS,209,0.0,503
VST,157,0.0,558
VSV,87,0.0,329
VTN,109,0.0,370
VZ,134,0.0,431
WAD,142,0.0,450
WADN,143,0.0,450
WADT,141,0.0,450
WC,34,0.0,35
WD,118,0.0,365
WDN,123,0.0,368
WF,52,0.0,292
WFM,250,0.0,468
WH,106,0.0,371
WK,253,0.0,405
WL,69,0.0,312
WM,156,0.0,855
WP,126,0.0,584
WR,280,0.0,477
WS,258,0.0,468
WSM,242,0.0,454
WT,84,0.0,136
WTV,49,0.0,294
WV,175,0.0,385
WW,108,0.0,348
WWW,109,0.0,348
WZ,129,0.0,385
YPB,155,0.0,450
ZA,44,0.0,49
ZB,245,0.0,462
ZBM,81,0.0,129
ZD,150,0.0,852
ZDK,153,0.0,855
ZH,238,0.0,453
ZL,120,0.0,371
ZLSH,125,0.0,385
ZLW,126,0.0,483
ZP,73,0.0,295
ZTM,150,0.0,450
ZTMO,149,0.0,450
ZV,58,0.0,292
ZVB,134,0.0,488
ZVT,167,0.0,869
ZWD,129,0.0,246
ZZS,153,0.0,855
