Station Code,distance_GP,services_per_day_GP,n_of_disruptions_GP
AC,110,0,244
AH,100,0,177
AHP,101,0,434
AHPR,103,0,436
AHZ,92,0,191
AKL,81,0,179
AKM,250,0,512
ALM,135,0,221
ALMB,141,0,352
ALMM,134,0,220
ALMO,143,0,352
ALMP,137,0,352
AMF,107,0,208
AMFS,110,0,448
AML,184,0,503
AMPO,132,0,220
AMR,164,0,493
AMRI,186,0,573
AMRN,165,0,568
ANA,194,0,579
APD,147,0,437
APDM,146,0,438
APDO,150,0,472
APG,313,0,542
APN,121,0,218
ARN,153,0,421
ASA,119,0,208
ASB,115,0,208
ASD,125,0,208
ASDL,132,0,487
ASDM,121,0,245
ASDZ,121,0,211
ASHD,116,0,222
ASN,251,0,462
ASS,129,0,466
ASSP,122,0,259
ATN,152,0,471
AVAT,113,0,454
BD,64,0,62
BDE,86,0,59
BDG,113,0,209
BDM,294,0,531
BDPB,69,0,385
BET,16,27.580645161290324,62
BF,298,0,531
BGN,101,0,390
BHDV,92,0,199
BHV,95,0,208
BK,79,0,59
BKF,183,0,551
BKG,182,0,547
BKL,98,0,211
BL,235,0,467
BLL,147,0,503
BMN,122,0,437
BMR,91,0,147
BN,179,0,504
BNC,126,0,449
BNK,92,0,259
BNN,123,0,448
BNZ,128,0,465
BP,292,0,479
BR,56,0,94
BRD,103,0,502
BRN,110,0,232
BSD,67,0,178
BSK,127,0,299
BSKS,128,0,322
BSMZ,109,0,209
BTL,26,27.580645161290324,138
BV,154,0,526
BZL,133,0,421
CAS,152,0,490
CK,96,0,188
CL,68,0,178
CO,224,0,590
CPS,125,0,457
CVM,96,0,76
DA,195,0,573
DB,96,0,303
DDN,169,0,452
DDR,94,0,385
DDRS,97,0,502
DDZD,93,0,408
DEI,272,0,479
DID,119,0,434
DL,185,0,462
DLD,98,0,228
DLN,228,0,604
DMN,124,0,259
DMNZ,119,0,211
DN,28,0,66
DR,116,0,434
DRH,152,0,522
DRON,184,0,366
DRP,279,0,493
DT,128,0,455
DTC,130,0,454
DTCH,128,0,454
DTCP,127,0,455
DV,145,0,437
DVC,149,0,503
DVD,117,0,208
DVN,109,0,436
DVNK,139,0,316
DWE,285,0,479
DZ,317,0,560
DZW,316,0,560
EC,59,0,56
ED,117,0,434
EDC,119,0,456
EDN,101,0,60
EEM,324,0,559
EGH,95,0,75
EGHM,96,0,75
EHS,7,27.580645161290324,62
EHV,6,29.129032258064516,0
EKZ,186,0,559
EML,130,0,451
EMN,244,0,605
EMNZ,240,0,604
ES,182,0,504
ESK,178,0,504
EST,89,0,177
ETN,75,0,385
FN,285,0,479
FWD,282,0,479
GBG,217,0,590
GD,118,0,208
GDG,115,0,208
GDM,60,0,135
GDR,135,0,471
GERP,277,0,515
GK,298,0,530
GLN,75,0,58
GN,279,0,515
GND,95,0,199
GNN,283,0,530
GO,159,0,444
GP,0,0,0
GR,86,0,197
GS,138,0,421
GV,136,0,556
GVC,137,0,571
GVM,141,0,571
GVMW,135,0,556
GW,255,0,519
GZ,54,0,77
HAD,148,0,503
HB,86,0,89
HBZM,98,0,209
HD,134,0,451
HDB,211,0,577
HDE,155,0,448
HDG,278,0,479
HDR,206,0,588
HDRZ,205,0,588
HFD,137,0,272
HGL,174,0,485
HGLG,172,0,485
HGLO,176,0,504
HGV,221,0,462
HGZ,290,0,538
HIL,154,0,316
HK,151,0,526
HKS,178,0,543
HLG,294,0,480
HLGH,295,0,484
HLM,144,0,466
HLMS,143,0,487
HLO,159,0,493
HM,19,0,62
HMBH,20,0,66
HMBV,16,0,62
HMH,18,0,62
HMN,91,0,181
HN,168,0,487
HNK,169,0,543
HNO,185,0,462
HNP,310,0,482
HON,164,0,503
HOR,98,0,208
HR,239,0,462
HRL,90,0,58
HRLW,92,0,75
HRN,273,0,515
HRT,46,0,94
HT,38,0,62
HTN,78,0,231
HTNC,77,0,231
HTO,39,0,135
HVL,113,0,448
HVS,104,0,208
HVSM,105,0,209
HVSP,103,0,208
HWD,171,0,569
HWZB,136,0,487
HZE,5,29.516129032258064,0
IJT,293,0,480
KBD,120,0,421
KBK,138,0,437
KLP,118,0,335
KMA,143,0,500
KMR,98,0,75
KMW,315,0,487
KPN,188,0,462
KPNZ,188,0,462
KRD,98,0,86
KRG,127,0,421
KTR,84,0,178
KW,287,0,536
KZ,137,0,490
LAA,138,0,571
LC,146,0,437
LDL,135,0,299
LDM,74,0,179
LEDN,136,0,306
LG,93,0,75
LLS,159,0,352
LLZM,131,0,293
LP,305,0,542
LTN,125,0,457
LTV,164,0,439
LUT,75,0,58
LW,268,0,462
