Station Code,Distance from KPNZ,Services from/to KPNZ,Disruptions on path to KPNZ
AC,98,0.0,153
AH,91,0.0,93
AHP,90,0.0,97
AHPR,88,0.0,96
AHZ,99,0.0,350
AKL,149,0.0,371
AKM,92,0.0,64
ALM,66,35.096774193548384,15
ALMB,60,35.096774193548384,15
ALMM,67,35.096774193548384,146
ALMO,58,35.096774193548384,15
ALMP,64,35.096774193548384,20
AMF,81,0.0,14
AMFS,78,0.0,14
AML,60,0.0,35
AMPO,69,35.096774193548384,147
AMR,135,0.0,431
AMRI,62,0.0,105
AMRN,136,0.0,506
ANA,165,0.0,517
APD,61,0.0,14
APDM,62,0.0,49
APDO,58,0.0,90
APG,155,0.0,94
APN,137,0.0,264
ARN,280,0.0,524
ASA,93,0.0,149
ASB,93,0.0,149
ASD,96,35.096774193548384,146
ASDL,103,31.90322580645161,404
ASDM,92,35.096774193548384,154
ASDZ,95,0.0,146
ASHD,94,0.0,163
ASN,93,0.2903225806451613,14
ASS,100,31.90322580645161,404
ASSP,91,35.096774193548384,154
ATN,119,0.0,104
AVAT,75,0.0,20
BD,193,0.0,413
BDE,235,0.0,551
BDG,129,0.0,255
BDM,136,0.0,83
BDPB,198,0.0,736
BET,172,0.0,327
BF,140,0.0,83
BGN,228,0.0,523
BHDV,160,0.0,391
BHV,93,0.0,258
BK,228,0.0,552
BKF,154,0.0,489
BKG,153,0.0,485
BKL,110,0.0,280
BL,77,0.2903225806451613,14
BLL,118,0.0,441
BMN,69,0.0,90
BMR,135,0.0,385
BN,69,0.0,105
BNC,100,0.0,255
BNK,110,0.0,327
BNN,97,0.0,254
BNZ,102,0.0,271
BP,134,0.0,31
BR,170,0.0,414
BRD,169,0.0,488
BRN,90,0.0,254
BSD,135,0.0,370
BSK,143,0.0,345
BSKS,144,0.0,368
BSMZ,92,0.0,158
BTL,162,0.0,400
BV,125,0.0,425
BZL,260,0.0,554
CAS,123,0.0,428
CK,125,0.0,382
CL,120,0.0,355
CO,70,0.0,34
CPS,147,0.0,412
CVM,245,0.0,569
DA,57,0.0,24
DB,114,0.0,327
DDN,79,0.0,124
DDR,177,0.0,402
DDRS,174,0.0,402
DDZD,178,0.0,519
DEI,114,0.0,31
DID,108,0.0,102
DL,27,0.0,14
DLD,90,0.0,254
DLN,74,0.0,48
DMN,89,35.096774193548384,153
DMNZ,89,0.0,153
DN,198,0.0,466
DR,75,0.0,90
DRH,123,0.0,442
DRON,17,36.935483870967744,0
DRP,121,0.0,45
DT,159,0.0,363
DTC,119,0.0,122
DTCH,117,0.0,122
DTCP,160,0.0,464
DV,46,0.0,24
DVC,50,0.0,90
DVD,91,0.0,146
DVN,98,0.0,99
DVNK,138,15.419354838709678,358
DWE,127,0.0,31
DZ,159,0.0,112
DZW,158,0.0,112
EC,208,0.0,549
ED,108,0.0,350
EDC,110,0.0,372
EDN,250,0.0,553
EEM,166,0.0,111
EGH,244,0.0,568
EGHM,245,0.0,568
EHS,181,0.0,403
EHV,182,0.0,403
EKZ,157,0.0,497
EML,58,0.0,17
EMN,90,0.0,49
EMNZ,86,0.0,48
ES,82,0.0,124
ESK,78,0.0,124
EST,102,0.0,350
ETN,204,0.0,736
FN,127,0.0,31
FWD,124,0.0,31
GBG,63,0.0,34
GD,134,0.0,327
GDG,131,0.0,327
GDM,128,0.0,327
GDR,124,0.0,139
GERP,119,0.2903225806451613,67
GK,140,0.0,82
GLN,224,0.0,551
GN,121,0.2903225806451613,67
GND,163,0.0,391
GNN,125,0.0,82
GO,89,0.0,157
GP,188,0.0,465
GR,154,0.0,389
GS,265,0.0,524
GV,151,0.0,348
GVC,150,15.419354838709678,348
GVM,146,15.419354838709678,443
GVMW,152,0.0,363
GW,97,0.0,71
GZ,183,0.0,415
HAD,119,0.0,425
HB,235,0.0,582
HBZM,166,0.0,401
HD,54,0.0,14
HDB,57,0.0,21
HDE,33,0.0,14
HDG,120,0.0,31
HDR,177,0.0,526
HDRZ,176,0.0,526
HFD,111,31.90322580645161,220
HGL,74,0.0,105
HGLG,76,0.0,124
HGLO,76,0.0,124
HGV,63,0.2903225806451613,14
HGZ,132,0.0,90
HIL,126,0.0,425
HK,122,0.0,464
HKS,149,0.0,481
HLG,136,0.0,32
HLGH,137,0.0,36
HLM,115,0.0,404
HLMS,114,0.0,425
HLO,130,0.0,431
