Station Code,distance_DDN,services_per_day_DDN,n_of_disruptions_DDN
AC,146,0,399
AH,69,0,18
AHP,68,0,22
AHPR,66,0,21
AHZ,77,0,275
AKL,146,0,336
AKM,141,0,165
ALM,145,0,126
ALMB,139,0,126
ALMM,146,0,257
ALMO,137,0,115
ALMP,143,0,131
AMF,101,0,50
AMFS,104,0,290
AML,19,0,19
AMPO,145,0,302
AMR,185,0,576
AMRI,17,0,20
AMRN,186,0,651
ANA,215,0,662
APD,58,0,15
APDM,57,0,16
APDO,61,0,50
APG,204,0,195
APN,157,0,300
ARN,263,0,762
ASA,143,0,294
ASB,143,0,294
ASD,146,0,291
ASDL,153,0,570
ASDM,142,0,309
ASDZ,145,0,294
ASHD,144,0,308
ASN,142,0,115
ASS,150,0,549
ASSP,141,0,309
ATN,97,0,29
AVAT,107,0,296
BD,174,0,403
BDE,213,0,477
BDG,149,0,291
BDM,185,0,184
BDPB,179,0,726
BET,153,0,433
BF,189,0,184
BGN,211,0,731
BHDV,157,0,356
BHV,113,0,294
BK,206,0,477
BKF,204,0,634
BKG,203,0,630
BKL,134,0,366
BL,126,0,120
BLL,168,0,586
BMN,47,0,15
BMR,113,0,310
BN,10,0,19
BNC,101,0,298
BNK,119,0,329
BNN,104,0,314
BNZ,99,0,298
BP,183,0,132
BR,148,0,339
BRD,183,0,486
BRN,110,0,290
BSD,132,0,335
BSK,163,0,381
BSKS,164,0,404
BSMZ,122,0,291
BTL,143,0,390
BV,175,0,609
BZL,243,0,762
CAS,173,0,573
CK,103,0,307
CL,133,0,335
CO,59,0,106
CPS,167,0,448
CVM,223,0,494
DA,30,0,89
DB,115,0,297
DDN,0,0,0
DDR,174,0,369
DDRS,171,0,367
DDZD,175,0,486
DEI,163,0,132
DID,86,0,27
DL,60,0,93
DLD,110,0,290
DLN,63,0,120
DMN,139,0,308
DMNZ,139,0,308
DN,176,0,391
DR,53,0,15
DRH,173,0,605
DRON,96,0,115
DRP,170,0,146
DT,191,0,463
DTC,97,0,47
DTCH,95,0,47
DTCP,191,0,518
DV,56,0,15
DVC,54,0,96
DVD,141,0,291
DVN,76,0,24
DVNK,175,0,398
DWE,176,0,132
DZ,208,0,213
DZW,207,0,213
EC,186,0,474
ED,86,0,275
EDC,88,0,297
EDN,228,0,478
EEM,215,0,212
EGH,222,0,493
EGHM,223,0,493
EHS,162,0,509
EHV,163,0,390
EKZ,207,0,642
EML,107,0,118
EMN,79,0,121
EMNZ,75,0,120
ES,13,0,19
ESK,9,0,19
EST,80,0,275
ETN,185,0,726
FN,176,0,132
FWD,173,0,132
GBG,52,0,106
GD,154,0,363
GDG,151,0,363
GDM,125,0,292
GDR,102,0,64
GERP,168,0,168
GK,189,0,183
GLN,202,0,476
GN,170,0,168
GND,160,0,356
GNN,174,0,183
GO,10,34.064516129032256,0
GP,169,0,452
GR,151,0,354
GS,248,0,762
GV,183,0,448
GVC,182,0,448
GVM,183,0,483
GVMW,184,0,463
GW,146,0,172
GZ,164,0,405
HAD,169,0,586
HB,213,0,507
HBZM,163,0,366
HD,103,0,115
HDB,46,0,93
HDE,82,0,115
HDG,169,0,132
HDR,227,0,671
HDRZ,226,0,671
HFD,161,0,418
HGL,5,34.096774193548384,0
HGLG,3,34.096774193548384,0
HGLO,7,34.03225806451613,19
HGV,112,0,115
HGZ,181,0,191
HIL,176,0,626
HK,172,0,609
HKS,199,0,626
HLG,185,0,133
HLGH,186,0,137
HLM,165,0,549
HLMS,164,0,570
HLO,180,0,576
HM,176,0,452
HMBH,177,0,456
HMBV,173,0,452
HMH,175,0,452
HMN,94,0,289
HN,189,0,570
HNK,190,0,626
HNO,52,0,101
HNP,201,0,135
HON,39,0,96
HOR,123,0,291
HR,130,0,115
HRL,217,0,476
HRLW,219,0,493
HRN,164,0,168
HRT,158,0,391
HT,131,0,317
HTN,130,0,363
HTNC,131,0,391
HTO,130,0,317
HVL,107,0,290
HVS,117,0,290
HVSM,118,0,291
HVSP,118,0,291
HWD,192,0,652
HWZB,157,0,570
