Station Code,Distance from HIL,Services from/to HIL,Disruptions on path to HIL
WADT,44,0.0,121
WC,150,0.0,278
WD,52,0.0,107
WDN,167,0.0,575
WF,118,0.0,203
WFM,271,0.0,376
WH,150,0.0,609
WK,274,0.0,553
WL,151,0.0,458
WM,37,0.0,46
WP,44,0.0,280
WR,301,0.0,385
WS,279,0.0,376
WSM,263,0.0,362
WT,176,0.0,319
WTV,131,0.0,440
WV,196,0.0,293
WW,181,0.0,582
WWW,180,0.0,582
WZ,132,0.0,546
YPB,40,0.0,42
ZA,128,0.0,227
ZB,266,0.0,370
ZBM,103,0.0,224
ZD,32,0.0,21
ZDK,35,0.0,24
ZH,259,0.0,361
ZL,141,0.0,279
ZLSH,146,0.0,293
ZLW,91,0.0,243
ZP,136,0.0,568
ZTM,45,0.0,39
ZTMO,46,0.0,39
ZV,140,0.0,438
ZVB,99,0.0,248
ZVT,19,0.935483870967742,0
ZWD,74,0.0,301
ZZS,35,0.0,24
