Station Code,Distance from MMLH,Services from/to MMLH,Disruptions on path to MMLH
AC,111,0.0,384
AH,29,0.0,21
AHP,30,0.0,278
AHPR,32,0.0,278
AHZ,21,0.0,35
AKL,84,0.0,82
AKM,182,0.0,421
ALM,127,0.0,314
ALMB,133,0.0,445
ALMM,126,0.0,313
ALMO,135,0.0,445
ALMP,129,0.0,445
AMF,80,0.0,61
AMFS,83,0.0,301
AML,113,0.0,347
AMPO,124,0.0,313
AMR,164,0.0,600
AMRI,115,0.0,417
AMRN,165,0.0,675
ANA,194,0.0,686
APD,76,0.0,281
APDM,75,0.0,282
APDO,79,0.0,316
APG,245,0.0,451
APN,122,0.0,361
ARN,185,0.0,456
ASA,120,0.0,351
ASB,116,0.0,351
ASD,125,0.0,315
ASDL,132,0.0,573
ASDM,121,0.0,301
ASDZ,122,0.0,365
ASHD,115,0.0,511
ASN,183,0.0,371
ASS,129,0.0,573
ASSP,120,0.0,320
ATN,81,0.0,315
AVAT,86,0.0,307
BD,96,0.0,128
BDE,115,0.0,169
BDG,114,0.0,352
BDM,226,0.0,440
BDPB,101,0.0,451
BET,75,0.0,115
BF,230,0.0,440
BGN,133,0.0,456
BHDV,95,0.0,102
BHV,92,0.0,305
BK,108,0.0,170
BKF,183,0.0,658
BKG,182,0.0,654
BKL,99,0.0,351
BL,167,0.0,371
BLL,147,0.0,610
BMN,51,0.0,281
BMR,15,47.2258064516129,3
BN,108,0.0,348
BNC,61,0.0,44
BNK,79,0.0,75
BNN,64,0.0,60
BNZ,59,0.0,44
BP,224,0.0,388
BR,50,39.0,32
BRD,121,0.0,230
BRN,89,0.0,301
BSD,70,0.0,81
BSK,128,0.0,442
BSKS,129,0.0,465
BSMZ,101,0.0,302
BTL,65,0.0,115
BV,154,0.0,594
BZL,165,0.0,487
CAS,152,0.0,597
CK,5,47.2258064516129,0
CL,71,0.0,81
CO,153,0.0,434
CPS,132,0.0,436
CVM,125,0.0,187
DA,124,0.0,417
DB,75,0.0,43
DDN,98,0.0,296
DDR,112,0.0,113
DDRS,109,0.0,113
DDZD,113,0.0,230
DEI,204,0.0,388
DID,48,0.0,278
DL,117,0.0,371
DLD,89,0.0,301
DLN,157,0.0,448
DMN,118,0.0,319
DMNZ,118,0.0,302
DN,78,0.0,84
DR,45,0.0,278
DRH,152,0.0,611
DRON,137,0.0,371
DRP,211,0.0,402
DT,146,0.0,230
DTC,59,0.0,298
DTCH,57,0.0,298
DTCP,145,0.0,300
DV,74,0.0,281
DVC,78,0.0,347
DVD,118,0.0,351
DVN,38,0.0,280
DVNK,140,0.0,459
DWE,217,0.0,388
DZ,249,0.0,469
DZW,248,0.0,469
EC,88,0.0,167
ED,46,0.0,21
EDC,48,0.0,43
EDN,130,0.0,171
EEM,256,0.0,468
EGH,124,0.0,186
EGHM,125,0.0,186
EHS,84,0.0,191
EHV,85,0.0,115
EKZ,186,0.0,666
EML,103,0.0,301
EMN,173,0.0,449
EMNZ,169,0.0,448
ES,111,0.0,348
ESK,107,0.0,348
EST,18,0.0,21
ETN,107,0.0,451
FN,217,0.0,388
FWD,214,0.0,388
GBG,146,0.0,434
GD,119,0.0,351
GDG,116,0.0,351
GDM,63,0.0,38
GDR,64,0.0,315
GERP,209,0.0,424
GK,230,0.0,439
GLN,104,0.0,169
GN,211,0.0,424
GND,98,0.0,102
GNN,215,0.0,439
GO,88,0.0,288
GP,91,0.0,177
GR,89,0.0,100
GS,170,0.0,456
GV,148,0.0,436
GVC,147,0.0,354
GVM,148,0.0,544
GVMW,149,0.0,451
GW,187,0.0,428
GZ,86,0.0,130
HAD,148,0.0,594
HB,115,0.0,200
HBZM,101,0.0,112
HD,107,0.0,304
HDB,140,0.0,421
HDE,123,0.0,371
HDG,210,0.0,388
HDR,206,0.0,695
HDRZ,205,0.0,695
HFD,138,0.0,439
HGL,103,0.0,329
HGLG,101,0.0,329
HGLO,105,0.0,348
HGV,153,0.0,371
HGZ,222,0.0,447
HIL,155,0.0,459
HK,151,0.0,633
HKS,178,0.0,650
HLG,226,0.0,389
HLGH,227,0.0,393
HLM,144,0.0,573
HLMS,143,0.0,594
HLO,159,0.0,600
HM,87,0.0,112
HMBH,86,0.0,112
HMBV,90,0.0,116
HMH,88,0.0,116
HMN,32,0.0,35
HN,168,0.0,594
HNK,169,0.0,650
HNO,117,0.0,371
HNP,242,0.0,391
HON,93,0.0,281
HOR,99,0.0,351
HR,171,0.0,428
HRL,119,0.0,169
HRLW,121,0.0,186
HRN,205,0.0,424
HRT,60,0.0,84
HT,53,0.0,42
HTN,81,0.0,134
HTNC,80,0.0,134
HTO,52,0.0,42
HVL,74,0.0,61
HVS,96,0.0,301
HVSM,97,0.0,302
HVSP,97,0.0,302
HWD,171,0.0,676
HWZB,136,0.0,594
HZE,96,0.0,183
IJT,225,0.0,389
KBD,152,0.0,456
KBK,67,0.0,281
KLP,53,0.0,43
KMA,143,0.0,607
KMR,127,0.0,186
KMW,247,0.0,396
KPN,120,0.0,371
KPNZ,120,0.0,371
KRD,127,0.0,197
KRG,159,0.0,456
KTR,39,0.0,35
KW,219,0.0,445
KZ,137,0.0,597
LAA,148,0.0,383
LC,75,0.0,281
LDL,136,0.0,442
LDM,77,0.0,82
LEDN,137,0.0,449
LG,122,0.0,186
LLS,151,0.0,445
LLZM,132,0.0,436
LP,237,0.0,451
LTN,54,0.0,44
LTV,93,0.0,283
LUT,104,0.0,169
LW,200,0.0,371
LWC,203,0.0,388
MAS,94,0.0,351
MDB,189,0.0,483
MES,127,0.0,171
MG,210,0.0,388
MMLH,0,0.0,0
MP,133,0.0,371
MRB,132,0.0,418
MRN,83,0.0,75
MT,121,0.0,169
MTH,220,0.0,447
MTN,124,0.0,171
MTR,122,0.0,171
MZ,106,0.0,188
NDB,102,0.0,302
NH,112,0.0,200
NKK,91,0.0,301
NM,10,47.193548387096776,0
NMD,15,0.0,21
NMGO,13,0.0,21
NMH,7,47.193548387096776,0
NML,11,0.0,21
NS,119,0.0,301
NSCH,255,0.0,454
NVD,116,0.0,288
NVP,143,0.0,567
NWK,128,0.0,436
O,34,0.0,21
OBD,177,0.0,594
ODB,127,0.0,456
ODZ,114,0.0,348
OMN,128,0.0,378
OP,35,0.0,35
OST,84,0.0,347
OT,74,0.0,158
OTB,33,0.0,278
OVN,146,0.0,610
OW,35,0.0,42
PMO,150,0.0,573
PMR,149,0.0,594
PMW,148,0.0,597
PT,98,0.0,301
RAI,121,0.0,354
RAT,123,0.0,371
RB,149,0.0,487
RD,249,0.0,455
RH,39,0.0,279
RHN,106,0.0,78
RL,80,0.0,283
RLB,125,0.0,329
RM,75,34.354838709677416,118
RS,46,0.0,42
RSD,120,0.0,451
RSN,100,0.0,281
RSW,151,0.0,451
RTA,133,0.0,436
RTB,131,0.0,230
RTD,132,0.0,230
RTN,137,0.0,300
RTST,127,0.0,230
RTZ,128,0.0,230
RV,64,34.354838709677416,104
RVS,26,0.0,21
SBK,107,0.0,199
SD,93,0.0,315
SDA,238,0.0,445
SDM,136,0.0,300
SDT,102,0.0,112
SDTB,105,0.0,113
SGL,131,0.0,185
SGN,185,0.0,686
SHL,133,0.0,365
SK,222,0.0,388
SKND,221,0.0,388
SM,70,34.354838709677416,118
SN,109,0.0,200
SOG,129,0.0,186
SPTN,151,0.0,610
SPTZ,149,0.0,610
SRN,93,0.0,196
SSH,145,0.0,459
ST,94,0.0,315
STD,100,0.0,167
STM,233,0.0,451
STV,251,0.0,396
STZ,95,0.0,305
SWD,222,0.0,439
SWK,147,0.0,421
TB,75,0.0,115
TBG,65,0.0,315
TBR,80,0.0,128
TBU,76,0.0,128
TG,57,34.354838709677416,85
TL,51,0.0,38
TPSW,53,0.0,38
TWL,79,0.0,347
UHM,246,0.0,455
UHZ,243,0.0,455
UST,238,0.0,454
UT,87,0.0,278
UTG,148,0.0,632
UTLN,85,0.0,162
UTLR,90,0.0,351
UTO,90,0.0,351
UTT,92,0.0,351
UTVR,86,0.0,119
UTZL,89,0.0,351
VB,144,0.0,436
VD,70,0.0,281
VDL,123,0.0,186
VDM,238,0.0,452
VEM,62,0.0,281
VG,57,0.0,115
VH,145,0.0,459
VHP,126,0.0,418
VK,132,0.0,186
VL,52,38.45161290322581,84
VLB,22,47.2258064516129,31
VNDC,98,0.0,77
VNDW,97,0.0,77
VP,35,0.0,279
VRY,29,47.2258064516129,32
VS,195,0.0,483
VSS,194,0.0,456
VST,142,0.0,544
VSV,72,0.0,315
VTN,94,0.0,356
VZ,119,0.0,417
WAD,127,0.0,436
WADN,128,0.0,436
WADT,126,0.0,436
WC,19,0.0,21
WD,103,0.0,351
WDN,108,0.0,288
WF,37,0.0,21
WFM,235,0.0,454
WH,91,0.0,357
WK,238,0.0,391
WL,54,0.0,298
WM,141,0.0,597
WP,111,0.0,313
WR,265,0.0,463
WS,243,0.0,454
WSM,227,0.0,440
WT,99,0.0,167
WTV,34,0.0,280
WV,160,0.0,371
WW,93,0.0,334
WWW,94,0.0,334
WZ,114,0.0,371
YPB,140,0.0,354
ZA,29,0.0,35
ZB,230,0.0,448
ZBM,66,0.0,115
ZD,135,0.0,594
ZDK,138,0.0,597
ZH,223,0.0,439
ZL,105,0.0,357
ZLSH,110,0.0,371
ZLW,111,0.0,469
ZP,58,0.0,281
ZTM,135,0.0,351
ZTMO,134,0.0,436
ZV,43,0.0,278
ZVB,119,0.0,474
ZVT,152,0.0,610
ZWD,114,0.0,230
ZZS,138,0.0,597
