Station Code,Distance from GN,Services from/to GN,Disruptions on path to GN
AC,217,0.0,365
AH,182,0.0,98
AHP,181,0.0,102
AHPR,179,0.0,101
AHZ,190,0.0,355
AKL,240,0.0,376
AKM,72,0.0,19
ALM,187,18.258064516129032,19
ALMB,181,0.0,19
ALMM,188,0.0,150
ALMO,179,0.032258064516129,19
ALMP,185,0.0,24
AMF,172,18.870967741935484,19
AMFS,169,0.064516129032258,19
AML,151,0.0,40
AMPO,190,0.0,151
AMR,256,0.0,304
AMRI,153,0.0,110
AMRN,257,0.0,379
ANA,286,0.0,390
APD,152,0.0,19
APDM,153,0.0,54
APDO,149,0.0,95
APG,34,31.096774193548388,12
APN,228,0.0,269
ARN,371,0.0,529
ASA,214,0.0,153
ASB,214,0.0,153
ASD,217,1.096774193548387,19
ASDL,224,0.0,277
ASDM,213,0.0,259
ASDZ,216,17.161290322580644,150
ASHD,215,0.0,167
ASN,28,71.80645161290323,0
ASS,221,0.0,277
ASSP,212,0.0,158
ATN,210,0.0,109
AVAT,166,0.032258064516129,25
BD,284,0.0,418
BDE,326,0.0,556
BDG,220,0.0,260
BDM,15,31.096774193548388,1
BDPB,289,0.0,741
BET,263,0.0,332
BF,19,33.935483870967744,1
BGN,319,0.0,528
BHDV,251,0.0,396
BHV,184,0.0,263
BK,319,0.0,557
BKF,275,0.0,362
BKG,274,0.0,358
BKL,205,0.0,332
BL,44,35.38709677419355,53
BLL,239,0.0,314
BMN,160,0.0,95
BMR,226,0.0,390
BN,160,0.0,110
BNC,191,0.0,260
BNK,201,0.0,332
BNN,188,0.0,259
BNZ,193,0.0,276
BP,30,48.87096774193548,0
BR,261,0.0,419
BRD,260,0.0,493
BRN,181,0.0,259
BSD,226,0.0,375
BSK,234,0.0,350
BSKS,235,0.0,373
BSMZ,193,0.0,20
BTL,253,0.0,405
BV,246,0.0,298
BZL,351,0.0,559
CAS,244,0.0,301
CK,216,0.0,387
CL,211,0.0,360
CO,161,0.0,39
CPS,238,0.0,417
CVM,336,0.0,574
DA,148,0.0,29
DB,205,0.0,332
DDN,170,0.0,129
DDR,268,0.0,407
DDRS,265,0.0,407
DDZD,269,0.0,524
DEI,58,0.0,17
DID,199,0.0,107
DL,118,0.0,19
DLD,181,0.0,259
DLN,165,0.0,53
DMN,210,0.0,157
DMNZ,210,0.0,20
DN,289,0.0,471
DR,166,0.0,95
DRH,244,0.0,315
DRON,138,0.8387096774193549,19
DRP,65,0.0,31
DT,262,0.1290322580645161,0
DTC,210,0.0,127
DTCH,208,0.0,127
DTCP,262,0.0,487
DV,137,0.0,29
DVC,141,0.0,95
DVD,212,0.0,150
DVN,189,0.0,104
DVNK,246,0.0,367
DWE,37,31.451612903225808,23
DZ,38,31.096774193548388,30
DZW,37,31.096774193548388,30
EC,299,0.0,554
ED,199,0.0,355
EDC,201,0.0,377
EDN,341,0.0,558
EEM,45,4.709677419354839,29
EGH,335,0.0,573
EGHM,336,0.0,573
EHS,272,0.0,408
EHV,273,0.0,408
EKZ,278,0.0,370
EML,149,0.032258064516129,22
EMN,181,0.0,54
EMNZ,177,0.0,53
ES,173,0.0,129
ESK,169,0.0,129
EST,193,0.0,355
ETN,295,0.0,741
FN,71,0.0,17
FWD,40,58.80645161290322,0
GBG,154,0.0,39
GD,225,17.483870967741936,332
GDG,222,0.0,332
GDM,219,0.0,332
GDR,215,0.0,144
GERP,2,111.90322580645162,0
GK,19,31.451612903225808,0
GLN,315,0.0,556
GN,0,0.0,0
GND,254,0.0,396
GNN,4,65.06451612903226,0
GO,180,0.0,162
GP,279,0.0,470
GR,245,0.0,394
GS,356,0.0,529
GV,254,0.064516129032258,417
