Station Code,Distance from RTST,Services from/to RTST,Disruptions on path to RTST
AC,76,0.0,189
AH,119,0.0,228
AHP,120,0.0,485
AHPR,122,0.0,485
AHZ,112,0.0,209
AKL,43,0.0,130
AKM,225,0.0,532
ALM,108,0.0,172
ALMB,114,0.0,303
ALMM,107,0.0,322
ALMO,116,0.0,303
ALMP,110,0.0,303
AMF,82,0.0,228
AMFS,85,0.0,468
AML,179,0.0,534
AMPO,105,0.0,322
AMR,107,0.0,236
AMRI,181,0.0,604
AMRN,108,0.0,311
ANA,137,0.0,322
APD,125,0.0,468
APDM,126,0.0,503
APDO,128,0.0,503
APG,288,0.0,562
APN,47,0.0,178
ARN,118,0.0,122
ASA,85,0.0,169
ASB,81,0.0,155
ASD,91,0.0,70
ASDL,84,0.0,120
ASDM,87,0.0,169
ASDZ,83,0.0,120
ASHD,80,0.0,316
ASN,226,0.0,482
ASS,87,0.0,120
ASSP,88,0.0,183
ATN,171,0.0,522
AVAT,88,0.0,474
BD,45,0.0,117
BDE,195,0.0,553
BDG,55,0.0,259
BDM,269,0.0,551
BDPB,40,0.0,122
BET,93,0.0,496
BF,273,0.0,551
BGN,66,0.0,121
BHDV,32,0.0,128
BHV,70,0.0,228
BK,188,0.0,554
BKF,141,0.0,205
BKG,140,0.0,201
BKL,64,0.0,156
BL,210,0.0,482
BLL,75,0.0,196
BMN,141,0.0,488
BMR,142,0.0,244
BN,188,0.0,604
BNC,101,0.0,469
BNK,69,0.0,228
BNN,98,0.0,468
BNZ,103,0.0,485
BP,267,0.0,485
BR,153,0.0,534
BRD,6,0.5161290322580645,6
BRN,85,0.0,252
BSD,57,0.0,148
BSK,41,0.0,155
BSKS,40,0.0,155
BSMZ,84,0.0,229
BTL,83,0.0,453
BV,85,0.0,198
BZL,98,0.0,152
CAS,95,0.0,233
CK,132,0.0,241
CL,72,0.0,192
CO,203,0.0,502
CPS,16,0.0,72
CVM,179,0.0,189
DA,190,0.0,604
DB,73,0.0,228
DDN,183,0.0,518
DDR,15,0.5161290322580645,0
DDRS,18,0.0,117
DDZD,16,0.0,117
DEI,247,0.0,485
DID,138,0.0,485
DL,160,0.0,482
DLD,73,0.0,248
DLN,207,0.0,516
DMN,90,0.0,183
DMNZ,85,0.0,172
DN,125,0.0,506
DR,135,0.0,485
DRH,80,0.0,197
DRON,157,0.0,317
DRP,254,0.0,499
DT,19,0.3225806451612903,70
DTC,149,0.0,505
DTCH,147,0.0,505
DTCP,18,0.3225806451612903,70
DV,140,0.0,468
DVC,144,0.0,503
DVD,83,0.0,169
DVN,128,0.0,487
DVNK,40,0.0,189
DWE,260,0.0,485
DZ,292,0.0,580
DZW,291,0.0,580
EC,168,0.0,551
ED,102,0.0,228
EDC,104,0.0,250
EDN,208,0.0,190
EEM,299,0.0,579
EGH,178,0.0,188
EGHM,179,0.0,188
EHS,102,0.0,572
EHV,103,0.0,440
EKZ,144,0.0,213
EML,105,0.0,468
EMN,223,0.0,517
EMNZ,219,0.0,516
ES,196,0.0,570
ESK,192,0.0,570
EST,109,0.0,195
ETN,56,0.0,440
FN,260,0.0,485
FWD,257,0.0,485
GBG,196,0.0,502
GD,29,0.0,70
GDG,32,0.0,155
GDM,64,0.0,149
GDR,154,0.0,522
GERP,252,0.0,535
GK,273,0.0,550
GLN,184,0.0,553
GN,254,0.0,535
GND,29,0.0,118
GNN,258,0.0,550
GO,173,0.0,510
GP,109,0.0,502
GR,38,0.0,128
GS,103,0.0,122
GV,27,0.2580645161290322,171
GVC,28,0.2580645161290322,186
GVM,32,0.0,186
GVMW,26,0.2580645161290322,171
GW,230,0.0,539
GZ,55,0.0,440
HAD,68,0.0,196
HB,177,0.0,188
HBZM,26,0.0,118
HD,109,0.0,471
HDB,190,0.0,489
HDE,130,0.0,468
HDG,253,0.0,485
HDR,149,0.0,331
HDRZ,148,0.0,331
HFD,67,0.0,70
HGL,188,0.0,551
HGLG,186,0.0,551
HGLO,190,0.0,570
HGV,196,0.0,482
HGZ,265,0.0,558
HIL,61,0.0,196
HK,88,0.0,216
HKS,136,0.0,197
HLG,269,0.0,486
HLGH,270,0.0,490
HLM,72,0.0,196
HLMS,73,0.0,196
HLO,102,0.0,216
HM,116,0.0,502
HMBH,117,0.0,506
HMBV,113,0.0,502
HMH,115,0.0,502
HMN,95,0.0,195
HN,126,0.0,141
HNK,127,0.0,197
HNO,160,0.0,482
HNP,285,0.0,488
HON,159,0.0,503
HOR,73,0.0,228
HR,214,0.0,539
HRL,173,0.0,171
HRLW,175,0.0,188
HRN,248,0.0,535
HRT,143,0.0,534
HT,86,0.0,192
HTN,69,0.0,228
HTNC,70,0.0,256
HTO,87,0.0,265
HVL,88,0.0,468
HVS,79,0.0,228
HVSM,80,0.0,229
HVSP,78,0.0,228
HWD,114,0.0,312
HWZB,80,0.0,196
HZE,114,0.0,508
IJT,268,0.0,486
KBD,85,0.0,122
KBK,134,0.0,504
KLP,95,0.0,228
KMA,96,0.0,217
KMR,181,0.0,188
KMW,290,0.0,493
KPN,163,0.0,482
KPNZ,163,0.0,482
KRD,181,0.0,199
KRG,92,0.0,122
KTR,88,0.0,192
KW,262,0.0,556
KZ,95,0.0,144
LAA,29,0.0,186
LC,160,0.0,503
LDL,44,0.0,196
LDM,50,0.0,148
LEDN,43,0.0,186
LG,176,0.0,188
LLS,132,0.0,303
LLZM,42,0.0,155
LP,280,0.0,562
LTN,108,0.0,485
LTV,178,0.0,505
LUT,184,0.0,553
LW,243,0.0,468
LWC,246,0.0,485
MAS,68,0.0,228
MDB,122,0.0,149
MES,193,0.0,188
MG,253,0.0,485
MMLH,127,0.0,230
MP,176,0.0,482
MRB,182,0.0,489
MRN,81,0.0,260
MT,199,0.0,188
MTH,263,0.0,558
MTN,196,0.0,202
MTR,200,0.0,190
MZ,124,0.0,513
NDB,85,0.0,229
NH,180,0.0,188
NKK,93,0.0,468
NM,117,0.0,209
NMD,122,0.0,230
NMGO,120,0.0,230
NMH,120,0.0,230
NML,116,0.0,209
NS,121,0.0,468
NSCH,298,0.0,565
NVD,180,0.0,491
NVP,62,0.0,196
NWK,20,0.0,128
O,105,0.0,265
OBD,120,0.0,322
ODB,46,0.0,122
ODZ,199,0.0,570
OMN,171,0.0,489
OP,92,0.0,195
OST,150,0.0,534
OT,74,0.0,453
OTB,115,0.0,250
OVN,74,0.0,196
OW,104,0.0,265
PMO,108,0.0,141
PMR,107,0.0,141
PMW,106,0.0,144
PT,100,0.0,468
RAI,84,0.0,194
RAT,166,0.0,482
RB,82,0.0,122
RD,292,0.0,566
RH,129,0.0,486
RHN,104,0.0,263
RL,165,0.0,505
RLB,2,0.5161290322580645,0
RM,155,0.0,502
RS,93,0.0,265
RSD,53,0.0,117
RSN,166,0.0,503
RSW,24,0.2580645161290322,171
RTA,15,0.0,70
RTB,4,0.8064516129032258,0
RTD,5,0.8387096774193549,0
RTN,10,0.0,70
RTST,0,0.0,0
RTZ,1,0.4838709677419355,0
RV,166,0.0,551
RVS,113,0.0,286
SBK,185,0.0,188
SD,81,0.0,252
SDA,281,0.0,556
SDM,9,0.3225806451612903,70
SDT,25,0.0,117
SDTB,22,0.0,117
SGL,189,0.0,188
SGN,128,0.0,322
SHL,72,0.0,70
SK,265,0.0,485
SKND,264,0.0,485
SM,160,0.0,551
SN,183,0.0,188
SOG,183,0.0,188
SPTN,79,0.0,196
SPTZ,77,0.0,196
SRN,173,0.0,580
SSH,51,0.0,196
ST,80,0.0,252
STD,180,0.0,551
STM,276,0.0,562
STV,294,0.0,493
STZ,79,0.0,252
SWD,265,0.0,550
SWK,190,0.0,532
TB,66,0.0,440
TBG,155,0.0,522
TBR,61,0.0,459
TBU,65,0.0,461
TG,160,0.0,503
TL,76,0.0,192
TPSW,74,0.0,192
TWL,135,0.0,503
UHM,289,0.0,566
UHZ,286,0.0,566
UST,281,0.0,565
UT,61,0.0,155
UTG,91,0.0,216
UTLN,65,0.0,228
UTLR,58,0.0,170
UTO,64,0.0,228
UTT,56,0.0,165
UTVR,62,0.0,228
UTZL,63,0.0,228
VB,31,0.0,215
VD,155,0.0,503
VDL,177,0.0,188
VDM,281,0.0,563
VEM,139,0.0,505
VG,90,0.0,265
VH,51,0.0,196
VHP,188,0.0,492
VK,186,0.0,188
VL,155,0.0,502
VLB,149,0.0,272
VNDC,96,0.0,262
VNDW,95,0.0,262
VP,125,0.0,486
VRY,156,0.0,273
VS,128,0.0,149
VSS,127,0.0,122
VST,38,0.0,189
VSV,162,0.0,522
VTN,54,0.0,156
VZ,185,0.0,604
WAD,37,0.0,155
WADN,38,0.0,155
WADT,36,0.0,155
WC,120,0.0,289
WD,45,0.0,155
WDN,174,0.0,510
WF,111,0.0,250
WFM,278,0.0,565
WH,157,0.0,544
WK,281,0.0,488
WL,144,0.0,505
WM,98,0.0,242
WP,92,0.0,316
WR,308,0.0,574
WS,286,0.0,565
WSM,270,0.0,551
WT,131,0.0,502
WTV,124,0.0,487
WV,203,0.0,482
WW,183,0.0,541
WWW,184,0.0,541
WZ,139,0.0,481
YPB,35,0.0,218
ZA,98,0.0,195
ZB,273,0.0,559
ZBM,73,0.0,192
ZD,93,0.0,141
ZDK,96,0.0,144
ZH,266,0.0,550
ZL,148,0.0,468
ZLSH,153,0.0,482
ZLW,30,0.0,117
ZP,143,0.0,503
ZTM,40,0.0,215
ZTMO,41,0.0,215
ZV,133,0.0,485
ZVB,38,0.0,122
ZVT,80,0.0,196
ZWD,13,0.5161290322580645,105
ZZS,96,0.0,144
