Station Code,Distance from VL,Services from/to VL,Disruptions on path to VL
SRN,41,0.0,111
SSH,190,0.0,400
ST,146,0.0,667
STD,48,0.0,82
STM,285,0.0,546
STV,303,0.0,491
STZ,147,0.0,657
SWD,274,0.0,534
SWK,199,0.0,516
TB,89,0.0,146
TBG,117,0.0,410
TBR,94,0.0,159
TBU,90,0.0,159
TG,5,37.354838709677416,0
TL,103,0.0,133
TPSW,105,0.0,133
TWL,131,0.0,442
UHM,298,0.0,550
UHZ,295,0.0,550
UST,290,0.0,549
UT,132,43.61290322580645,219
UTG,194,0.0,609
UTLN,128,0.0,343
UTLR,135,0.0,292
UTO,135,0.0,292
UTT,137,0.0,292
UTVR,131,0.0,343
UTZL,134,0.0,292
VB,186,0.0,684
VD,122,0.0,376
VDL,71,0.0,101
VDM,290,0.0,547
VEM,114,0.0,376
VG,80,0.0,265
VH,190,0.0,400
VHP,178,0.0,513
VK,80,0.0,101
VL,0,0.0,0
VLB,30,38.41935483870968,52
VNDC,150,0.0,429
VNDW,149,0.0,429
VP,87,0.0,376
VRY,23,38.41935483870968,52
VS,209,0.0,507
VSS,208,0.0,507
VST,187,0.0,485
VSV,124,0.0,410
VTN,139,0.0,297
VZ,171,0.0,512
WAD,172,0.0,377
WADN,173,0.0,377
WADT,171,0.0,377
WC,71,0.0,116
WD,148,0.0,292
WDN,160,0.0,449
WF,89,0.0,373
WFM,287,0.0,549
WH,143,0.0,452
WK,290,0.0,486
WL,106,0.0,393
WM,187,0.0,574
WP,163,0.0,665
WR,317,0.0,558
WS,295,0.0,549
WSM,279,0.0,535
WT,47,0.0,82
WTV,86,0.0,375
WV,212,0.0,466
WW,145,0.0,429
WWW,146,0.0,429
WZ,166,0.0,466
YPB,185,0.0,377
ZA,81,0.0,130
ZB,282,0.0,543
ZBM,97,0.0,219
ZD,181,0.0,571
ZDK,184,0.0,574
ZH,275,0.0,534
ZL,157,0.0,452
ZLSH,162,0.0,466
ZLW,125,0.0,487
ZP,110,0.0,376
ZTM,180,0.0,377
ZTMO,179,0.0,377
ZV,95,0.0,373
ZVB,133,0.0,492
ZVT,198,0.0,588
ZWD,142,0.0,586
ZZS,184,0.0,574
