Station Code,Number of Services,Disruption Count
MTH,3997,19
MRB,3913,34
BTL,3904,116
BSMZ,3902,102
HVSM,3902,89
TBU,3886,89
HR,3859,40
DDRS,3844,42
GND,3840,32
SDT,3840,45
GR,3836,44
BNZ,3835,54
BHDV,3835,29
BNC,3835,53
SDTB,3835,37
BNN,3834,43
HVL,3834,45
BET,3828,81
EHS,3824,79
GVM,3794,122
DVNK,3793,113
VST,3793,114
HNK,3790,49
SSH,3778,140
UTLR,3746,126
UTT,3746,124
VTN,3746,132
DTCP,3736,132
DDZD,3726,106
RAI,3671,146
FWD,3646,35
DMNZ,3641,75
HVSP,3634,30
SWK,3567,46
RTZ,3561,101
ZWD,3559,129
BRD,3559,125
RLB,3559,129
NVP,3523,144
WTV,3510,83
DID,3510,27
DVN,3510,84
WAD,3504,45
WADT,3504,44
BSK,3504,51
BSKS,3504,45
WADN,3504,45
DTC,3498,37
DTCH,3498,22
WL,3498,28
LG,3480,41
NMGO,3419,26
WC,3418,48
NMD,3417,26
ZBM,3401,62
ODZ,3379,121
AKM,3376,43
BGN,3319,46
MDB,3267,27
VS,3266,19
GS,3266,40
WM,3255,52
KMA,3248,42
KZ,3247,35
ZZS,3247,35
BMR,3142,29
VRY,3142,34
VLB,3142,27
CK,3142,23
MMLH,3142,30
NMH,3142,27
AC,3108,127
ASHD,3108,125
MAS,3040,138
BP,3030,40
UTZL,3025,132
AHZ,2961,99
NML,2960,71
RAT,2902,23
NVD,2892,24
BNK,2795,67
YPB,2788,57
ZTM,2787,53
ZTMO,2786,54
VB,2786,54
LLZM,2785,49
HRT,2754,48
ESK,2705,41
BN,2699,39
ZH,2698,39
AMRI,2696,38
ODB,2661,72
ZVB,2660,66
AHPR,2627,38
VP,2627,40
RH,2627,41
DL,2620,10
CO,2615,15
OMN,2613,11
VH,2575,58
PMR,2573,43
BV,2570,38
KLP,2551,54
SM,2541,42
WS,2536,20
SGN,2521,17
HDR,2520,11
HDRZ,2520,12
ANA,2519,11
HKS,2516,21
BKG,2516,22
BKF,2516,18
EKZ,2516,18
KRG,2499,47
SDA,2498,19
GW,2496,39
HK,2496,17
RB,2495,37
KBD,2494,34
VSS,2488,19
BZL,2487,31
WR,2485,7
ARN,2483,27
DDN,2476,33
SPTN,2473,35
TG,2472,63
RV,2472,45
HOR,2446,30
KPN,2438,43
ZLSH,2438,44
ETN,2430,54
PT,2425,50
BLL,2425,22
SPTZ,2424,22
DRH,2423,33
CPS,2420,57
RTN,2420,59
NWK,2420,58
HIL,2405,60
KPNZ,2385,15
DRON,2381,21
ZVT,2378,28
EMNZ,2377,21
EMN,2377,16
SGL,2374,18
HRLW,2374,14
VDL,2374,14
KMR,2374,14
MTN,2374,20
SOG,2374,14
EDC,2359,35
LTN,2359,37
TPSW,2345,8
OST,2336,26
WH,2332,17
EC,2331,32
OVN,2328,28
BDE,2327,31
HNO,2327,17
LUT,2327,29
BK,2326,29
NH,2325,37
GLN,2325,37
SBK,2325,38
SN,2325,38
HB,2325,37
KRD,2320,11
CVM,2320,11
EGH,2320,12
NKK,2308,42
HD,2306,44
GO,2303,34
HDE,2289,34
RHN,2284,11
NS,2283,35
VNDW,2283,23
MRN,2283,72
VNDC,2283,31
HMBH,2281,37
EML,2276,43
WZ,2275,33
HLGH,2274,15
HLG,2274,17
SRN,2267,29
HRN,2263,39
HMH,2252,28
HMBV,2248,30
GDR,2240,18
TBG,2240,25
HGLO,2232,113
PMO,2227,47
ZDK,2226,41
DEI,2223,14
DRP,2223,15
FN,2223,14
LC,2197,38
ATN,2190,20
VSV,2190,15
BL,2190,24
HGV,2190,20
PMW,2185,40
GBR,2152,1
ESE,2152,1
HGLG,2136,31
SK,2127,24
WFM,2118,21
WSM,2118,19
BF,2117,19
OBD,2117,17
RD,2114,24
UHM,2113,19
UST,2113,19
UHZ,2113,18
BDPB,2105,54
BMN,2102,42
HBZM,2059,29
VD,2048,12
RL,2048,10
LTV,2048,12
WWW,2048,9
WV,2046,42
LDM,2001,19
BSD,2001,8
AKL,2000,18
VDM,1984,8
HDG,1961,40
VG,1957,26
HTO,1951,46
RS,1951,45
OW,1951,45
LWC,1950,38
GK,1950,33
DWE,1950,34
GZ,1943,91
TBR,1943,77
OT,1942,36
RSN,1938,56
HON,1935,46
DVC,1935,46
SKND,1929,23
LP,1926,17
DZ,1926,17
APG,1926,18
STM,1926,19
DZW,1926,17
BDM,1926,22
RVS,1915,38
MG,1883,27
ST,1883,16
SD,1882,6
STZ,1882,15
HZE,1830,45
MZ,1829,42
GP,1829,43
TWL,1818,41
APDO,1818,39
WF,1784,49
OTB,1783,39
NSCH,1751,12
HMN,1738,24
OP,1738,24
KTR,1738,27
ZA,1738,24
VEM,1714,15
APDM,1714,13
KBK,1714,15
DA,1572,19
VZ,1572,19
VHP,1572,21
GBG,1401,10
DLN,1398,11
IJT,1373,7
WK,1373,9
HNP,1373,8
KMW,1373,8
STV,1373,12
EGHM,1160,30
EDN,1094,11
UTM,448,5
EEM,422,8
RTST,61,93
HRY,2,34
