Station Code,Cancel Count
RTD,2537
ASD,2174
UT,2109
ALM,1838
DT,1797
WP,1682
GV,1680
EHV,1635
SHL,1632
DDR,1513
SDM,1484
ZL,1367
ASS,1333
AH,1318
HT,1268
RSD,1208
LEDN,1173
RTB,1055
RSW,1015
GVMW,1012
ALMO,1008
AMF,933
GVC,899
HRL,863
ALMM,854
AMPO,854
HM,851
MT,832
TB,824
BD,817
VL,793
ALMB,734
GD,733
HGL,732
DR,705
ALMP,704
LW,690
NM,690
ZD,689
RM,662
ASA,614
ASDZ,608
STD,590
HN,582
HLM,570
ZLW,569
GS,553
MDB,536
ZP,535
BGN,530
WD,525
VS,521
AML,520
NSCH,507
HFD,491
AMR,471
NDB,469
MTR,461
ES,450
CAS,443
DN,418
ASB,416
VK,411
WT,410
DDZD,406
MES,404
HVS,403
LAA,399
SSH,377
KRG,374
UTG,369
DVD,364
BR,362
PMR,362
BZL,359
RB,355
KBD,354
ARN,354
RAT,353
AKM,353
NVD,353
ASDM,353
AMFS,346
VSS,345
DV,339
HAD,337
ED,331
HRT,325
O,322
HLO,321
VTN,318
ODB,317
ZVB,317
WR,313
DTCP,301
UTLR,298
UTT,298
HZ,295
TBU,288
RTA,286
HWD,285
NVP,281
HNO,279
ESK,277
AMRI,277
WDN,277
BN,277
HNK,276
APN,273
GDM,272
BTL,268
RH,268
AHPR,268
VP,268
LLS,249
UTVR,247
AMRN,246
ASDL,245
GN,244
HMH,240
DMN,238
ASSP,238
GW,238
HMBV,238
ODZ,231
PMO,222
ZDK,221
LC,220
DB,214
HTNC,213
UTLN,211
RV,210
CL,210
SM,208
GDG,207
HTN,205
APD,205
LG,203
WS,203
ZLSH,200
PMW,200
KPN,200
GO,200
UTO,199
TG,195
EKZ,193
HKS,193
BKG,193
BKF,193
DDN,192
HMBH,190
BDG,185
HLGH,181
HLG,181
FN,178
DEI,178
DRP,178
EHS,177
HLMS,176
HWZB,176
MP,176
BET,176
ZWD,175
ZV,175
RTZ,174
HDRZ,171
ANA,171
HDR,171
BRD,170
HR,170
NMD,170
RLB,170
BV,170
NMGO,168
ETN,167
SGN,166
KMA,165
WM,165
ASN,164
HK,164
LDL,161
WC,161
BH,160
AVAT,159
OST,157
WH,155
DMNZ,150
SK,149
SWK,147
BKL,145
VH,141
KZ,141
ZZS,141
EL,139
EM,139
RAI,138
YPB,136
DRON,136
VB,134
RS,130
HTO,130
TBR,130
OW,130
GZ,130
EGHM,129
EST,127
AHBF,126
ZTM,126
AW,126
GR,126
BHDV,125
ZTMO,124
KPNZ,124
LLZM,124
TL,123
GND,122
KN,121
KLP,121
VG,119
RTN,119
RHEINE,118
TPSW,116
OBD,116
OSNH,115
BDPB,113
AHZ,111
NML,111
BUENDE,109
BMR,108
NH,107
SBK,107
GLN,107
ATW,107
SN,107
HB,106
FVS,105
DLD,105
BIELEF,104
RVS,104
NS,103
VST,102
GVM,102
VLB,102
VRY,102
HDB,102
DVNK,102
BSMZ,101
HVSM,101
PT,101
MMLH,100
MRB,100
NMH,100
EML,100
HD,100
SPTN,99
SDT,98
HDE,98
CK,98
ASHD,98
KDUL,98
KBRY,98
KBOI,98
VIERS,98
DDRS,96
SRN,96
SDTB,96
AC,96
BHV,96
ESN,95
EC,95
MCGB,94
DRH,92
OT,91
BLL,91
SPTZ,90
HVSP,90
ZBM,88
CPS,85
NWK,85
BNC,85
BNZ,85
SOG,82
HRLW,82
MTN,82
WZ,82
VDL,82
SGL,82
KMR,82
MG,80
BMN,80
SKND,80
NKK,80
WK,78
HGLO,78
STV,77
KMW,77
HNP,77
WV,76
BRESSX,75
FKTH,75
LKP,75
GWD,75
MID,75
IJT,75
LUIK,75
GKT,75
ANDD,74
ATWLB,74
EGH,74
KRD,74
MARIA,74
CVM,74
LKR,74
BDE,73
BK,73
LUT,73
AHP,68
VD,67
BRN,67
BSK,64
HIL,63
GERP,62
HGLG,62
ZB,60
WF,60
DUSSEL,60
SDA,59
WADT,55
WW,55
RD,55
WAD,54
BSKS,54
WADN,54
HOR,50
GP,50
LEER,50
HZE,50
UST,50
UHZ,50
UHM,50
BRUSZ,49
MZ,49
LTV,48
HVL,48
BNN,48
DL,48
NDKP,44
WWW,43
WFM,43
EMNZ,43
UTZL,43
EMN,42
BNK,41
BERCH,41
RL,41
EDN,39
FBNL,39
LTN,39
TWL,38
BRUSN,38
APDO,38
EDC,38
MAS,38
DTC,37
DTCH,35
CO,35
DVN,35
DID,35
WTV,35
WL,35
BRUSC,34
VNDC,33
MECH,32
RHN,31
OMN,30
BSD,30
OTB,29
VHP,28
VZ,28
DA,28
DUISB,28
VNDW,27
MRN,27
HRN,27
OBERH,26
LDM,25
SWD,25
FFFM,25
GNN,25
HBZM,25
FNAF,25
BL,24
AKL,24
BF,23
HGV,23
FWD,23
MTH,22
HGZ,22
KW,22
KOLN,21
NEUSS,21
ZVT,20
HDG,20
OVN,20
LWC,19
WSM,19
APDM,18
DZ,18
DZW,18
APG,18
WESEL,17
KBK,17
ST,17
SD,17
BP,17
ZH,16
EEM,16
DLN,16
GBG,16
TBG,15
STZ,15
EPRA,14
VEM,14
ATN,13
HANN,13
GDR,13
KSWE,12
BERHBL,12
HAMM,12
MINDEN,12
EENP,12
WUPPH,12
WUPPV,12
HAGEN,12
KWBA,12
OBERHS,12
BHF,12
KWO,12
EUN,11
KSB,11
EBEO,11
HWOB,11
ESRT,11
BSPD,11
LS,11
KDFFH,11
EHZW,11
RTST,10
DWE,9
GK,9
HON,8
RSN,8
VDM,8
DVC,8
STM,8
LP,8
VSV,8
HMN,7
OP,7
OEYNH,7
MA,7
KTR,7
ZA,7
FLJ,6
FHS,6
KKD,6
BDM,6
FLGP,6
PARIS,4
RF,3
BASELB,3
KARLSR,3
BASELS,3
RO,3
FRP,2
FMZ,2
KT,2
STP,2
MANNHE,2
KBB,2
FNZD,2
ZUE,1
LILLEE,1
RBB,1
MUNST,1
