Station Code,Number of Services,Disruption Count,Delay Count,Cancel Count
SDA,2498,19,985,59
GW,2496,39,316,238
HK,2496,17,818,164
RB,2495,37,1190,355
KBD,2494,34,1027,354
VSS,2488,19,1297,345
BZL,2487,31,1136,359
WR,2485,7,100,313
ARN,2483,27,1154,354
DDN,2476,33,566,192
SPTN,2473,35,746,99
TG,2472,63,1273,195
RV,2472,45,1439,210
HOR,2446,30,1084,50
KPN,2438,43,282,200
ZLSH,2438,44,368,200
ETN,2430,54,721,167
PT,2425,50,1027,101
BLL,2425,22,678,91
SPTZ,2424,22,650,90
DRH,2423,33,667,92
CPS,2420,57,731,85
RTN,2420,59,1141,119
NWK,2420,58,709,85
HIL,2405,60,1027,63
KPNZ,2385,15,658,124
DRON,2381,21,491,136
ZVT,2378,28,517,20
EMNZ,2377,21,1018,43
EMN,2377,16,529,42
SGL,2374,18,635,82
HRLW,2374,14,950,82
VDL,2374,14,857,82
KMR,2374,14,656,82
MTN,2374,20,899,82
SOG,2374,14,764,82
EDC,2359,35,406,38
LTN,2359,37,787,39
TPSW,2345,8,858,116
OST,2336,26,1600,157
WH,2332,17,1075,155
EC,2331,32,804,95
OVN,2328,28,1732,20
BDE,2327,31,617,73
HNO,2327,17,715,279
LUT,2327,29,667,73
BK,2326,29,663,73
NH,2325,37,1902,107
GLN,2325,37,1402,107
SBK,2325,38,1578,107
SN,2325,38,1620,107
HB,2325,37,1166,106
KRD,2320,11,299,74
CVM,2320,11,354,74
EGH,2320,12,412,74
NKK,2308,42,1106,80
HD,2306,44,1059,100
GO,2303,34,764,200
HDE,2289,34,790,98
RHN,2284,11,313,31
NS,2283,35,925,103
VNDW,2283,23,980,27
MRN,2283,72,1483,27
VNDC,2283,31,532,33
HMBH,2281,37,620,190
EML,2276,43,785,100
WZ,2275,33,535,82
HLGH,2274,15,160,181
HLG,2274,17,184,181
SRN,2267,29,961,96
HRN,2263,39,807,27
HMH,2252,28,650,240
HMBV,2248,30,645,238
GDR,2240,18,675,13
TBG,2240,25,357,15
HGLO,2232,113,502,78
PMO,2227,47,879,222
ZDK,2226,41,696,221
DEI,2223,14,759,178
DRP,2223,15,256,178
FN,2223,14,1059,178
LC,2197,38,528,220
ATN,2190,20,356,13
VSV,2190,15,228,8
BL,2190,24,935,24
HGV,2190,20,560,23
PMW,2185,40,577,200
HGLG,2136,31,1578,62
SK,2127,24,278,149
WFM,2118,21,943,43
WSM,2118,19,1463,19
BF,2117,19,1150,23
OBD,2117,17,947,116
RD,2114,24,277,55
UHM,2113,19,793,50
UST,2113,19,819,50
UHZ,2113,18,449,50
BDPB,2105,54,803,113
BMN,2102,42,317,80
HBZM,2059,29,1378,25
VD,2048,12,842,67
RL,2048,10,919,41
LTV,2048,12,595,48
WWW,2048,9,405,43
WV,2046,42,647,76
LDM,2001,19,947,25
BSD,2001,8,990,30
AKL,2000,18,1078,24
VDM,1984,8,160,8
HDG,1961,40,1425,20
VG,1957,26,1023,119
HTO,1951,46,829,130
RS,1951,45,550,130
