Station Code,Number of Services,Disruption Count,Delay Count
NVD,2892,24,1377
BNK,2795,67,961
YPB,2788,57,1151
ZTM,2787,53,1033
ZTMO,2786,54,630
VB,2786,54,592
LLZM,2785,49,947
HRT,2754,48,996
ESK,2705,41,1025
BN,2699,39,423
ZH,2698,39,1814
AMRI,2696,38,901
ODB,2661,72,820
ZVB,2660,66,805
AHPR,2627,38,531
VP,2627,40,478
RH,2627,41,305
DL,2620,10,1422
CO,2615,15,1190
OMN,2613,11,1463
VH,2575,58,571
PMR,2573,43,671
BV,2570,38,584
KLP,2551,54,647
SM,2541,42,1299
WS,2536,20,589
SGN,2521,17,1169
HDR,2520,11,410
HDRZ,2520,12,741
ANA,2519,11,1441
HKS,2516,21,422
BKG,2516,22,332
BKF,2516,18,524
EKZ,2516,18,205
KRG,2499,47,1450
SDA,2498,19,985
GW,2496,39,316
HK,2496,17,818
RB,2495,37,1190
KBD,2494,34,1027
VSS,2488,19,1297
BZL,2487,31,1136
WR,2485,7,100
ARN,2483,27,1154
DDN,2476,33,566
SPTN,2473,35,746
TG,2472,63,1273
RV,2472,45,1439
HOR,2446,30,1084
KPN,2438,43,282
ZLSH,2438,44,368
ETN,2430,54,721
PT,2425,50,1027
BLL,2425,22,678
SPTZ,2424,22,650
DRH,2423,33,667
CPS,2420,57,731
RTN,2420,59,1141
NWK,2420,58,709
HIL,2405,60,1027
KPNZ,2385,15,658
DRON,2381,21,491
ZVT,2378,28,517
EMNZ,2377,21,1018
EMN,2377,16,529
SGL,2374,18,635
HRLW,2374,14,950
VDL,2374,14,857
KMR,2374,14,656
MTN,2374,20,899
SOG,2374,14,764
EDC,2359,35,406
LTN,2359,37,787
TPSW,2345,8,858
OST,2336,26,1600
WH,2332,17,1075
EC,2331,32,804
OVN,2328,28,1732
BDE,2327,31,617
HNO,2327,17,715
LUT,2327,29,667
BK,2326,29,663
NH,2325,37,1902
GLN,2325,37,1402
SBK,2325,38,1578
SN,2325,38,1620
HB,2325,37,1166
KRD,2320,11,299
CVM,2320,11,354
EGH,2320,12,412
NKK,2308,42,1106
HD,2306,44,1059
GO,2303,34,764
HDE,2289,34,790
RHN,2284,11,313
NS,2283,35,925
VNDW,2283,23,980
MRN,2283,72,1483
VNDC,2283,31,532
HMBH,2281,37,620
EML,2276,43,785
WZ,2275,33,535
HLGH,2274,15,160
HLG,2274,17,184
SRN,2267,29,961
HRN,2263,39,807
HMH,2252,28,650
HMBV,2248,30,645
GDR,2240,18,675
TBG,2240,25,357
HGLO,2232,113,502
PMO,2227,47,879
ZDK,2226,41,696
DEI,2223,14,759
DRP,2223,15,256
FN,2223,14,1059
LC,2197,38,528
ATN,2190,20,356
VSV,2190,15,228
BL,2190,24,935
HGV,2190,20,560
PMW,2185,40,577
HGLG,2136,31,1578
SK,2127,24,278
WFM,2118,21,943
WSM,2118,19,1463
BF,2117,19,1150
OBD,2117,17,947
RD,2114,24,277
UHM,2113,19,793
UST,2113,19,819
UHZ,2113,18,449
BDPB,2105,54,803
BMN,2102,42,317
HBZM,2059,29,1378
VD,2048,12,842
RL,2048,10,919
LTV,2048,12,595
WWW,2048,9,405
WV,2046,42,647
LDM,2001,19,947
BSD,2001,8,990
AKL,2000,18,1078
VDM,1984,8,160
HDG,1961,40,1425
VG,1957,26,1023
HTO,1951,46,829
RS,1951,45,550
OW,1951,45,1199
LWC,1950,38,1419
GK,1950,33,992
DWE,1950,34,1277
GZ,1943,91,974
TBR,1943,77,619
OT,1942,36,822
RSN,1938,56,827
HON,1935,46,536
DVC,1935,46,567
SKND,1929,23,795
LP,1926,17,629
DZ,1926,17,365
APG,1926,18,1076
STM,1926,19,782
DZW,1926,17,393
BDM,1926,22,914
RVS,1915,38,1288
MG,1883,27,849
ST,1883,16,691
SD,1882,6,1041
STZ,1882,15,1471
HZE,1830,45,597
MZ,1829,42,488
GP,1829,43,561
TWL,1818,41,331
APDO,1818,39,447
WF,1784,49,450
OTB,1783,39,675
NSCH,1751,12,505
HMN,1738,24,446
OP,1738,24,337
KTR,1738,27,426
ZA,1738,24,542
VEM,1714,15,767
APDM,1714,13,292
KBK,1714,15,263
DA,1572,19,356
VZ,1572,19,578
VHP,1572,21,517
GBG,1401,10,742
DLN,1398,11,934
IJT,1373,7,442
WK,1373,9,371
HNP,1373,8,492
KMW,1373,8,360
STV,1373,12,154
EGHM,1160,30,744
EDN,1094,11,812
UTM,448,5,51
EEM,422,8,68
RTST,61,93,31
