Station Code;Disruption Count
DT;135
DTCP;132
GV;138
GVMW;118
RSW;121
AC;127
ASA;98
ASB;157
ASD;371
ASDM;159
ASHD;125
BKL;158
CL;65
DVD;235
GDM;113
HT;165
HTN;86
HTNC;68
MAS;138
UT;463
UTZL;132
ZBM;62
UTLN;73
UTVR;141
RTD;555
SHL;509
BR;67
DN;51
HRT;48
VL;142
AMRN;24
HWD;47
ASDL;198
ASS;289
GLN;37
HB;37
HRL;82
NH;37
SBK;38
SN;38
STD;85
NDB;106
WP;173
ASN;54
GERP;56
GN;112
HRN;39
KBK;15
VEM;15
ZP;113
BGN;46
KBD;34
KRG;47
RB;37
RV;45
TG;63
HFD;214
ESN;23
RSD;162
PMO;47
PMR;43
PMW;40
ZD;87
ZDK;41
ED;112
WF;49
AH;261
AHZ;99
EST;113
NM;117
NMD;26
NML;71
WC;48
NMGO;26
KN;44
CPS;57
GD;183
GDG;123
NWK;58
RTA;58
RTN;59
UTT;124
VTN;132
WD;168
UTLR;126
BDE;31
BK;29
LUT;29
MT;60
RH;41
VP;40
BH;99
HGL;206
HGLO;113
ODZ;121
HAD;60
HIL;60
HLM;168
BD;329
KPN;43
ZL;185
ZLSH;44
AML;72
DV;114
DVC;46
HON;46
RSN;56
WDN;51
HKS;21
HN;80
HNK;49
OST;26
WH;17
BDG;28
GZ;91
TB;130
TBR;77
TBU;89
TL;34
TPSW;8
HLMS;74
HWZB;74
ALM;133
ALMB;59
ALMO;66
ALMP;58
AMR;78
ZTM;53
ZTMO;54
SDM;136
AMF;241
AMFS;66
AVAT;60
EML;43
HD;44
HDE;34
NKK;42
NS;35
PT;50
WZ;33
BHV;73
DLD;84
UTO;96
BLL;22
BV;38
CAS;54
DRH;33
HK;17
HLO;54
SPTN;35
SPTZ;22
UTG;92
GVC;215
VB;54
YPB;57
LLZM;49
BRD;125
DDR;243
RLB;129
RTB;105
RTST;93
RTZ;101
ZWD;129
LEDN;303
VH;58
DVNK;113
GVM;122
LAA;109
VST;114
ASDZ;158
RAI;146
GR;44
BHDV;29
ODB;72
ZLW;149
ZVB;66
APN;81
NVP;144
SSH;140
LLS;57
DDZD;106
APD;83
ATN;20
WW;19
HRLW;14
KMR;14
MES;20
SGL;18
SOG;14
VDL;14
VK;25
MTN;20
BMN;42
DR;60
HDB;26
MRB;34
BDPB;54
KMA;42
WM;52
KZ;35
ZZS;35
DA;19
VHP;21
VZ;19
DVN;84
ZV;104
EGHM;30
LG;41
TWL;41
AHPR;38
BNC;53
BNN;43
EHV;149
HM;54
HMBH;37
HMBV;30
HMH;28
APDO;39
GP;43
HZE;45
MZ;42
WT;56
RM;88
SM;42
BET;81
BTL;116
EHS;79
BNK;67
DB;100
KLP;54
MRN;72
OTB;39
VNDC;31
VNDW;23
LW;92
MG;27
VG;26
O;74
RVS;38
HTO;46
OW;45
RS;45
DDN;33
GO;34
AHP;123
HRLK;31
HZ;29
HGV;20
MP;93
ASSP;42
BRN;52
BSMZ;102
DMN;41
HVS;132
HVSM;89
LC;38
HGLG;31
DDRS;42
SDT;45
SDTB;37
HMN;24
KTR;27
OP;24
ZA;24
ES;40
ESK;41
EM;62
WTV;83
EL;62
BKF;18
BKG;22
EKZ;18
AMPO;86
ALMM;88
AHBF;14
AW;14
GND;32
HBZM;29
TBG;25
VSV;15
RD;24
UHM;19
UHZ;18
UST;19
WFM;21
AKL;18
LDM;19
OT;36
BZL;31
GS;40
SWK;46
WV;42
EDC;35
LTN;37
BNZ;54
ST;16
STZ;15
DMNZ;75
AMRI;38
BN;39
APDM;13
HGZ;18
KW;19
MTH;19
SPM;18
ZB;30
ARN;27
MDB;27
VDM;8
NVD;24
RAT;23
HNO;17
NSCH;12
WR;7
STV;12
OVN;28
ZVT;28
CVM;11
EGH;12
KRD;11
HDG;40
LWC;38
SK;24
SKND;23
HVL;45
BSK;51
HOR;30
HVSP;30
DEI;14
DRP;15
FN;14
HLG;17
HLGH;15
VS;19
VSS;19
WAD;45
WADN;45
BSKS;45
WADT;44
EC;32
SRN;29
SD;6
BMR;29
VLB;27
VRY;34
MMLH;30
NMH;27
OSNH;12
RHEINE;14
BIELEF;12
BUENDE;12
CK;23
MCGB;24
VIERS;24
KBOI;24
KBRY;24
KDUL;24
LDL;45
ZH;39
CO;15
GBG;10
SDA;19
EMN;16
EMNZ;21
NA;17
APG;18
DZ;17
DZW;17
LP;17
STM;19
ETN;54
AKM;43
GW;39
HR;40
HRY;34
DID;27
DTC;37
DTCH;22
WL;28
OBD;17
MTR;16
BRESSX;5
EDN;11
FVS;7
LUIK;5
UTM;5
NDKP;9
BF;19
BDM;22
GNN;29
SWD;35
SGN;17
BP;40
DWE;34
FWD;35
OBERH;2
OBERHS;2
WESEL;2
LTV;12
RL;10
VD;12
KPNZ;15
GK;33
ANA;11
HDRZ;12
BL;24
EEM;8
HDR;11
DL;10
OMN;11
RHN;11
WSM;19
GDR;18
WS;20
DLN;11
DRON;21
BSD;8
DUSSEL;2
NEUSS;1
ESE;1
G;1
GBR;1
ATW;9
ATWLB;3
DUISB;1
KDFFH;1
HNP;8
IJT;7
KMW;8
WK;9
WWW;9
ANDD;2
MID;2
LKP;2
LKR;2
MARIA;2
BRUSC;1
BRUSN;1
BRUSZ;1
MECH;1
BERCH;1
FKTH;1
GKT;1
GWD;1
